x1,x2,x3
-0.03485,0.508392,0.464545
-0.157984,0.093993,-0.604734
0.006634,0.761645,-0.260989
-0.173481,0.01431,0.0499
0.166544,0.023717,-0.273399
0.060749,0.418769,0.031464
0.170912,0.037665,0.290801
-0.105402,0.402491,-0.369301
-0.002274,0.745208,0.106815
-0.140407,0.589773,-0.100818
0.088078,0.271801,0.235834
0.095623,0.266095,-0.300042
0.140219,0.591864,-0.132878
-0.066671,0.528119,0.216409
0.069887,0.569747,-0.392832
-0.101768,0.242795,0.01713
-0.013306,0.427607,-0.173484
-0.089209,0.27753,-0.534167
-0.078036,0.69952,0.521974
0.004321,0.838423,-0.074983
-0.085052,0.588773,-0.282879
0.097975,0.589428,0.141775
-0.106095,0.487081,0.049371
-0.046577,0.637026,0.355125
0.052193,0.420954,-0.325286
0.107536,0.705947,-0.005542
-0.11497,0.638969,0.049473
0.058843,0.543693,-0.246835
-0.018685,0.686028,-0.382574
-0.066906,0.533374,-0.419174
0.050423,0.45747,0.169994
-0.080482,0.354266,0.102438
-0.095448,0.73626,-0.049559
0.084314,0.129405,-0.31892
0.111518,0.460624,-0.10612
0.136519,0.565096,0.000424
-0.05242,0.402108,-0.037621
-0.009599,0.64613,0.197667
0.095028,0.143276,0.268536
0.020755,0.625841,0.478395
-0.001164,0.517475,0.329111
-0.088269,0.699646,-0.198943
0.095207,0.671844,-0.237293
-0.097796,0.117438,0.007789
0.102788,0.332455,0.128
0.074346,0.751651,-0.124909
-0.131344,0.454877,0.511416
-0.10828,0.583296,0.519571
-0.115376,0.473689,-0.100221
-0.107643,0.081492,-0.506025
0.066424,0.038263,-0.22929
0.065345,0.546219,0.237436
-0.079209,0.365708,-0.470945
0.119484,0.495978,0.090275
-0.095223,0.179105,-0.581418
-0.069511,0.031066,0.073705
0.065172,0.040625,0.273099
-0.065639,0.488856,-0.320328
-0.055034,0.446732,0.149532
-0.021949,0.815748,-0.174362
-0.016202,0.788002,0.012327
-0.107519,0.557854,0.123095
0.069125,0.664984,-0.335979
-0.094077,0.573693,0.41475
-0.059968,0.684534,-0.291494
0.001366,0.467346,-0.395981
0.043634,0.39655,-0.077732
-0.084629,0.563836,0.306068
-0.010985,0.576192,-0.34189
-0.109918,0.534228,-0.172021
-0.028492,0.427751,0.059795
-0.066348,0.667409,0.12408
0.112477,0.635006,0.061567
0.076079,0.469483,-0.193376
0.064985,0.353292,-0.263397
0.02228,0.587677,0.394743
-0.004101,0.596974,0.278195
0.052929,0.676798,0.13099
-0.055268,0.660921,0.441866
-0.010489,0.44652,-0.261397
-0.084146,0.616743,-0.374174
-0.020615,0.569406,0.533192
0.138867,0.656094,-0.068214
0.074932,0.504582,-0.337079
-0.121135,0.623004,-0.178396
-0.138266,0.66358,-0.05897
0.004878,0.485538,0.250801
0.117092,0.41687,0.120557
0.11565,0.469127,-0.007454
-0.13122,0.548926,-0.000578
-0.072338,0.504805,0.539202
0.059374,0.769239,-0.021481
-0.002902,0.613113,-0.413771
0.125829,0.093148,-0.26036
-0.075906,0.318322,0.023741
-0.075131,0.45423,-0.422702
-0.183766,0.079929,-0.531537
0.125086,0.077405,0.237482
-0.075088,0.608346,0.17516
-0.113434,0.521065,0.469646
0.088347,0.598194,-0.294302
0.109563,0.516065,0.164785
0.111797,0.69194,-0.15763
-0.112004,0.458731,-0.022726
-0.049754,0.784586,-0.109018
0.039947,0.773027,-0.191126
0.021061,0.724113,-0.326775
0.004418,0.512911,-0.301643
0.082492,0.470955,-0.268965
0.117399,0.587464,-0.204873
-0.108537,0.425064,0.092313
-0.111795,0.033491,0.011259
-0.095384,0.293217,-0.460061
0.096753,0.036224,-0.299022
-0.062852,0.494751,0.282165
-0.077272,0.464367,-0.173283
-0.031837,0.64231,0.532955
0.105062,0.196778,0.218831
0.074732,0.202772,-0.330651
-0.070844,0.741708,0.026165
-0.059941,0.419657,-0.118016
0.046035,0.425988,0.104477
-0.090349,0.097919,-0.574627
-0.079033,0.511545,-0.233242
0.139093,0.518726,-0.054834
0.069046,0.326582,-0.329913
-0.13673,0.139755,-0.538108
0.084379,0.273348,0.164395
0.134298,0.097003,0.306852
-0.11761,0.485011,0.129566
-0.031726,0.543011,0.39047
-0.139327,0.074296,0.061812
0.004692,0.540884,-0.399822
0.05353,0.628896,0.180727
0.042363,0.746044,0.056527
0.117211,0.55805,0.06464
0.056985,0.639228,-0.3984
-0.1197,0.692523,-0.116479
-0.096639,0.178022,0.035978
-0.050482,0.754399,-0.201269
-0.095109,0.642366,0.49207
-0.00992,0.480891,0.187748
0.136369,0.639058,0.001591
-0.01741,0.699574,0.151473
0.12998,0.033476,-0.220658
-0.076513,0.358954,-0.406486
-0.066997,0.586501,0.248824
-0.134004,0.516041,-0.056078
0.004154,0.558816,0.467514
0.028033,0.810531,-0.135502
-0.108894,0.217222,-0.530911
0.059403,0.699242,-0.281057
0.065865,0.414301,-0.247595
-0.098623,0.640226,-0.233911
0.088388,0.328346,0.19327
-0.074621,0.46826,0.488845
-0.000959,0.394711,-0.005543
0.042994,0.557057,-0.318494
-0.072005,0.427514,0.017135
0.083922,0.372398,0.086156
0.000334,0.643215,0.40604
0.087107,0.419405,-0.042473
-0.047859,0.7851,-0.048772
-0.128907,0.019116,0.090125
0.025059,0.659273,0.540707
-0.068915,0.703984,0.076971
-0.080631,0.270161,0.065481
-0.144441,0.621212,-0.018286
0.109369,0.442485,0.067552
0.07121,0.272345,-0.353003
-0.106587,0.457842,-0.34849
-0.089955,0.371687,0.042771
0.007667,0.461713,0.129592
0.124463,0.640301,-0.182357
-0.063828,0.521606,0.33946
0.015894,0.576729,0.338463
0.109222,0.515089,-0.182875
0.115157,0.028146,0.300005
0.055909,0.418182,-0.129265
-0.064446,0.67317,-0.350838
-0.073318,0.328797,-0.51464
-0.09257,0.547626,-0.370258
0.031309,0.471657,-0.232727
-0.052551,0.486014,-0.381971
0.049038,0.498447,0.208692
0.107337,0.460139,0.158061
-0.113324,0.539473,0.068846
-0.041817,0.577485,-0.39408
0.082351,0.379937,0.150205
-0.094742,0.533457,-0.302339
0.087325,0.575996,0.195171
-0.084354,0.586048,0.361234
0.147938,0.602285,-0.056977
0.054164,0.733155,-0.227336
0.0302,0.537443,0.287785
-0.026837,0.728791,-0.297306
-0.089303,0.491345,0.181757
-0.086869,0.631469,0.407287
0.031744,0.606697,-0.361725
0.034051,0.460578,-0.292296
0.11394,0.70406,-0.061407
-0.108884,0.591267,0.46606
-0.108561,0.685636,0.023792
0.090331,0.08848,0.277581
-0.04042,0.542467,-0.312642
-0.061632,0.408325,0.111092
-0.136881,0.081682,0.00744
-0.04685,0.64614,-0.402898
-0.012693,0.844886,-0.124642
-0.019684,0.667163,0.488013
-0.096272,0.550983,0.174044
0.061381,0.303963,-0.28314
-0.135324,0.078852,-0.551471
-0.094283,0.404943,-0.423927
0.084952,0.602842,-0.355422
0.114378,0.087076,-0.310706
0.142153,0.120374,0.261122
0.035835,0.686554,-0.369376
0.011908,0.809428,-0.025566
0.103239,0.681481,0.040726
-0.126131,0.522226,-0.113919
0.080547,0.652421,-0.285118
-0.121293,0.505297,0.518041
-0.092568,0.076065,0.038006
-0.062781,0.601469,0.537338
0.05436,0.519367,-0.381804
-0.028229,0.494638,-0.261969
0.112528,0.514816,0.037627
-0.00375,0.769857,0.058353
0.071764,0.375256,-0.314763
0.047561,0.785081,-0.096126
-0.018107,0.620289,-0.365852
0.099131,0.616059,-0.242342
-0.129698,0.135562,-0.587859
0.1011,0.173494,-0.299289
-0.105337,0.60274,0.100996
0.129622,0.538567,-0.143639
-0.080733,0.630798,-0.309045
0.115478,0.548378,0.119961
0.021962,0.609194,0.237733
-0.061141,0.541889,0.432883
0.135779,0.648405,-0.135274
0.004528,0.797118,-0.215005
-0.06234,0.424914,-0.385609
-0.015767,0.612023,0.323315
-0.04063,0.53111,0.510672
-0.104918,0.338283,-0.439863
0.00796,0.430215,-0.216927
-0.139873,0.640361,-0.101361
0.11093,0.59858,0.093055
0.124659,0.46691,-0.054673
0.106755,0.479074,-0.151224
-0.074489,0.742386,-0.161626
-0.083833,0.541431,0.259002
-0.062813,0.71852,-0.234737
-0.067793,0.554248,0.542803
0.088077,0.238731,0.201454
0.019504,0.66806,0.166922
0.141405,0.561112,-0.096789
-0.038152,0.489484,0.231429
-0.052985,0.596649,0.2929
0.081097,0.633234,0.135822
-0.096893,0.435768,-0.078845
-0.022937,0.397689,-0.098616
-0.071502,0.31593,0.07189
-0.030276,0.709566,-0.340089
0.001467,0.60876,0.520971
0.084482,0.077773,-0.276012
-0.103972,0.441023,0.137319
-0.064452,0.270774,0.017101
-0.01774,0.489343,0.292412
-0.091719,0.559906,-0.247018
0.035312,0.431613,-0.168734
0.168072,0.069445,0.257032
0.012973,0.651636,-0.390367
0.058747,0.239261,-0.306978
0.083436,0.422121,-0.29169
-0.039226,0.653708,0.16356
-0.168016,0.114546,-0.565085
-0.09973,0.260039,-0.493205
0.035226,0.774248,0.017063
0.053403,0.46471,-0.342889
-0.069921,0.22718,0.04583
-0.132247,0.666696,-0.010118
0.078643,0.732941,-0.165905
0.024337,0.592326,0.445062
-0.095153,0.504593,-0.383066
-0.022858,0.444363,0.101608
0.100825,0.025826,-0.255308
-0.048957,0.54712,-0.359652
0.099886,0.547482,-0.215238
-0.078536,0.750493,-0.113207
0.139886,0.057038,-0.28696
-0.143762,0.573149,-0.059409
0.052757,0.401713,-0.020119
-0.095253,0.442523,0.053634
0.081797,0.066106,0.240255
0.003063,0.408703,-0.279946
0.040228,0.711332,0.106437
-0.091173,0.462138,0.529398
-0.127766,0.588117,-0.152148
0.088157,0.51813,0.203372
0.040261,0.511413,-0.276034
0.060522,0.037925,-0.272902
-0.001225,0.557694,0.41841
0.075277,0.719103,0.045711
0.080607,0.418259,-0.086878
0.00089,0.408867,-0.133568
-0.067003,0.408033,0.065009
0.068283,0.427773,0.141725
0.092101,0.448183,0.025373
-0.073772,0.575855,0.207357
-0.03956,0.735548,0.080619
-0.063697,0.672832,0.482409
0.075455,0.75628,-0.080387
-0.074479,0.428475,-0.34463
-0.100039,0.629353,0.448523
0.001669,0.389243,-0.064596
0.127706,0.464862,0.12079
-0.073567,0.033281,0.030356
-0.031895,0.453463,-0.201793
-0.150199,0.043997,0.026397
0.059131,0.587184,0.224843
-0.081893,0.204822,0.006643
0.120399,0.160848,0.239825
-0.049064,0.498371,0.191765
-0.070673,0.290681,-0.497195
-0.114736,0.478154,0.480746
0.112285,0.045814,0.261889
0.029461,0.732439,-0.280363
-0.052007,0.658838,0.40022
0.090042,0.659984,0.086506
0.019858,0.813366,-0.179671
0.073961,0.311554,0.151167
0.082852,0.513341,-0.262472
0.065662,0.494345,-0.225213
-0.085457,0.67763,-0.246066
-0.037169,0.405529,0.01152
-0.121114,0.016709,0.048012
-0.104651,0.052791,0.077149
0.036176,0.794857,-0.057487
-0.002118,0.649372,0.453086
0.127552,0.592959,0.029745
0.067899,0.292151,0.197353
0.079226,0.580534,-0.258025
0.045204,0.399632,-0.290583
-0.066773,0.607677,0.330773
-0.069108,0.322925,-0.471456
-0.106757,0.111498,-0.5369
-0.062665,0.610075,-0.414871
