x1,x2,x3
0.021104,0.742568,0.420751
-0.158945,0.020765,-0.455549
-0.000419,0.738087,-0.320799
0.162996,0.019567,0.170927
-0.068847,0.432357,0.054307
0.109277,0.333079,-0.36921
-0.000214,0.777026,0.028697
-0.183689,0.018707,0.118956
0.186228,0.015942,-0.432757
0.128236,0.541319,-0.141895
-0.10183,0.486928,-0.300267
0.084548,0.588665,0.2031
0.103714,0.251997,0.092162
-0.116882,0.255074,-0.410146
-0.131872,0.656227,-0.130861
-0.109459,0.22184,0.097941
0.076101,0.553931,-0.395968
0.004838,0.843005,-0.154754
-0.105167,0.613982,0.106101
-0.002566,0.40606,-0.13156
0.108936,0.508349,0.038832
-0.057377,0.877747,0.323387
-0.044634,0.596627,0.330689
0.10023,0.17099,-0.43756
0.13064,0.671048,-0.023861
-0.074398,0.612284,-0.396876
0.101215,0.691559,-0.18519
-0.002091,0.803909,0.563886
-0.041896,0.49682,0.199019
0.072685,0.402146,0.144451
-0.12917,0.489756,-0.072663
0.047421,0.501079,-0.259866
0.005904,0.693831,0.147291
-0.088428,0.649353,-0.260302
-0.08318,0.390867,-0.395681
0.1094,0.112828,0.08977
0.04913,0.401402,-0.008645
0.06056,0.835811,0.343155
0.080162,0.630425,-0.293835
-0.11928,0.129556,-0.405827
0.025565,0.697154,0.303798
-0.144739,0.598623,-0.01727
-0.022709,0.854954,0.439309
-0.076286,0.335097,0.127249
-0.005565,0.479432,-0.442995
-0.097776,0.10267,0.103413
-0.094091,0.734693,-0.051069
0.0753,0.755877,-0.08129
0.106945,0.444839,-0.343744
-0.050783,0.75426,-0.200236
-0.069012,0.611008,0.213493
-0.061224,0.76048,0.345207
0.108422,0.607109,0.094804
0.028893,0.656346,-0.393746
0.087457,0.018659,-0.381174
-0.005891,0.407005,-0.279714
-0.122444,0.498405,0.124857
0.027233,0.53019,0.281965
-0.111153,0.532087,-0.171245
-0.085296,0.016522,0.16713
0.071387,0.016497,0.115629
-0.017486,0.553804,-0.32889
0.117475,0.460127,-0.063769
0.079982,0.275248,-0.452389
0.114957,0.497152,0.158303
-0.099543,0.019045,-0.37022
-0.064784,0.708716,0.070636
0.142741,0.55631,-0.046905
-0.000389,0.579636,-0.450399
-0.026846,0.811278,-0.069189
-0.07908,0.512476,-0.392547
0.073157,0.720979,0.039496
-0.034792,0.672932,0.382151
0.138816,0.092703,-0.407005
0.139879,0.630224,-0.121524
-0.035192,0.450758,-0.204099
-0.000263,0.463443,0.12524
0.042817,0.616901,0.345662
-0.035617,0.39163,-0.039019
0.09525,0.3412,0.081452
-0.080923,0.424944,0.156636
0.014802,0.65029,0.22536
0.033444,0.756406,-0.230364
0.037976,0.804323,0.483053
0.088947,0.456797,-0.148241
-0.086865,0.5611,-0.254809
0.151461,0.024761,0.084535
-0.061352,0.680754,-0.340296
-0.119709,0.535292,0.0332
-0.044869,0.775861,0.461648
-0.184359,0.016815,-0.375291
