x1,x2,x3
0.002991,0.297122,-0.116209
0.038283,0.707038,0.105995
0.066277,0.022497,-0.337498
0.077205,0.000951,-0.017301
-0.062053,0.580543,-0.133438
0.010967,0.45818,0.072791
-0.001075,0.103678,-0.174533
-0.048055,0.164194,-0.012381
-0.059737,0.583989,0.161855
0.027488,0.456566,-0.085738
0.035196,0.595305,-0.016526
-0.029894,0.318732,0.031113
-0.065565,0.010911,-0.034073
0.070061,0.181832,-0.077466
0.063667,0.354716,-0.034225
-0.059289,0.494568,-0.018215
0.018259,0.659734,-0.10987
-0.054259,0.383989,-0.058781
0.052441,0.249055,0.008656
-0.043736,0.198854,-0.116253
-0.06625,0.630506,-0.015592
0.059374,0.082451,-0.072756
0.043219,0.59624,0.082901
-0.046389,0.093106,-0.08695
0.072683,0.498862,0.006697
0.019182,0.029098,-0.252761
-0.047849,0.538526,0.077327
-0.053945,0.257185,-0.037955
0.007825,0.544072,-0.087091
-0.045799,0.412358,0.023106
0.036029,0.367506,0.042143
0.054914,0.135576,-0.015144
0.036674,0.228476,-0.129247
0.003854,0.537326,0.020636
0.057142,0.425242,-0.000873
0.028834,0.366376,-0.099642
-0.056301,0.569143,-0.059584
0.055799,0.277019,-0.069813
-0.005619,0.157426,-0.073026
-0.00362,0.650077,-0.04323
0.051546,0.522773,0.066813
0.013323,0.191959,-0.017385
-0.059505,0.477877,0.050623
0.00253,0.169861,-0.164293
-0.01234,0.254458,0.026348
-0.037194,0.468734,-0.075523
-0.048992,0.308385,-0.079459
0.03835,0.600033,-0.084128
-0.027104,0.617697,-0.095303
0.054616,0.506774,-0.052942
-0.027297,0.584958,-0.006188
0.054841,0.407504,-0.063684
0.032432,0.07179,-0.211515
-0.062707,0.192114,-0.061522
0.052222,0.30382,-0.008741
0.048663,0.657599,0.078914
-0.053684,0.328997,-0.02688
0.059141,0.569736,0.035514
-0.048376,0.251719,-0.093976
0.068964,0.201848,-0.018193
-0.022782,0.41743,-0.092874
-0.033264,0.115983,-0.03769
0.076856,0.026666,-0.066655
-0.033921,0.629725,0.178861
0.029919,0.168488,-0.116953
-0.051354,0.221325,0.00322
-0.032892,0.047923,-0.056511
-0.051412,0.430773,-0.027516
0.059372,0.460463,0.04245
-0.033363,0.550974,0.127329
-0.016059,0.365778,0.049713
-0.040518,0.486354,0.097959
-0.022868,0.366328,-0.099826
0.044262,0.539818,-0.010432
-0.034943,0.518606,-0.064991
-0.013901,0.250453,-0.131563
0.020774,0.319017,0.039018
0.055076,0.019808,-0.287451
0.040475,0.136636,-0.070952
0.012378,0.409497,0.059781
-0.008706,0.505363,0.05698
0.061913,0.45751,-0.0383
0.049927,0.562595,-0.052869
-0.043441,0.527559,0.018746
-0.050654,0.14477,-0.082599
-0.046293,0.285351,0.001377
0.066766,0.231251,-0.065615
-0.056448,0.377371,-0.012068
-0.061431,0.6215,-0.061351
-0.028933,0.572546,-0.102196
-0.015926,0.629532,-0.004411
-0.033344,0.443352,0.063711
0.039786,0.31266,-0.097775
-0.013852,0.164992,-0.116775
0.035781,0.633389,-0.052988
0.074124,0.116506,-0.049724
-0.059791,0.452179,0.012694
0.000645,0.489833,-0.082164
-0.003256,0.207236,-0.144736
-0.036673,0.541134,-0.020642
0.05175,0.348008,0.005673
0.044983,0.267147,-0.108912
0.045899,0.411477,0.035535
0.071324,0.161379,-0.041311
-0.025915,0.005814,-0.032173
0.018877,0.134033,-0.157443
-0.013732,0.166981,-0.032081
0.03677,0.213253,0.006719
0.020396,0.419827,-0.096906
0.041187,0.482618,0.073437
-0.065087,0.595196,-0.032259
0.004443,0.633801,-0.079686
0.040792,0.607653,0.046173
0.028145,0.158672,-0.029953
0.012398,0.567571,-0.000795
-0.010965,0.213622,0.002098
0.057458,0.335465,-0.073234
0.008162,0.100788,-0.211503
0.006476,0.585232,-0.097685
0.04473,0.559933,0.073058
-0.060609,0.230186,-0.065818
0.058495,0.204127,-0.105096
0.066913,0.53016,0.026118
-0.042908,0.432793,-0.065522
-0.031692,0.279533,-0.111897
-0.061829,0.196899,-0.022231
-0.028627,0.522169,0.103929
-0.059773,0.157707,-0.049185
0.028124,0.671834,0.106764
0.013062,0.283456,0.035555
0.058434,0.267537,-0.034821
0.031282,0.517878,-0.078614
-0.047693,0.016514,-0.06624
-0.043618,0.082939,-0.052496
-0.038284,0.64755,-0.052402
0.017055,0.628203,-0.022833
0.042504,0.176908,-0.002769
0.002998,0.343257,-0.108172
-0.046501,0.347885,0.005319
0.018579,0.066399,-0.243913
-0.03393,0.612339,-0.030416
0.063855,0.05929,-0.046273
-0.007562,0.454286,-0.090286
-0.024289,0.411068,0.05309
0.025723,0.560561,0.041502
0.060371,0.307262,-0.052668
-0.055873,0.468686,-0.041238
-0.056106,0.577495,0.127863
0.037737,0.048233,-0.27795
0.068148,0.457624,0.003611
0.05212,0.475722,-0.067743
-0.053539,0.593029,-0.083948
-0.01373,0.64875,-0.104039
0.01751,0.529025,0.050659
0.051723,0.596365,-0.052242
-0.064095,0.61595,0.172513
0.043214,0.279746,0.019211
-0.056561,0.516827,0.047795
0.048984,0.040966,-0.315407
-0.013734,0.140659,-0.166784
-0.041702,0.609953,0.010761
0.063147,0.400803,-0.022873
-0.056411,0.114054,-0.063084
0.095594,0.012683,-0.04219
-0.049776,0.277017,-0.069564
-0.055763,0.17931,-0.09272
-0.058674,0.544976,0.107477
-0.025716,0.125493,-0.074662
-0.02204,0.287241,0.031175
-0.033144,0.602458,0.161487
-0.038078,0.191977,0.001809
-0.05589,0.333641,-0.058669
0.030507,0.627487,0.069342
-0.040416,0.371256,0.029422
-0.026587,0.548716,-0.072641
0.05516,0.235766,-0.100462
0.063272,0.237005,-0.019008
0.018006,0.123728,-0.190523
0.005325,0.600093,-0.006585
0.018947,0.268048,-0.126866
-0.052052,0.288654,-0.040187
0.047545,0.438396,-0.069489
-0.066017,0.489756,0.012248
-0.04483,0.257125,0.015378
0.056705,0.091995,-0.040315
-0.058314,0.501987,0.077216
0.065302,0.005429,-0.046357
0.000961,0.066605,-0.218
-0.024736,0.474581,0.073635
-0.039105,0.229538,-0.119824
-0.017436,0.554488,-3.0e-6
0.05559,0.163635,-0.098233
-0.021512,0.313036,-0.105376
0.067245,0.498817,0.0373
0.058379,0.513366,-0.01831
0.055799,0.683086,0.097213
0.026951,0.200665,-0.138631
0.044271,0.319709,0.019023
-0.057514,0.211477,-0.091981
0.033193,0.560162,-0.078382
-0.035222,0.338266,-0.094898
-0.054108,0.602743,-0.112714
0.015328,0.080986,-0.18824
0.002483,0.341104,0.048255
0.041635,0.634751,0.097112
-0.001087,0.399214,-0.102626
0.060512,0.11173,-0.078694
0.010891,0.1561,-0.136396
0.03238,0.529197,0.018287
0.033322,0.046309,-0.22684
-0.053475,0.138005,-0.027859
-0.046845,0.567728,-0.028584
-0.056352,0.403397,-0.036865
0.054853,0.396662,0.011859
-0.003285,0.433913,0.064957
-0.029323,0.525406,0.052926
0.026336,0.151929,-0.093444
-0.04491,0.362386,-0.081574
0.05075,0.362498,-0.08123
-0.035865,0.640594,-0.021646
-0.049969,0.558747,-0.085622
0.024876,0.508753,0.069368
-0.056775,0.516666,0.104587
-0.039118,0.567913,0.149237
0.040967,0.389101,-0.08797
-0.04873,0.437752,0.034938
-0.042663,0.319998,0.005179
-0.052261,0.06826,-0.075094
-0.058298,0.232497,-0.021604
-0.016858,0.177075,-0.145332
-0.034554,0.38923,-0.088606
0.07144,0.20865,-0.049679
-0.049387,0.492954,-0.053707
-0.012109,0.517685,-0.081222
0.027349,0.648729,-0.085574
0.045846,0.11412,-0.055017
0.011251,0.171489,-0.048113
0.070647,0.4788,-0.014243
0.044643,0.536121,-0.059437
0.061391,0.548835,0.053675
-0.023353,0.642112,-0.078971
0.058439,0.590029,0.060716
-0.014193,0.191025,-0.015337
0.048236,0.57302,-0.026227
-0.0271,0.151919,-0.09492
0.027608,0.484404,-0.081098
0.005447,0.612653,-0.098375
0.010279,0.227955,0.011872
0.063013,0.381101,-0.041884
0.030909,0.022629,-0.299941
0.065888,0.145942,-0.074716
0.049283,0.557128,0.009999
-0.058146,0.354563,-0.034669
-0.038091,0.545151,-0.047371
0.055934,0.617968,0.066059
-0.062073,0.603769,-0.005857
0.009683,0.229866,-0.13783
0.059255,0.329242,-0.02656
0.037674,0.13611,-0.041951
0.003012,0.370598,-0.105358
-0.020281,0.145682,-0.046861
-0.022532,0.51361,0.078317
0.055694,0.438177,0.028263
0.027306,0.589254,0.062723
-0.051661,0.467795,0.073962
0.040556,0.342394,0.032363
-0.066757,0.594243,-0.058674
-0.049099,0.517319,-0.009457
0.042672,0.041526,-0.251083
0.06839,0.175489,-0.018056
0.014801,0.258566,0.027376
0.057154,0.423279,-0.042847
-0.04653,0.009699,-0.016073
-0.00281,0.387715,0.055216
-0.050107,0.263269,-0.012175
0.061655,0.377309,-0.011454
0.053516,0.015253,-0.315368
0.028622,0.34051,-0.102934
-0.053618,0.564733,-0.114683
-0.053525,0.398512,0.002412
-0.027196,0.497043,-0.077963
-0.049338,0.30488,-0.018907
-0.024437,0.341616,0.041629
0.074118,0.060273,-0.069877
-0.025345,0.233225,0.010602
-0.044041,0.634065,0.001884
0.07704,0.091679,-0.055549
0.033872,0.02015,-0.27372
0.022712,0.17646,-0.145533
0.058878,0.253428,-0.07808
-0.019237,0.52638,0.025363
-0.048627,0.408345,-0.06488
-0.036862,0.553785,0.098734
-0.045198,0.626451,-0.079823
-0.043774,0.022036,-0.039561
0.03408,0.623813,-0.077445
0.0255,0.152702,-0.05889
0.013145,0.365463,0.051871
-0.063729,0.470602,-0.012975
0.050108,0.373241,0.018565
-0.005567,0.564777,-0.090507
-0.031627,0.146127,-0.019426
-0.046044,0.601058,0.182595
0.027186,0.295596,-0.111256
0.040461,0.413679,-0.08382
-0.002525,0.483114,0.067103
0.072556,0.030829,-0.042877
-0.058755,0.620138,-0.037105
-0.024933,0.213861,-0.135641
0.033882,0.58642,0.036422
-0.030927,0.389394,0.04442
0.054932,0.308627,-0.079306
0.012981,0.644816,-0.060131
-0.054125,0.454585,0.052839
-0.00798,0.318834,0.040866
-0.045059,0.521061,-0.032763
0.003964,0.159585,-0.097131
0.072246,0.183396,-0.050365
0.051528,0.659254,0.102469
0.061501,0.442842,-0.016224
-0.055739,0.044341,-0.061623
0.027356,0.655872,0.089321
0.071718,0.042689,-0.326466
-0.028178,0.103396,-0.066647
0.035265,0.563621,-0.007751
-0.030721,0.077393,-0.072797
0.020497,0.387705,0.052735
0.050525,0.532551,-0.031795
-0.049965,0.584127,-0.01218
0.068879,0.20511,-0.079044
0.062651,0.535407,0.003248
0.054903,0.265435,-0.01185
0.04317,0.610366,-0.035675
-0.056364,0.549454,0.130782
0.011444,0.148316,-0.174288
0.027528,0.558028,0.018419
-0.040604,0.29216,-0.094506
-0.006163,0.086458,-0.20071
0.058418,0.495722,0.058227
-0.046705,1.0e-6,-0.045141
0.037718,0.540241,0.061462
-0.027255,0.444572,-0.083828
0.048396,0.181019,-0.11126
-0.008394,0.641795,-0.02248
-0.051499,0.425834,0.005656
0.021884,0.108613,-0.17396
-0.026149,0.562065,-0.021134
0.03023,0.69066,0.092495
-0.044722,0.592541,0.144667
-0.019285,0.609439,0.005348
