x1,x2,x3
0.056794,0.260233,-0.061112
-0.004231,0.279597,0.349717
0.004053,0.26476,-0.462176
0.047408,0.008324,0.160401
-0.065681,0.008127,-0.098465
-0.062497,0.21292,0.131993
0.001905,0.285505,-0.26012
-0.071838,0.163554,-0.05231
0.063277,0.102063,-0.109243
0.028683,0.316964,0.201279
-0.025851,0.327855,0.042607
0.061424,0.157237,0.178086
-0.053905,0.263169,-0.139115
0.03814,0.18899,0.047908
-0.055099,0.088341,0.173455
-0.054061,0.380808,0.288201
0.044203,0.215191,-0.163828
0.057359,0.378718,0.288554
0.05042,0.283908,0.101206
0.038945,0.002499,-0.086822
-0.009555,0.224662,0.220696
-0.052783,0.230574,0.030027
-0.024187,0.326716,-0.058792
-0.048847,0.100822,-0.12782
0.010992,0.276587,-0.365472
-0.041601,0.306719,0.139459
0.046049,0.170031,-0.045566
-0.053135,0.289358,0.272683
0.051312,0.284002,0.28151
0.027248,0.295518,-0.140138
-0.036909,0.180718,-0.152497
-0.036181,0.006496,0.172025
-0.05993,0.249469,-0.050185
0.047541,0.311207,0.008701
0.065354,0.239539,0.175271
-0.000126,0.163704,0.115602
0.037216,0.085727,0.149664
-0.050781,0.16819,0.192986
-0.01739,0.186721,-0.013015
0.000941,0.345843,0.258855
-0.011183,0.181735,-0.087543
-0.008708,0.254105,-0.19148
0.053345,0.215208,0.112489
-0.044248,0.288046,0.205792
0.067497,0.182485,-0.106959
-0.056646,0.275786,0.085271
0.013838,0.333115,0.32034
0.034683,0.316086,-0.081108
-0.003604,0.252685,0.281926
0.00425,0.324949,0.100485
0.056472,0.25056,0.008714
0.046664,0.047315,-0.127955
-0.04338,0.191415,0.074712
-0.067443,0.212068,-0.111472
-0.049158,0.138196,0.137168
0.040564,0.264698,0.225983
-0.060976,0.224418,0.190382
0.004875,0.173028,0.181096
-0.058753,0.28267,0.007564
-0.062121,0.155012,-0.108572
-0.005116,0.251229,-0.317823
0.060421,0.253476,-0.126477
0.041654,0.307861,0.149288
0.023233,0.17379,-0.13648
-0.026362,0.305284,-0.120767
-0.035886,0.31459,0.319087
-0.036002,0.049452,-0.11211
-0.046936,0.120802,-0.070335
-0.001723,0.253166,-0.410234
-0.063296,0.263282,0.156304
0.0363,0.143753,-0.088555
0.035875,0.206182,0.204472
0.048938,0.331857,0.265516
0.06144,0.254566,0.058472
0.054051,0.219337,-0.032694
-0.045228,0.049594,0.145087
0.042883,0.137207,0.137403
-0.050191,0.285603,-0.083212
-0.059047,0.205196,-0.031309
0.02449,0.327617,-0.030168
-0.009184,0.318724,0.172823
-0.044292,0.33852,0.269878
0.025623,0.262962,0.316553
-0.010715,0.173901,0.047112
-0.042299,0.228531,-0.167396
-0.031436,0.12761,0.17817
-0.023447,0.323437,0.225269
0.03779,0.31446,0.070296
-0.032008,0.256747,0.243157
0.067449,0.195148,0.155115
0.02917,0.261832,-0.169266
-0.016329,0.287045,-0.162529
-1.8e-5,0.211407,-0.163068
-0.032655,0.270851,0.312983
0.046681,0.116112,0.182902
0.055718,0.052388,0.171364
0.052367,0.282632,0.183436
0.026141,0.188697,0.006244
-0.045538,0.311225,-0.024598
0.06933,0.215401,-0.079149
0.005447,0.334576,0.014032
-0.059017,0.233985,0.078185
-0.022373,0.35403,0.302151
0.007117,0.254711,-0.230178
0.059763,0.257801,0.132261
-0.042327,0.180258,0.116828
0.049501,0.298004,-0.047001
0.051367,0.280031,-0.097163
-0.023817,0.166132,0.151846
0.038042,0.179733,0.100474
0.004855,0.183389,-0.046635
0.036093,0.019343,0.197334
-0.035545,0.182506,-0.054343
-0.036963,0.309776,0.092192
0.040266,0.30361,0.317256
-0.064312,0.179322,0.152922
0.068654,0.144176,-0.064071
0.044304,0.301096,0.239432
-0.03802,0.194936,0.025331
-0.052215,0.238439,-0.013586
