x1,x2,x3
-0.938593,9.704149,5.217411
0.091918,-4.977579,6.331499
7.37243,2.56022,0.74147
-6.356096,1.591004,1.168298
0.716812,2.640199,8.429748
5.541448,8.491981,3.411142
5.100882,-3.105909,2.786626
-5.793174,7.296811,2.560829
-3.081856,-0.368418,5.402243
4.229943,3.609369,4.737697
-2.277446,4.685274,4.992758
2.546486,-0.972749,6.099542
2.458774,7.234625,5.974777
-5.186483,-2.237361,2.300304
5.916116,0.511567,3.525213
-2.969421,-3.931533,4.672813
-5.01323,2.526155,4.318289
7.038586,5.923797,1.568736
3.16276,-4.207338,5.273384
-0.486268,-1.760742,7.073823
-3.607806,7.671851,4.990353
-6.929582,4.781532,0.743991
1.329182,4.301908,5.872189
-1.355138,2.055991,6.260823
-0.465907,6.831367,5.915485
3.156862,9.62615,4.587733
6.587353,3.692653,3.250827
4.890364,6.293037,4.89308
2.380072,1.788587,5.75795
-4.702522,5.162196,3.848675
6.657622,0.019,1.084785
-5.286281,0.213096,3.154615
4.611969,-1.518591,4.71712
0.706543,0.448983,7.143824
1.577771,-3.121753,6.720905
-6.34212,3.482194,2.607095
4.304631,0.72452,5.129483
1.206004,9.068352,5.571418
-4.073288,-2.013419,4.257639
-2.233978,-2.356283,5.935786
-3.231834,1.836863,5.271056
2.947978,5.372337,5.01037
-5.952797,-0.484921,1.273419
-0.326594,3.78053,6.992574
5.992591,-1.277472,2.53524
6.176559,5.68894,3.395556
-1.320136,0.041736,6.521206
5.585249,2.283093,4.323496
-2.774893,9.517831,4.678321
6.783302,1.826178,2.429552
-6.145188,5.380734,2.483414
-1.687698,-4.158542,6.043732
1.18955,6.085009,5.188926
4.174184,8.071704,4.899553
-4.746892,8.429157,3.641451
-1.920641,8.015321,5.774637
-0.476828,5.030136,5.574531
7.549129,4.38397,0.7349
-3.800984,3.833776,4.610042
-2.473502,6.368751,5.485136
1.567998,2.845817,6.900881
3.412336,-2.468874,5.561393
-5.937043,1.819887,2.886331
-4.189141,0.603608,4.506174
4.232283,-3.205584,4.259101
-4.964105,6.811005,4.195186
1.148506,-1.283264,7.028822
-0.200799,-3.417258,6.948941
6.383177,7.254168,2.677577
2.581708,3.390093,5.283806
-0.355106,1.723541,7.566692
-6.840726,3.121484,0.912798
1.775049,-4.669336,6.284776
-1.204781,3.539574,5.632129
5.057777,4.831269,4.174109
-0.270029,8.455406,5.914046
3.77297,2.226208,5.281932
-3.984492,-3.357884,3.524903
0.979075,7.564467,6.139246
-3.874147,6.066641,4.955
3.045552,0.431997,5.887802
-5.403551,3.875387,3.813906
-4.867892,-1.225611,3.311081
7.062134,4.488981,2.10779
-6.503166,6.504733,1.563631
-2.606096,3.184707,5.109858
-2.233588,0.825405,5.719368
2.618092,8.59125,5.507446
5.81131,6.96053,3.969401
-1.374221,5.803269,4.746948
3.637807,6.545696,5.550244
0.416656,5.029631,6.698062
0.410667,10.126914,5.083203
3.848116,-0.6663,5.532717
5.452904,-0.768337,3.868086
4.506772,9.188939,4.020763
7.163747,3.121204,1.976193
1.955685,0.151468,6.649822
1.552892,1.496025,6.799696
-1.458308,-1.296273,6.242338
6.936183,1.324967,1.178137
-5.899133,0.66769,2.063702
-3.277372,-1.669665,5.268719
-0.238917,-0.46826,7.153622
6.354755,0.018722,2.393043
5.25281,-2.033221,3.595424
5.578851,3.638065,4.215898
-4.04532,-0.737304,4.515119
-5.110405,1.321343,3.85314
0.943919,3.925895,7.115343
1.701702,4.96206,4.871223
0.862344,1.543567,7.848517
-1.232381,-2.895088,6.4529
-5.560406,6.011715,3.453004
2.40074,-2.255312,6.250983
5.239258,1.092005,4.407545
-0.616506,1.100384,6.540143
0.518899,-2.410422,6.813664
4.171225,5.23606,4.913873
0.776717,-4.18618,6.960316
2.559313,-3.477092,6.093531
-3.819457,8.708183,4.378193
-5.501727,-0.935184,2.309678
6.460737,2.458048,3.407512
-6.607367,4.429143,1.851627
-0.397076,2.921087,7.827161
-6.46641,2.502495,1.93229
4.786947,-0.276605,4.722756
-3.060286,-2.835614,5.09608
-3.985275,2.670895,4.873855
-3.422111,4.931982,4.878339
3.235088,4.227646,4.797573
-5.861445,2.832865,3.454278
1.960376,9.745864,5.019846
0.282275,5.840828,5.873914
-4.580739,-2.384216,3.26363
-2.112886,-4.589807,5.072489
5.123585,7.893763,4.272988
-1.588846,6.862861,6.00657
2.403221,6.322229,5.244832
-1.988815,9.056904,5.384283
5.9703,4.56552,3.600721
-3.265001,0.735677,5.192556
-2.227858,2.195319,5.552604
5.72363,-2.311605,2.270981
-1.179519,4.689955,4.800044
3.324353,7.717516,5.488404
-0.74228,-4.351817,6.649759
-2.532315,-1.185988,5.899237
6.362618,-0.908827,1.573345
-2.900941,8.521738,5.129901
4.685084,2.637325,4.857531
-0.825351,2.965365,6.492024
-5.573618,4.851089,3.296358
-2.357754,-3.403021,5.67998
-4.42458,1.682692,4.607923
6.764377,5.455781,2.471812
1.554935,2.342867,7.871639
-2.215366,-0.184197,6.02525
1.992035,2.802285,5.945063
-4.666423,-0.121545,3.92445
6.029377,1.572257,3.692808
-0.975804,7.683175,6.163157
1.84788,8.076535,5.931231
-6.553328,5.489822,1.520501
-5.251649,7.467812,3.403433
3.711618,-4.070905,4.335868
0.395185,3.541437,7.942206
3.505546,1.260895,5.535751
1.538191,6.730908,6.01801
-2.410892,5.658586,4.759163
5.589615,5.973908,4.165112
-4.379769,7.718477,4.345522
4.124177,-2.406981,4.858523
-2.692168,7.414879,5.555798
-0.560415,6.070652,5.264695
6.424261,0.949321,2.745946
0.070899,9.252232,5.427381
3.457958,8.760235,4.959976
4.356384,7.139577,5.168244
3.667141,-3.316084,5.058157
-0.500627,4.213996,6.12469
-1.176876,2.179165,7.21946
4.605177,1.667614,4.971217
0.964975,5.169008,5.625481
1.581165,-2.15294,6.766079
-6.119762,0.470652,1.143221
-4.530046,4.261405,4.140894
-6.065665,6.338131,2.436262
3.355352,-1.518072,5.682231
7.398738,3.519851,1.118623
7.261408,5.307509,0.879604
4.463131,-3.589355,3.420639
2.155666,0.957314,6.158342
-1.368296,1.132403,5.947489
2.003446,4.135632,5.223196
-3.626305,-2.969127,4.350698
-1.091926,8.894507,5.679513
0.517331,6.747554,6.056125
7.087491,2.21864,1.632009
6.662645,0.656078,1.774471
-1.905841,3.827052,5.001338
0.091824,1.947838,8.361833
1.271383,-0.358035,7.073403
6.549547,6.30468,2.791584
0.050143,7.567879,6.154651
-3.437993,6.812501,5.290699
5.981284,-0.517966,3.062973
-4.670767,3.400055,4.439986
3.442509,3.106877,5.115942
-6.154241,4.376685,2.761894
5.370495,0.193491,4.195655
-2.864547,4.019215,4.769873
0.660928,8.389375,5.907951
-3.933273,5.492812,4.246375
1.188749,3.154663,7.667547
-4.243614,6.873623,4.760506
-0.282075,0.466832,7.098115
-5.594992,-1.645405,1.754575
-4.738079,5.925145,4.326682
6.631743,4.531852,2.893995
2.133016,2.164026,6.558209
2.799828,2.538073,5.508946
-6.665208,3.531722,1.780705
0.676804,-3.269917,6.972432
-6.133795,1.56516,2.05874
4.828034,-2.805039,3.638926
1.447266,3.571609,6.349779
1.915975,-1.336083,6.595197
-5.655138,0.986082,2.889289
0.285307,-1.353152,7.159631
-1.077406,-4.81913,5.99174
5.882125,7.628176,3.413424
-0.348906,-2.574911,6.783154
0.280297,1.195492,7.269738
-3.660442,0.021264,4.873715
6.882321,2.658464,2.675584
-0.73106,-0.98445,6.659574
2.571717,-4.33654,5.889712
5.211678,7.0911,4.568575
-1.460205,2.725121,5.694264
-7.061969,3.937905,0.739794
6.15148,3.093828,3.885558
-1.174426,-2.018275,6.642282
3.181976,-0.416032,6.003321
4.35357,4.434376,4.576275
1.97215,-3.864579,6.566765
-5.529416,2.090412,3.688977
-5.584738,-0.105268,2.435612
0.923101,-4.834974,6.449065
-1.380393,6.365181,5.35781
5.671506,-1.331047,3.297521
-6.227271,2.659293,2.732644
4.861272,5.60988,4.36678
3.697666,5.898425,5.037032
1.973758,5.744253,4.847168
4.703703,-2.240452,4.223707
3.742189,0.194885,5.521489
0.275703,4.373616,7.261047
7.002453,3.749882,2.467884
-6.601331,2.376024,1.118722
1.168828,9.797251,5.174518
4.070922,-1.638436,5.300258
-3.774495,1.307123,4.951471
-1.75964,9.719357,5.006901
-3.183923,2.642098,5.147162
-3.198466,5.718087,4.731846
-0.009194,-4.237661,6.930498
-3.547212,-2.271269,4.783658
2.574746,4.646465,4.888427
-4.376746,-1.321723,4.05079
-3.479466,-3.75483,3.970125
0.950904,4.472961,6.531862
-5.679042,6.707845,3.124747
7.161572,5.121477,1.627061
-5.960432,3.614193,3.269148
-5.182445,-0.57514,3.029805
-5.185166,-1.553292,2.66523
1.425977,0.733213,6.749755
-0.922843,4.377566,5.460734
-1.001601,-3.623748,6.607578
2.55951,9.263946,5.107377
5.113792,-1.415883,4.115968
1.922549,1.952252,7.320215
-5.414912,3.118909,4.008432
-2.616372,1.46647,5.545848
-4.133456,-2.649556,3.826192
5.534403,5.273232,3.778889
4.899072,3.933685,4.417653
-3.52241,-0.940882,5.022566
5.312902,2.967136,4.494957
0.468585,-0.310582,7.362459
-4.752295,0.637226,4.005916
4.488389,8.529912,4.384889
4.408796,-0.86993,5.075981
6.811595,6.503774,1.987303
2.522575,-0.289461,6.407655
1.963073,3.538413,5.678215
3.133556,-3.530694,5.590558
6.161364,6.480456,3.517392
-3.29775,3.354951,4.887298
6.469016,1.665083,3.086016
-0.795374,5.351614,4.870698
-3.946165,4.595717,4.452353
1.907148,8.764426,5.665157
-1.752579,-3.297193,6.0908
-0.163439,4.564452,6.679877
-2.72997,0.255383,5.580296
2.81555,-2.815211,5.910885
3.123561,1.882432,5.56987
5.587435,-2.031466,2.947283
-0.087459,5.29422,6.184395
3.582317,4.845209,5.092601
7.301923,4.342106,1.435991
-0.316716,10.15766,5.077284
-1.729119,5.174887,4.832861
-5.091932,4.524004,3.72139
6.102089,-1.599532,1.902147
5.024779,8.631333,3.918883
-1.665277,-0.575735,6.400501
6.799932,1.350683,1.892441
-2.523883,-3.99482,5.312694
