x1,x2,x3
1.863627,9.042154,6.81108
1.698818,-9.056674,5.635225
9.142566,0.063437,3.262876
-5.007437,0.213611,3.370655
2.50143,0.264481,10.06423
7.920215,6.425872,5.277308
6.777815,-6.060786,2.726471
-3.760237,6.50517,4.608009
-0.995913,-3.545132,6.140933
-1.914511,2.258984,7.520746
5.408394,-2.265939,6.28534
3.603247,4.206723,6.975547
-3.967176,-4.11395,2.886345
7.257074,1.706298,6.891581
2.609075,-5.35499,7.649293
-0.737317,6.097442,7.417586
-1.527675,-7.231732,5.517244
9.265201,3.704896,3.344875
4.898645,-7.416789,5.506598
-3.310881,-0.844049,6.305141
5.055806,7.449053,7.088325
-0.28645,-0.82916,8.23018
-4.401061,3.139819,5.148902
8.035234,-3.099206,4.069716
1.250327,2.692482,8.404944
-1.617618,8.636341,5.854141
4.562528,0.367123,7.761222
6.530618,4.777106,7.393079
2.112396,6.408094,8.085777
7.912221,-0.930113,5.914621
6.076909,-4.848548,5.179782
0.611995,-7.289473,7.459279
-2.851386,4.744934,6.627073
8.16002,3.775759,5.644147
3.572753,-1.740278,8.908814
-3.34331,-3.091689,5.104834
3.111045,-7.759326,7.160941
-2.715371,-5.474604,4.437187
8.895832,1.593921,5.089093
0.906677,4.481375,6.921934
7.954573,-4.170973,1.989736
0.349179,-4.941761,7.398687
-5.398137,2.759416,3.100234
5.165177,2.579843,7.416238
4.330268,-4.370771,6.532223
6.545747,8.231358,5.580784
-4.763564,-2.003997,2.862995
-4.42071,0.90322,5.437247
2.745303,2.485294,10.044445
8.843847,-1.953555,2.420266
6.602717,-0.320574,7.515811
0.582695,0.875775,9.350633
-4.673067,4.764525,3.780153
0.038991,8.064448,7.221206
1.394067,-1.361006,9.370092
-2.021656,0.171426,7.677729
-2.492563,6.772845,6.204689
3.88807,9.103826,6.494023
-1.436006,-1.61721,6.667821
-1.02098,4.053696,7.199469
2.519847,4.197799,8.638473
-4.370945,-1.178617,4.666182
4.083192,5.87939,7.905394
-1.11602,-5.466737,6.114933
3.443059,2.538108,8.272011
6.907069,-3.200689,5.58569
9.554367,1.883871,3.086159
4.031755,1.090391,9.40345
-3.475038,2.042813,6.541646
-0.148185,1.64128,7.848813
4.079832,-6.181378,6.689766
5.092466,-1.489946,7.913503
5.949734,-6.582954,4.260964
6.568953,6.37827,6.553939
3.296555,7.667098,7.555686
8.621765,-1.370522,4.322169
7.208622,-4.643387,3.717375
8.67162,5.048639,4.433673
-0.181426,-8.313269,6.274284
-3.912803,4.740384,5.297194
6.787594,3.293263,6.729938
3.726896,-8.55878,5.888408
5.948132,1.216937,7.821583
-2.233376,-4.36311,5.526708
-5.037101,1.628902,4.168255
2.116613,-6.791435,8.055923
7.572955,5.122457,6.186415
0.181441,3.052464,7.206785
8.127439,0.623481,6.17447
0.622008,6.792463,7.949232
8.835258,0.089013,4.790589
5.013913,4.663269,7.456468
6.727568,-1.606475,6.617139
1.649409,1.510617,10.410254
1.712906,-8.308381,7.009136
-3.259572,0.613618,6.948465
-0.500824,-6.751017,6.628725
-2.274368,-2.728253,6.146158
-1.206678,7.403888,6.766713
1.695405,7.765731,7.643232
3.698958,-0.2639,8.908301
-4.073378,-2.916186,3.796461
-0.252775,9.174759,6.294538
5.151264,-5.895892,5.637616
-2.644834,3.283369,6.762076
5.261279,8.72455,6.08094
5.392527,-3.670842,5.679298
7.917754,-2.217223,5.270798
8.914632,2.966625,4.526768
2.847358,5.212716,7.707121
-3.319877,-4.140785,4.14076
8.056995,2.35737,5.922025
5.451978,6.006915,7.321299
1.560447,-4.382423,7.794911
-2.680817,7.868852,5.384633
-1.743274,5.196831,7.347419
1.531483,-0.032769,9.101723
1.142874,5.620407,7.571792
-0.626542,0.399577,7.826474
8.295875,-3.117822,2.743131
-3.376388,5.864553,5.751084
0.96868,-6.027795,7.8324
3.209013,1.325791,10.450957
-3.599672,-1.891314,5.55937
4.210188,1.624392,7.683028
2.5571,-0.788194,9.295123
1.952605,3.219654,9.345007
-2.018496,-6.006871,5.353598
-3.543897,3.690466,5.97173
-4.912222,3.548284,4.028304
-0.535422,-1.853296,7.511439
-4.62894,0.045198,4.549958
1.453884,3.795499,7.884933
9.233815,1.030589,4.042861
-0.162137,4.953005,7.311393
3.993349,3.064677,7.311009
0.546963,0.103493,8.393337
5.652603,3.625609,7.040158
-2.272995,-0.865724,7.11887
-0.501468,-4.536027,6.610535
4.16833,-7.582121,6.447474
-4.795502,-0.962728,3.499362
7.037941,-4.133916,4.840438
6.335135,2.333564,7.337634
-1.063832,-0.672281,7.303299
6.448103,-5.469321,4.22475
5.759869,-1.016889,6.996896
