x1,x2,x3
1.860013,9.574659,4.839997
-0.23074,-7.205497,4.866176
-6.739286,2.114991,0.779531
7.055042,0.417265,0.319111
0.430126,1.253401,7.914697
-5.016751,8.509748,3.093063
6.674795,6.561901,1.998321
-4.654766,-3.60658,2.262685
4.460191,-4.599725,2.256529
5.111868,2.269798,5.112845
-3.669079,3.605345,5.13763
1.309543,4.954882,5.180885
-2.306222,-0.676889,4.761098
-1.820678,7.717813,5.74014
1.619404,-3.473463,5.232104
5.61019,-1.185041,3.472003
4.49923,6.925748,5.131501
-6.725402,5.839764,1.078339
-5.49703,-0.255563,3.201471
-2.048681,-4.197345,4.749011
2.799461,-0.207538,5.78444
7.033309,3.137569,2.415845
-5.964993,3.827352,3.215615
2.567383,-6.227871,4.481211
-0.896312,3.368702,6.353385
6.025194,-2.559761,0.970881
-4.228189,6.33751,4.767707
4.552852,9.31087,3.704019
2.269099,2.525542,6.023969
-1.636797,5.293774,4.638367
5.543576,4.690238,4.076979
-0.809103,9.973573,4.795151
0.784875,7.468303,6.095461
-4.252661,1.044456,5.220314
-5.961976,-1.647143,1.028933
3.539871,-2.701695,3.732678
-0.159206,-0.464398,6.295159
-3.079261,9.660433,4.090825
6.350797,1.078269,3.394738
7.334349,4.74691,0.6557
-4.036468,-1.97877,3.849108
3.499986,4.258902,5.033896
-1.791705,1.417813,5.508434
1.012994,3.48097,7.672837
-5.654071,6.343619,3.024592
-0.063389,-5.048334,5.449346
-2.382052,-6.216451,4.097535
-5.648437,1.803072,3.755185
4.655565,0.144175,4.840609
5.716791,7.533259,3.557952
2.720994,7.81998,5.579691
-6.298276,0.297419,1.47258
-7.138588,4.020167,0.410998
-3.60855,-4.851334,3.381972
6.596046,-0.849787,1.733881
-0.269342,5.898849,5.830271
5.170831,-2.905695,2.788256
3.370298,-4.642809,3.822409
2.814899,5.986104,5.376226
-2.324412,-2.466684,4.306391
-3.372024,7.982468,4.858399
1.492016,0.790986,6.541404
7.245085,2.069715,0.990445
-4.704756,4.698355,4.169993
6.711714,4.88731,2.623799
3.476908,-0.966594,4.101952
1.155276,-6.318934,5.531259
3.546488,1.383959,5.416837
-5.242597,-1.885707,2.584131
6.086122,3.010582,3.900433
0.39375,8.913546,5.315552
-6.435822,2.423053,2.393423
-0.494971,2.639725,7.800275
-4.179944,-0.44141,4.460479
0.218409,4.64139,6.77888
-1.998841,3.806146,5.203954
-0.455636,1.18897,6.547788
-2.745703,6.398434,5.433511
-3.214231,2.185263,5.78012
-6.293004,7.236535,1.854593
-0.848838,-3.626833,5.63247
-5.084568,3.173267,4.425031
6.866406,0.716729,1.933138
-6.553105,4.389923,1.851498
-1.26731,-6.118435,5.382068
1.757543,2.055063,7.583158
3.300084,8.951601,4.614947
6.254331,6.01023,3.607658
1.780962,-5.005419,5.019645
1.773693,3.997213,6.286532
-3.471358,-3.407665,3.921155
-1.61595,-0.029948,5.965725
3.7543,2.868347,5.678154
-3.382102,5.105171,4.962266
-1.957797,9.015193,5.024793
4.221911,5.509631,4.744176
-0.643623,4.512425,5.482846
4.806612,3.654532,4.821279
1.418886,6.165076,5.955411
-4.800741,7.342201,3.933689
-2.845665,0.59949,5.072388
-6.022603,0.938901,2.691048
-5.42107,-2.902781,1.293753
7.382075,3.443139,1.109826
4.558259,8.095777,4.359584
-5.064749,0.623874,4.197258
5.604157,1.123213,4.537311
5.218102,-3.658831,1.631791
6.042836,-1.904626,2.387495
-0.553273,7.298096,6.049162
