x1,x2,x3
1.028237,9.984938,4.816189
-0.029896,-5.09973,6.953711
-6.461934,2.306527,1.519999
7.246271,1.350401,1.592857
0.852042,2.791691,8.556207
6.327623,7.491408,2.650543
-4.763997,8.000305,3.264581
-4.44188,-2.714628,3.916691
4.510186,-2.990725,4.164132
-3.40924,3.300055,5.614177
4.715524,3.559924,5.304161
-1.033035,-0.264181,6.174228
-0.001117,5.897807,5.627503
2.954851,0.125459,5.95098
3.748224,7.268949,5.464798
-5.197552,0.657198,4.32814
-2.081163,8.527665,5.262508
5.999219,0.142107,4.482022
7.316227,4.712636,1.026012
-6.370525,5.638138,1.398207
2.252079,-2.920175,6.416816
-2.202219,-3.16093,5.944279
-6.037641,-0.917719,1.989401
-5.010847,5.145446,3.979682
1.96121,3.848616,5.985638
6.661996,3.484107,3.389553
-0.751408,3.397778,6.455339
3.740264,9.587155,4.083683
-2.62337,5.899982,5.156707
-2.995078,-0.654307,4.406853
5.692573,5.748103,4.43733
6.852227,-0.960958,2.381967
-0.118891,-2.392775,6.851228
0.842491,0.971391,6.987654
1.464968,7.78659,5.873465
-5.649555,2.909434,3.712347
-2.706711,1.152066,5.660466
4.760748,1.410161,5.775963
3.983598,-0.81802,4.275954
2.136958,5.832468,5.154522
5.151507,7.958799,4.194086
6.678346,5.532503,2.706155
2.318426,2.267714,7.168917
-3.767815,7.498492,4.867008
0.659552,4.412305,7.319672
1.873806,-4.758236,6.919658
-0.877278,10.032051,4.67503
6.764719,1.579651,3.45423
3.968416,5.312194,5.313112
-3.399574,9.147026,3.992387
5.855295,-1.698934,3.8228
-1.187227,4.567749,4.990456
-0.615654,1.960389,7.677776
-6.146494,0.842084,2.709523
-0.418512,7.855766,5.862191
1.40592,-1.264655,6.652435
-6.210811,4.033353,2.340378
-5.36552,-1.076794,3.705753
-4.419393,1.853903,5.420392
3.443107,-3.871718,5.511795
-5.477415,6.41663,2.870932
3.192676,-2.062218,5.215713
3.068662,1.85027,5.64756
7.301362,3.111005,1.717797
