x1,x2,x3
2.431299,9.804928,4.229751
-0.173183,-5.510046,6.953476
-6.647951,2.753948,1.485753
7.072367,0.368224,1.272633
0.427227,2.806735,8.625411
-4.38754,8.985928,3.19555
-4.534062,-2.362079,4.087174
6.702465,6.400987,1.763036
3.137423,-1.272078,5.067463
-3.140781,4.270217,5.07694
4.273631,3.741625,5.409749
0.657395,6.127703,5.615814
-1.516697,-0.044493,5.998816
-5.268104,1.262931,4.635346
-1.128599,9.249232,4.904044
-6.173264,6.264034,1.61903
6.014176,0.749264,4.640044
4.912845,7.205337,4.690078
3.043861,-4.743435,5.658955
5.864795,-2.275832,3.317449
0.637476,-2.307489,7.052046
6.937767,3.278668,2.790933
2.1833,1.501823,6.28645
-2.140507,-3.245627,5.921082
-6.099877,-0.506018,2.362069
-3.229075,7.173031,5.115353
-5.592425,4.314787,3.57855
-1.360008,2.749068,6.509138
1.526008,3.920158,6.489916
2.617903,7.695144,5.670539
5.865584,5.136913,3.915114
-5.121926,6.673963,3.727099
-3.430707,1.739262,6.019306
-3.420827,-0.366511,4.591624
0.409871,0.323997,7.216358
2.8917,5.527497,4.967223
4.605015,9.103362,3.447775
-1.464043,5.756834,4.80167
0.398088,10.74461,4.195544
4.254495,-3.58933,4.177739
4.388416,1.598681,5.884826
1.655909,-4.346233,7.304229
7.242255,4.479314,0.99351
0.66521,8.311543,5.456569
5.903148,2.822061,4.555098
-2.721158,9.936321,3.839465
6.670585,-0.42996,3.084586
2.372926,-2.791536,6.120379
-0.455773,4.489173,5.974596
5.075667,-1.026918,4.626624
-6.152065,1.434555,2.882748
-1.096293,7.430069,5.748089
-4.724504,3.094231,4.949374
5.908958,7.854734,2.763453
-5.332326,-0.593781,4.105304
-0.666563,-3.691963,7.087968
-1.12657,-1.799701,6.631613
6.861233,1.425267,2.944814
-6.382717,4.52038,1.932042
-2.334936,-1.570265,5.311505
-1.804416,-4.894121,6.436047
1.881036,2.367751,7.748215
0.246937,4.181307,7.622967
-3.434965,-3.460933,4.801455
-5.402309,7.794437,2.471927
-4.013609,5.650304,4.589985
3.254024,0.282665,5.713114
2.886623,2.999464,5.986226
3.577597,8.603908,4.653819
6.727152,4.940264,2.536028
-0.345451,1.893651,7.467394
4.509888,5.369711,4.816081
7.215658,2.305092,1.536979
-5.767032,2.681611,3.821325
-2.601225,8.660479,4.85608
1.546792,4.828843,5.193842
4.573422,0.37585,4.959561
-1.892239,1.424792,5.939721
5.981262,6.622611,3.6425
-5.478778,-1.692591,3.06281
-4.226339,7.828791,4.139166
-2.790769,3.091303,5.971086
-1.079074,10.55312,4.130651
1.741057,-1.485056,6.450712
3.534265,-2.712738,5.121004
-1.693204,4.026415,5.159903
-5.751258,5.560396,2.854428
0.975197,9.517197,4.715496
-4.212954,0.60673,5.34647
0.675853,5.088895,6.631723
1.762901,0.22177,6.703948
3.668082,6.728248,5.126791
2.811774,4.138749,5.175289
0.980461,1.571422,7.069255
-6.273212,3.407688,2.736265
1.928953,6.467361,5.243624
-3.631088,-1.718137,4.878645
-2.85041,0.661165,5.345457
5.338772,4.05886,4.586455
-4.579663,4.378011,4.557061
-0.828766,0.817719,6.776251
4.591203,-2.299085,4.372622
2.084958,8.802564,5.119561
0.354881,-4.448654,7.59911
5.575527,1.796434,5.339745
-2.743266,5.534421,5.010394
3.861968,-0.499097,4.320119
-4.640177,1.948283,5.547357
2.061389,-5.293437,6.530628
6.232201,3.914082,3.647247
-5.915801,0.279128,3.372477
-0.520819,3.187262,7.530139
3.188156,1.806966,5.579239
-2.020376,6.811486,5.190598
1.254697,3.440369,7.775684
-5.053734,5.385121,3.901124
6.671092,2.422574,3.65278
-0.318573,5.479324,5.222501
2.527524,-3.97004,6.472517
6.093977,-0.408769,4.175604
3.607989,9.779956,3.694651
-3.452972,8.962414,3.986148
-6.44921,1.560152,1.706756
5.230734,7.91654,3.761204
4.831822,2.714029,5.703607
0.141628,7.198232,5.794958
1.481706,-3.286597,6.764962
6.837457,-0.641634,1.87417
0.75487,1.710999,8.272996
-2.605553,-4.319504,5.706173
1.435391,7.463528,5.769461
7.249834,3.494114,1.655628
0.986836,-5.386029,7.130427
6.471928,-1.514526,2.669643
5.331407,6.126241,4.504977
-0.468,8.503529,5.472403
-3.899581,2.7698,5.83055
-0.188015,9.860815,4.614604
-4.256523,6.763302,4.624231
6.556886,0.562014,3.614657
1.565434,10.514316,4.095783
3.622123,-3.901073,5.057321
-0.992674,-4.758939,7.238817
6.938289,0.432588,2.417939
-5.582206,6.66861,2.708712
-2.809033,-2.569177,5.203797
-4.392257,-0.965644,4.592759
-1.593353,8.405733,5.448642
-6.30005,0.588048,2.201719
2.034524,2.956713,6.842171
-0.694332,6.478351,5.421906
0.443226,-3.459243,7.011469
6.392394,5.789973,3.105031
-6.756973,3.842501,1.18953
7.038039,5.480773,1.32606
-1.176414,-2.922059,6.545755
-4.941152,0.23691,4.647822
-2.344516,-0.221972,5.030106
3.726694,4.673404,4.996044
6.186922,1.808785,4.466563
-6.357838,2.391352,2.466987
5.879978,-1.417828,3.95609
-0.096114,-1.568308,6.902689
3.821933,2.523384,6.051948
-1.069973,3.631744,6.022896
6.294798,6.789701,2.645482
-1.636571,-3.902374,6.708446
7.072531,1.285794,1.839543
2.634345,-1.828778,5.83483
-5.296045,3.558765,4.216636
3.997935,7.745312,5.012177
-0.958149,4.713401,4.997722
-4.768286,7.922693,3.248629
-3.922955,3.666338,5.283859
-5.718936,1.61811,3.805132
3.02892,-3.464547,5.760299
-0.986868,1.825838,6.652761
-1.850841,9.795058,4.311921
-1.869103,-2.21594,5.913272
-0.393562,3.919457,6.867361
-5.230276,2.25554,4.677325
4.064642,-1.477031,4.540159
-2.328456,7.748522,5.421617
-5.050875,-1.531803,3.996902
3.843286,1.028553,5.302461
7.025568,2.320679,2.587405
-0.281403,-2.769621,6.886673
-2.05497,2.382993,5.944992
2.149446,3.747235,5.771252
-0.405742,2.480419,8.264008
-5.750018,-0.773866,3.255302
4.473855,8.408762,4.101956
5.084092,-2.842635,3.758404
0.213138,9.054633,5.076352
-2.013058,4.934949,5.096741
-3.484902,8.001986,4.733733
5.372405,-0.145675,4.809226
2.63147,0.639848,6.329353
1.346289,5.720842,4.984483
-1.221725,2.371612,7.37504
5.211295,0.904776,5.386584
4.530233,6.308528,4.945051
1.596199,-2.344499,6.769923
-3.426309,6.282043,4.921931
-5.979734,4.615309,2.749233
-3.760713,-2.631742,4.595268
7.053579,4.38318,1.88876
-2.872719,-1.154845,4.701965
5.138449,3.308853,5.064976
0.012636,5.386128,6.084471
-6.159936,5.398174,1.992631
2.793277,9.063199,4.605421
1.001861,4.299882,7.121652
1.181012,4.662973,6.003414
0.154846,1.205527,7.07137
1.274817,2.52042,8.398826
2.727331,6.875019,5.270646
-1.986229,3.415908,5.773236
3.735995,5.805488,5.001878
-0.340998,0.042273,6.840457
-4.19695,-0.199312,4.982771
-5.502156,0.61727,4.084673
4.587036,4.498631,4.787633
3.365658,3.638295,5.631498
-3.759724,4.810309,4.798215
-2.899085,-3.465835,5.482828
6.560675,1.45731,3.756554
1.860556,2.01252,6.96012
-2.12529,0.560629,5.896299
2.440457,2.326196,6.308349
-5.851503,3.497133,3.494856
0.372362,3.587148,8.231833
6.714796,4.102232,2.841219
5.186203,5.017128,4.419002
-2.696916,1.480592,5.662021
1.511464,8.29156,5.551916
2.365431,4.832822,4.959152
3.695804,0.00198,4.985518
1.640063,1.054178,6.795075
2.953727,8.372266,5.170311
-6.542403,3.527963,1.949135
-1.546765,-1.449256,5.857967
5.545937,7.169449,4.096354
-0.038473,4.679674,6.757352
5.372209,-2.066721,4.053468
-4.64307,6.139603,4.239493
-3.565139,0.988988,5.709538
6.327264,4.688115,3.388066
-6.102459,2.220753,3.234077
0.838234,-1.539084,6.858212
6.611592,5.820137,2.323637
1.784057,9.472087,4.659
5.216173,8.58827,3.305267
1.242349,6.686124,5.612407
0.943908,5.361568,5.584385
6.344086,3.143169,3.844509
-3.51593,0.329481,5.04397
6.382005,-1.122464,3.366221
-2.690892,3.757931,5.548082
3.837375,9.086862,4.009151
-1.508315,0.843551,6.321759
-2.862144,2.284507,6.1166
-5.163656,7.228403,3.084113
6.33174,7.505374,2.192926
-2.634924,6.314878,5.053175
-2.600373,9.247816,4.333498
4.10076,-2.928733,4.569592
1.144485,8.867596,5.169419
4.555706,-0.37326,4.657914
-5.412313,5.9847,3.501882
0.944956,-3.991301,7.395502
5.513035,2.587475,5.18028
-5.857765,6.90654,2.026593
5.777352,7.386222,3.361849
-4.747711,7.345718,3.7739
-4.734233,1.227499,5.295843
2.638816,-4.79164,6.310069
3.590615,-2.008642,4.824506
-1.986251,9.117202,4.766088
3.133001,1.03248,5.724518
2.925188,-2.710365,5.607093
2.18793,5.80706,4.954563
-0.388332,7.804738,5.751499
-4.479518,5.078873,4.291668
-0.299465,-4.947711,7.473557
-5.856902,-1.194173,2.549397
3.372899,7.469135,5.328655
1.092929,0.614993,7.103011
-4.298292,-1.734324,4.420208
5.861834,3.614205,4.2227
-0.979854,4.173302,5.516121
7.127351,2.908847,2.141582
-4.094316,8.429189,3.721755
3.078227,6.196789,5.226109
5.988402,5.867501,3.906807
5.822479,4.364037,4.068247
0.955214,10.167327,4.368796
0.177969,2.119391,8.531275
-5.565741,5.07001,3.370688
2.198666,-2.10373,6.357265
-2.157297,-4.180033,6.268456
-2.381596,4.241364,5.040914
1.035873,-4.759241,7.50242
4.149529,3.129763,5.819795
-5.038852,4.662902,4.072947
-0.345689,-4.20621,7.486406
-0.963079,9.85597,4.543571
-3.818,9.345178,3.460551
1.508946,3.406809,7.053515
-0.368477,10.500357,4.242997
-4.091458,1.478118,5.760208
-2.834143,-1.916835,4.901605
-0.94948,0.041882,6.43259
2.973926,10.089629,3.853214
-5.905566,6.016495,2.254911
-3.682114,-0.986438,4.83401
2.214807,-4.482451,6.881563
0.013656,6.435516,5.619034
1.988198,4.273653,5.269057
4.660572,7.856884,4.550069
-1.430504,6.394243,5.117823
-0.731972,3.27892,6.858368
1.323718,1.902931,7.593215
1.967721,-3.824425,6.940997
2.148452,7.170235,5.644392
-5.86761,1.012281,3.47889
4.51446,0.984894,5.508558
-0.805276,5.925214,4.978989
-1.51163,1.994766,6.163246
1.65133,-5.029941,7.153416
5.03285,2.048211,5.760778
3.049929,4.831994,5.087582
-5.307985,2.879887,4.369462
3.044162,-2.108918,5.278718
-3.470058,3.356539,5.709852
0.403827,-5.119692,7.427476
0.696408,7.614433,5.775871
4.824093,-1.665735,4.542823
7.048308,3.748678,2.266042
0.177877,1.671649,7.894857
-6.277421,4.065453,2.441214
2.239754,3.159684,6.167865
-6.125008,0.718405,2.882722
4.30432,7.120392,5.003223
2.194018,-3.348926,6.501303
-2.772785,4.845086,5.141149
-0.473436,9.119196,5.058435
-3.425964,5.416695,4.854376
-4.487998,2.629591,5.51014
-3.98494,7.386732,4.696185
