x1,x2,x3
1.883362,9.436726,5.026406
0.031133,-5.569379,6.375889
-6.675627,2.473339,0.853445
7.21959,0.721239,1.006839
0.41831,2.256239,8.465871
-4.769412,8.586509,3.32355
6.783165,6.820129,2.183563
-4.503428,-2.640535,3.466685
3.648291,-1.204404,5.200041
-3.392475,3.644852,4.950052
3.738476,3.893028,4.985744
-1.346156,-0.741349,5.773965
0.079102,5.784802,6.101233
-6.668966,6.234168,1.089174
-1.703693,9.852007,4.723869
-5.268816,0.823464,3.665409
6.801789,3.457913,3.16294
4.719721,7.25112,4.979175
3.351202,-4.639696,5.465137
6.167757,-1.955968,2.90539
-2.958563,6.796718,5.372258
1.064987,-2.540031,6.7838
-2.369317,-3.722872,5.549144
2.159138,1.374462,6.065739
5.329262,1.285202,4.704938
-5.77249,4.196495,3.176705
-5.919638,-1.016585,1.472358
-1.337578,2.062279,6.100538
7.587518,4.56644,0.732823
2.380625,7.05305,6.079099
-3.372921,0.769054,5.372883
1.591689,3.812798,6.47463
4.322614,9.498999,3.955532
-0.195878,8.190883,5.849101
-5.030298,6.284519,4.036454
0.57947,-0.135967,7.009352
5.615787,5.313828,3.964136
4.764915,-3.365671,4.124155
-3.297479,-1.59344,5.060392
-1.626526,5.065353,4.840114
6.497696,0.272475,3.076952
1.872196,5.281197,4.869971
1.812859,-4.624791,6.874422
-0.478844,3.864961,6.545019
5.818881,8.187148,3.338743
-0.596837,-3.665581,6.580731
-6.959095,4.383235,0.35323
7.446715,2.655368,1.376553
0.152425,10.534819,4.760695
-5.007423,2.684286,4.339875
-6.191572,0.889029,1.924818
5.395037,-0.824589,4.287351
-3.235189,8.66673,4.595355
5.493837,3.218132,4.556303
2.844191,-2.843272,5.917153
3.869765,2.139236,5.701312
-5.937703,7.516829,2.208297
2.121321,-0.640854,6.079455
-5.075086,-0.918916,3.121917
3.600379,5.795006,4.939062
-6.133354,2.47766,2.778512
3.335974,8.397684,5.154989
6.98512,5.067218,2.362915
-3.591322,5.306958,4.460677
-1.273343,6.847612,6.049584
1.871167,2.280265,7.54801
-5.925584,5.846682,2.592668
3.961824,0.456219,5.386827
6.754926,-0.745346,1.695281
6.485273,1.882231,3.610435
-4.205313,-0.365067,4.427626
-0.494947,-2.020366,6.49072
-1.925352,8.340525,5.544866
-0.091334,1.408929,6.95184
-2.964973,2.310109,5.770079
-1.827429,3.68168,5.668228
0.616676,3.7198,7.756944
-6.499341,3.807071,1.807993
-3.573303,-3.332979,4.553087
-0.840553,2.713325,7.555118
-1.431354,-4.911093,6.14129
-1.922371,-2.234907,5.663246
-4.249669,7.474182,4.656052
5.921122,6.827481,4.068762
1.374105,8.23405,5.810293
2.479724,2.828397,5.772497
7.086023,1.443603,2.310599
-4.675438,4.16081,4.176258
-1.851619,0.642652,5.761725
2.964829,10.131996,4.349693
4.669256,-2.016593,4.578139
-4.46512,1.405372,4.714207
0.974354,6.886219,6.196557
-0.702023,0.213591,6.5619
0.511197,9.27758,5.244636
4.720271,4.838555,4.902041
7.293277,5.79959,1.261796
-2.646894,-0.457724,5.519164
0.549326,4.694742,6.819097
0.409105,-4.42257,7.041278
3.797906,-3.41954,5.044494
2.445531,4.09598,5.236394
-0.455969,4.715827,5.515212
7.301886,3.849678,1.950094
6.503352,6.006009,3.214757
-5.354924,-1.863637,2.273441
3.584018,6.985159,5.540963
1.153645,1.061784,6.904558
-3.778203,9.524177,3.803117
4.915808,8.32407,4.245001
-5.152253,7.366245,3.332494
-6.459065,5.070863,1.574789
-4.205248,-1.618444,4.173085
-2.750034,4.685147,5.220587
5.980902,4.120628,3.866168
0.977568,5.030165,5.709151
-0.846222,9.146521,5.262574
-5.730595,-0.137336,2.431447
-4.004223,2.543589,5.160208
1.826632,-3.462866,6.480707
2.052985,-1.936624,6.123036
4.83877,6.063385,4.731816
-0.818194,5.919962,5.300828
2.814273,0.337789,5.981611
5.758968,0.350739,4.082999
-5.32297,5.240699,3.53099
-2.550343,5.812481,4.843305
5.466018,-2.4715,3.711676
6.151117,-0.857931,3.374994
1.737421,6.119629,5.714015
4.9572,2.335957,5.115485
-3.951856,6.340817,4.836808
4.540682,-0.502752,4.982715
-5.565424,1.94643,3.682648
-2.76011,9.695594,4.345235
2.700602,-4.158644,6.301697
7.129189,2.552506,2.572244
-2.821997,-2.739245,5.204403
6.920812,0.336093,2.012445
3.628462,-2.315977,5.119169
-0.128512,6.920653,6.094812
-1.473857,-3.206822,6.082521
-5.717027,3.149001,3.545711
-6.196633,0.015674,1.216384
-6.469783,1.408024,0.997261
1.077259,-5.437829,6.639437
-5.955396,1.348985,2.873295
0.804509,1.430763,7.854876
1.881759,0.360027,6.539056
0.470016,-3.424729,6.64619
1.275844,10.28573,4.784041
7.662811,3.484274,0.739649
3.209221,1.251238,5.598478
6.43977,4.910854,3.265389
-6.397666,2.101681,1.816848
6.348474,7.068222,3.123028
2.330664,-5.23045,6.18238
3.214868,4.864073,5.250072
-1.202659,3.088012,6.298044
1.177105,2.909266,8.126992
5.835188,2.243393,4.364062
2.411919,8.227154,5.654908
-3.310567,7.766626,5.117054
2.807876,6.302603,5.377704
4.258393,3.059516,5.355983
-2.220479,-4.726019,5.367288
-0.519889,-4.82007,6.818159
-6.797802,3.508814,0.854144
-1.84314,6.299554,5.40745
0.56463,-1.774744,6.336277
-4.11277,8.286839,4.064158
-2.214538,1.632553,5.694973
2.240594,2.846167,6.755534
4.552064,1.439069,5.34527
6.26666,3.056471,3.940237
7.339845,1.652669,1.349978
-1.009125,1.126456,6.215656
-0.050831,3.05148,8.089099
3.560906,9.18461,4.513039
-4.883527,-0.087816,3.740559
-6.108756,6.57929,1.946525
3.089005,-0.576075,5.714223
4.978269,0.374791,4.825277
-2.031235,2.708031,5.841362
-4.497403,5.244689,4.062204
-2.296456,7.447121,5.699172
4.749783,3.890845,4.668437
-2.224795,9.058489,4.944323
-2.415451,-1.399644,5.417192
-6.067371,4.857065,2.437077
2.853432,-1.912659,5.536678
-0.200137,1.822541,7.81623
-4.372654,3.349834,4.629714
-0.882074,10.356086,4.733767
-3.647147,-2.381498,4.639838
-3.472858,-0.184643,5.133184
3.271672,3.321555,5.588079
-3.718374,1.654284,5.371967
-1.220132,7.788243,5.958399
-1.195843,4.245856,5.167721
1.320737,3.331884,7.239031
-5.509895,6.50584,3.204042
-6.206715,3.4319,2.618566
-3.884454,4.389486,4.627194
-4.158593,0.520621,4.729582
0.591083,7.730067,6.063627
-2.772896,3.254711,5.531729
1.617272,1.871987,6.749356
6.51119,-1.052562,2.539106
4.095729,7.854045,5.314307
5.716895,-1.57964,3.779341
-4.752138,-1.748289,3.367601
1.28849,-0.497875,6.548247
1.670973,4.392403,5.626522
5.394214,7.534871,4.435932
2.701101,9.031279,5.01267
-5.480096,8.116066,2.711381
7.330837,4.693047,1.617109
-0.796668,2.01381,6.985819
6.705112,1.180451,3.085516
-0.257824,3.480211,7.326501
3.23045,-3.754976,5.703022
6.001893,1.25211,3.999671
0.935651,5.998002,6.114294
6.913583,4.205359,2.70849
-2.143034,4.084385,4.950185
2.674627,1.986532,5.600573
1.151756,-3.936273,6.866124
-5.519435,-1.000554,2.367361
-0.278311,9.797524,5.036904
6.882578,5.976766,2.396049
2.789177,5.471465,4.785272
-0.174839,-2.833938,6.637377
-1.156811,-1.868488,5.872782
-6.544476,2.944082,1.658756
0.026132,0.549646,6.907883
-4.83649,7.126824,4.106996
4.088862,8.518428,4.670783
4.277348,-2.78204,4.605208
-1.50153,-4.048104,6.254682
-0.761029,5.185413,4.866202
3.139815,7.72638,5.647179
5.245216,4.485877,4.308584
-6.722482,5.134069,0.770165
4.141539,6.423061,5.247373
2.252636,3.658113,5.974059
5.322242,8.814732,3.592791
-0.04675,4.824748,6.246303
7.007621,-0.099913,1.227783
6.749787,2.630221,3.34736
-5.640553,0.484428,2.981873
-1.428302,0.000587,6.148259
-3.018106,-3.827067,5.036588
1.863689,-2.638707,6.568304
1.609193,7.406673,6.077212
-1.033719,4.092108,5.974301
1.28416,2.092062,8.192718
-4.546896,-0.891975,3.890488
-3.707724,-0.908511,4.814842
3.813859,-0.372156,5.348121
0.595443,8.444417,5.646912
-6.698465,4.304899,1.185417
-2.647464,8.296174,5.158246
-5.051232,1.524895,4.150218
1.219788,5.632415,5.221684
1.312061,8.968914,5.36012
-3.002668,1.446763,5.699384
-5.34834,3.833237,3.769246
5.536432,6.110264,4.325566
4.449083,-1.307272,4.893337
-1.085505,-2.540396,6.316374
-2.691085,0.341275,5.567344
-0.202942,-0.412143,6.570147
-1.424939,2.470439,6.792311
6.522092,7.592063,2.546257
1.067196,4.066557,7.058654
