x1,x2,x3
1.466048,10.228685,4.647669
-2.794473,-4.970553,4.285935
6.731307,0.645877,0.864268
-6.949692,4.481772,1.505495
0.608325,2.17703,8.279613
3.688278,-4.539704,3.453747
6.309631,6.770984,2.532816
-4.343414,9.372603,3.525024
-3.883867,0.768706,4.84112
-1.05151,5.442458,4.534374
4.273568,2.741683,4.740776
-5.829752,-2.19105,1.53323
0.661063,-2.415548,6.558224
3.185608,6.629665,5.138962
4.97549,-0.962034,3.894616
-4.716878,5.767675,4.090598
-6.262503,1.181946,2.2924
-1.541425,8.763031,5.501361
7.350322,4.012652,0.684642
4.579554,9.559693,3.370604
2.302329,0.414954,6.017317
-2.421585,-2.037153,5.65833
1.42872,3.810776,5.691371
5.582704,-2.788372,1.449591
-1.373051,2.272764,5.790999
1.649679,-5.191289,5.741826
6.513727,2.549474,2.958943
-6.090056,7.247146,2.157275
-5.356429,3.059448,4.146397
3.238274,-2.547632,5.351439
-0.798885,-0.095138,7.094569
-0.986541,-4.627139,6.423465
-4.416735,-2.762636,3.822262
0.63676,7.256072,5.677936
4.847525,5.109784,3.907809
-3.02072,3.857073,4.600353
-0.925056,10.921409,4.456552
-2.8863,6.816463,5.259252
-5.200048,-0.608101,3.372106
-0.301754,3.882234,7.076332
5.003336,7.4964,4.220203
3.135405,8.764171,4.774602
6.514954,4.647944,2.590885
1.409281,5.626079,4.535403
5.349741,1.095643,3.927601
6.005039,-0.841317,2.082285
-6.423827,-0.334797,0.932323
3.064269,4.40547,4.547008
-2.201545,0.146103,5.721964
4.6956,-2.842919,3.358832
1.077417,-0.619532,7.172748
-2.637539,10.017704,4.322915
3.923916,0.261699,4.968
0.37669,5.401753,6.136191
2.536992,2.188621,5.292728
-6.550031,3.034601,2.667644
-3.85572,-1.163523,4.790744
-4.406115,7.59347,4.374794
-5.871452,4.694387,3.115442
0.79154,1.159451,6.776254
-2.490092,-3.850488,5.672753
0.207286,9.130377,5.309587
3.066318,10.455274,3.873841
-5.296552,1.166905,3.799447
-1.034483,-1.88849,6.77399
7.089517,2.363536,1.284126
-1.004003,2.157052,7.549635
-1.113523,7.043919,5.5335
3.004862,-4.29087,5.119272
0.653885,-4.13264,6.754073
-1.243684,3.964293,5.406984
2.363186,-1.312949,6.150426
-3.032284,2.199058,5.201288
6.29487,0.914236,2.524819
-3.049035,8.47332,4.836016
2.203525,7.809647,5.80946
5.576062,3.536354,3.915156
2.001842,-3.370133,6.052261
1.393362,2.720694,6.902451
4.635943,-3.966488,2.213543
-2.655292,5.400661,4.505416
-3.967113,-4.205247,3.384609
-5.189665,8.146829,3.172434
-5.012776,-3.17848,2.482966
-4.429906,4.280711,4.118808
3.961208,-1.280901,4.965009
-6.842169,2.227844,1.377755
-6.417641,5.74426,2.098369
-3.365709,-2.923094,4.971883
-1.89472,-5.141544,5.418324
-5.71885,6.40175,3.260947
-4.488447,2.074204,4.686917
-0.488564,-3.291082,6.748591
-5.836419,-0.891354,2.097878
-0.591155,1.218384,6.479724
1.605649,9.010378,5.342225
4.524073,6.210197,4.716741
5.659569,6.237865,3.646112
3.758665,-3.363981,4.3747
5.455006,-1.959901,2.656119
6.968988,3.475183,2.05489
-5.19034,-1.898849,2.875981
5.68878,-0.086196,3.1733
0.141914,-5.224294,6.04228
-1.766878,-0.81569,6.53707
1.756071,6.75295,5.111007
4.291828,3.984541,4.323261
2.031913,1.66165,6.481001
