x1,x2,x3
-2.305888,9.742043,4.80108
2.337443,-4.847423,5.597507
7.412006,4.625094,0.780241
-6.340807,0.229825,1.367906
0.245866,2.701906,8.460589
4.305195,9.654538,3.971744
-6.573601,6.540361,1.455159
6.356608,-1.420327,2.160621
-3.285191,-3.843934,4.31427
4.683269,2.809521,5.255378
-3.85281,3.422584,4.98571
1.306835,6.212862,5.441682
-0.523371,-1.439365,6.921006
3.021736,-0.882756,4.97128
5.98332,6.256824,3.871032
-4.418831,-0.280713,4.577243
-4.654116,6.997879,4.656255
1.113574,9.659741,5.224615
-6.427983,3.378114,2.705721
6.806195,1.885491,2.744065
-0.867656,-4.69636,6.383769
-1.535746,1.459113,5.934397
4.363732,-3.422145,3.662534
-1.753796,5.753058,4.776478
-5.268793,-2.402832,2.470378
2.126671,1.687819,6.357538
3.848163,7.333952,5.420576
5.556533,0.02638,4.330843
-0.760011,7.886324,6.026757
-0.338071,4.414868,6.547
1.749293,-2.520532,6.424757
2.412401,3.973449,5.047914
-2.477145,-1.715428,5.367503
-4.471911,9.191656,3.71295
-5.431366,1.863169,4.209345
6.944505,0.479208,0.879731
6.216912,3.928342,3.672745
-5.068072,4.920199,3.744738
4.336344,5.132921,4.936468
-7.045819,4.42936,0.817755
1.475188,-0.372847,6.778924
5.824807,8.31115,3.129396
-2.837551,7.757394,5.520124
-3.681231,1.375448,5.705623
-1.775624,3.544384,5.281227
3.970562,0.874492,5.510971
7.361955,2.557996,0.843092
6.817586,6.255392,1.978664
-5.631442,7.660916,2.903369
0.108267,1.124703,7.123681
-6.724035,2.176953,1.156251
2.002989,8.057323,5.93092
0.972445,-4.260843,6.898853
-5.682395,-0.540622,3.039208
3.294552,-2.804698,5.152949
1.274756,3.35221,6.833636
5.363887,-1.792514,3.759827
-4.172894,-2.163181,4.021473
-0.554342,10.467887,4.923347
-3.54661,5.351645,4.672447
-1.427328,-2.961072,6.20404
5.916831,1.79052,4.294562
-2.506085,0.068337,5.396689
-0.991509,2.615242,7.159006
-6.273493,5.130252,2.468151
2.936664,9.192957,4.977839
-6.153786,1.347545,2.706584
6.567906,0.165027,2.85278
7.102177,3.621688,2.164216
-0.407233,6.22811,5.688503
-2.212054,-4.344487,5.477709
2.846163,5.836107,5.016388
5.166942,7.594009,4.500637
-1.226561,-0.008343,6.535975
1.525672,1.979914,7.802344
0.015726,-2.944819,6.875159
1.137598,4.539577,5.798363
-5.354434,3.436473,4.224173
3.119655,2.688634,5.666708
3.379023,-4.291596,4.600809
-5.957558,-1.28693,1.653814
2.627112,0.254203,6.013772
4.534906,-1.054914,4.794473
-5.690015,6.252264,3.459595
-2.68523,2.466638,5.722339
6.570541,5.111592,2.877355
0.683626,7.439949,6.076952
-0.203869,9.106298,5.480296
-0.813126,4.777509,5.257514
-3.393137,8.831014,4.741118
5.083672,3.956948,4.506984
-1.685363,6.862698,5.751925
-4.252337,-3.364153,3.299454
-5.344091,0.504255,3.895566
0.301639,3.869402,7.648781
-1.790676,8.70738,5.649293
4.123443,8.472851,4.716453
3.794392,3.839097,4.936464
-3.449112,6.576021,5.242964
0.817435,-1.598846,7.017998
-2.604591,-3.077699,5.215853
4.748366,6.418979,5.014364
2.509209,-3.539923,5.956355
2.267009,-1.31117,6.172198
0.079165,-0.254649,7.042975
-4.5273,2.274368,5.207497
-2.473385,4.650714,5.060308
4.263918,-2.269396,4.342398
-4.757903,0.986519,4.970746
5.512367,5.047636,3.960108
6.245534,7.109265,2.925601
5.090317,1.448259,5.21977
-1.539145,-1.183145,6.116116
-3.529158,-1.195944,4.854998
2.500112,6.933622,5.679955
-6.839275,3.373418,1.505935
7.052219,1.540228,1.523122
-0.543468,1.831557,8.048254
6.096079,-0.865945,3.370739
-4.873547,-1.159458,3.815428
1.852908,5.108613,4.96153
5.273253,-2.785462,3.042219
2.162681,10.121827,4.763765
-0.970687,3.382145,6.18867
6.418388,2.70201,3.660605
-4.36367,8.107037,4.257296
1.220031,0.82364,6.74868
0.363089,5.421345,6.134812
-6.094258,2.393362,3.307375
6.717767,-0.369146,1.717141
-4.598912,5.840456,4.372898
1.987592,2.884286,6.007219
-4.223541,4.412621,4.406012
0.948819,8.562856,5.816605
7.037213,5.119251,1.787449
-5.969692,4.287807,3.271037
-3.646733,0.258347,5.267683
4.956549,8.689879,3.933994
-6.723814,5.386869,1.37622
5.587128,2.884398,4.542197
2.983782,1.446326,5.624804
0.534682,1.558646,8.324351
6.161735,0.839479,3.720493
3.060562,8.194761,5.497711
3.287472,4.809896,5.220799
4.008795,1.987212,5.712414
4.615577,0.074859,5.039716
-6.065284,6.611938,2.471863
3.237075,10.050284,4.337796
-1.202108,9.614224,5.217419
-3.229102,-2.300934,4.738951
-0.184335,-4.067387,6.972894
-3.615505,9.755632,4.109741
-6.507655,2.287732,2.225604
-2.505607,1.150662,5.547428
0.713035,4.486124,6.812429
-6.08691,0.287634,2.46609
-0.884254,1.544299,6.79614
-3.822427,7.58238,5.098974
7.110089,2.531186,1.947913
-2.805692,3.63439,4.993388
2.936212,-1.824292,5.467389
-1.628584,2.564973,5.822492
-6.444648,1.251861,1.690106
