x1,x2,x3
-2.456011,10.353036,4.4794
1.782418,-6.588525,4.224854
7.294698,3.839777,0.660755
-6.499334,0.378534,0.654536
0.569014,2.055883,8.600354
4.695254,10.019047,3.371748
-6.777199,6.817578,1.157604
4.424554,-0.737011,4.168048
-2.722723,-2.168137,5.080914
-3.753534,3.536151,4.884546
3.83952,4.795356,5.066827
-0.368494,6.478233,5.759085
-2.577182,-6.156662,3.216442
1.263818,-2.933962,6.348102
-4.898547,-3.258756,1.431754
4.274872,-4.112308,1.947295
6.514505,0.006804,0.940522
-4.791281,7.248756,4.489023
1.229795,9.859148,5.036076
6.250807,6.723217,2.720359
-6.549706,3.483781,2.532466
6.163643,2.401858,3.739408
-4.937664,0.411228,3.776951
-1.759377,0.98567,6.121289
2.616484,1.647828,5.832085
3.612878,7.85695,5.264556
-0.752702,-5.085865,5.428446
-0.697868,3.740261,6.640357
0.070787,-0.624985,7.626972
-4.9123,9.727725,3.184104
2.811245,-4.011084,4.289937
-2.56395,7.979124,5.710502
1.337964,4.680219,5.317696
2.772369,-0.938926,6.043348
5.209045,-1.770266,2.071363
-3.34891,-3.821592,3.375472
-2.46979,5.65557,4.852049
-5.923724,5.690233,3.064037
-4.281276,-1.719437,3.15673
6.535887,4.449472,2.77954
-7.116854,4.627646,0.659201
1.498594,7.834826,6.063044
-0.97473,-2.999829,6.311968
4.585709,1.352932,4.901595
-5.555508,2.46215,4.16374
-0.475396,8.646482,5.737385
5.804039,0.387375,2.977316
-3.351623,-0.101378,5.110607
6.872386,2.020496,1.684363
1.350668,3.070873,6.727725
-5.643721,-1.260029,1.640055
4.90062,6.474179,4.38633
-5.765988,7.789289,2.675984
-0.50499,11.025858,4.57867
6.031939,8.831129,2.338438
-6.213339,1.439904,2.501763
-1.781966,-1.003317,6.622164
1.282444,-4.853997,5.391682
2.832502,10.707635,4.116145
1.052383,0.997824,6.949956
3.980722,-2.703546,3.331308
6.931368,5.819728,1.091035
-0.173372,-6.795439,4.618824
-4.359792,5.283559,4.228255
2.342383,6.36236,5.08817
3.185032,-5.514512,3.133473
-3.813705,8.985631,4.613214
-1.230696,2.098788,7.606909
5.252877,8.30532,4.020775
-2.150844,2.757394,5.591967
-4.067921,1.645645,5.089803
-6.84424,2.409174,1.009254
-2.070081,-3.916594,4.814226
4.863261,3.298983,4.69199
2.674187,3.37725,5.308123
3.116979,-2.370432,4.969689
-0.927408,4.857789,5.261287
0.298897,5.157778,6.675647
5.338807,4.844359,3.924502
-5.566913,4.123141,3.794489
0.259195,3.70553,8.029139
1.699647,-0.592252,7.258067
2.855118,9.262,4.909429
-1.658691,-6.133736,4.61773
-0.532919,0.770306,7.072449
3.639787,0.149448,5.339468
-2.341791,4.113548,4.908291
-3.317543,6.929661,4.906168
0.176817,-3.923337,5.947617
-5.627335,-0.016506,2.523722
-1.759823,9.301376,5.27615
-4.086741,-4.253321,2.151897
-6.573184,4.875532,2.004233
-3.753678,10.365361,3.751065
-1.735832,6.841874,5.429363
2.295634,0.363524,6.402361
-2.513665,-5.064114,4.110618
5.036942,-3.008675,1.413465
3.72217,2.394718,5.305726
6.784505,3.066516,2.621215
6.529872,7.654795,1.705962
0.972205,6.245724,5.414098
-3.454047,-2.55051,3.951532
5.984062,-1.396798,0.971199
2.124834,-3.369987,5.323367
2.335714,-5.315794,4.419964
-4.992166,8.36767,3.682959
-3.690385,-1.202659,4.32983
0.950863,-6.194907,5.262522
3.533163,-4.17104,3.113745
-0.150159,9.830968,5.14836
1.676194,2.063916,7.583236
4.061818,9.209645,4.310161
-4.158784,-2.976399,2.546245
5.140807,-0.813996,3.004884
