x1,x2,x3
2.58284,9.838423,4.876696
-0.95399,-5.177453,5.883222
-6.936008,3.859206,0.742751
6.867784,0.622139,1.273527
0.789454,2.558617,8.614451
-4.379184,9.84082,3.517186
-5.296698,-2.147641,2.261131
6.795189,6.581739,2.105444
4.264892,-3.853841,3.80824
-3.096786,4.484401,4.951053
4.261805,3.208797,4.964355
-2.428867,-0.3833,5.96889
1.799965,-1.601721,6.844894
0.909692,5.953995,5.672757
-5.460816,1.57054,3.625603
-1.223221,9.113923,5.594066
5.168882,-0.31476,4.502251
-5.703898,6.452597,3.00084
4.74622,6.936712,5.070176
6.914833,3.431293,2.935219
-3.29469,-3.246262,4.677823
2.214294,-4.700455,6.136534
-1.183734,2.403046,6.140552
5.257323,9.500239,3.475015
2.139247,1.315358,6.233836
-3.636792,7.423869,5.218127
5.993089,-2.095854,2.177319
-0.810443,-2.512956,6.571505
-6.105506,0.303661,1.317763
-0.133786,0.210494,7.247044
-4.354587,-0.690746,4.155448
-3.536574,1.833345,5.309616
-5.384828,4.089648,3.833593
1.437203,3.676256,6.486492
0.344186,10.852215,4.898289
-1.476539,6.284765,5.229101
7.435079,4.554082,0.840388
3.662345,-2.077855,5.33774
2.595751,7.639499,6.060735
3.111895,5.257641,5.010544
5.497962,5.007084,3.988671
5.927753,1.778466,4.148146
-2.454063,10.428991,4.502112
-0.472863,4.40292,5.967027
0.471606,8.010645,6.079699
0.479627,-4.064682,7.072979
4.051001,1.083108,5.508154
-6.604357,5.87614,1.254101
-6.390461,2.272204,1.948554
5.954649,7.594323,3.564286
6.254969,-0.297553,2.88322
-4.38815,5.818435,4.418569
-5.465432,8.43262,2.818865
7.372281,2.684059,1.248079
5.1274,-2.099716,3.870196
3.081329,-0.409302,6.125528
4.069678,8.723562,4.789727
-6.333246,4.44053,2.358896
-2.34904,-4.753396,4.867969
-0.032938,3.669143,7.500365
-0.612906,1.796247,7.823188
-5.426273,-0.206637,2.851154
-2.279236,-2.159304,5.682448
6.841835,1.707099,2.604073
-4.352185,-3.199017,3.23396
2.656465,2.821264,5.648764
-4.783688,2.737828,4.630097
2.472012,-2.993237,6.076136
-3.320804,8.973517,4.708203
-2.00745,7.683378,5.947365
6.716816,5.072506,2.770583
1.087763,9.416983,5.424121
-4.831413,7.484026,4.090663
1.498319,0.035584,7.178468
5.802824,3.409484,4.283853
3.37758,-4.117266,5.144744
-1.796024,-3.678722,5.940168
-1.326852,0.751879,6.269986
-1.8047,3.584515,5.27693
1.948219,2.253091,7.499652
0.143369,-1.348689,7.153571
1.668194,4.610092,5.245667
-3.610553,0.306975,5.090388
0.563696,-5.261926,6.079405
0.65998,4.927415,6.842354
-1.173947,-0.764872,6.702895
-3.086936,6.001902,5.147339
-3.480576,-1.655056,4.946673
4.030922,10.039281,4.103259
0.787105,1.313486,7.824842
-6.023208,2.909349,3.225314
-6.22146,7.180537,1.818549
-0.283886,6.752556,6.014002
0.74225,-2.642317,6.830033
5.187245,-3.175708,2.884147
-1.025875,10.405945,4.972227
6.348846,6.211164,3.550807
4.384211,4.628913,4.912276
-5.8334,-1.072344,1.518735
2.313703,6.443938,5.369528
-1.31971,4.867706,4.943801
6.464804,-0.894365,1.648287
-4.643229,-1.849713,3.460313
-2.284467,1.636009,5.825816
-3.493873,3.172191,5.050464
4.217404,-0.834502,5.343397
