x1,x2,x3
-0.122716,0.070897,0.404062
-0.350198,-0.373226,0.809489
-0.169227,-0.467663,0.253952
-0.139407,0.412856,0.750993
-0.13115,0.101677,0.02167
-0.305517,-0.122614,0.60052
-0.078104,-0.183536,0.254696
-0.261939,0.163721,0.648364
-0.215684,0.26205,0.229235
-0.197915,0.28775,0.458754
-0.320265,0.141709,0.365184
-0.156134,0.074323,0.212104
-0.059481,0.216844,0.316562
-0.269481,-0.020934,0.456571
-0.128043,0.401732,0.576647
-0.296938,-0.265137,0.690575
-0.151463,0.249786,0.734262
-0.075016,-0.339837,0.214627
-0.144691,0.161909,0.532144
-0.121115,-0.054117,0.318898
-0.114908,0.199851,0.139356
-0.283531,0.179756,0.501082
-0.197701,0.276657,0.602827
-0.278432,0.139555,0.232097
-0.231379,0.048483,0.322877
-0.27409,0.258582,0.350093
-0.214987,0.121649,0.112908
-0.233296,0.079553,0.556955
-0.152237,0.294715,0.337383
-0.074567,0.185822,0.43317
-0.068358,0.097868,0.291481
-0.239446,0.089279,0.438714
-0.092537,0.096823,0.125727
-0.110525,0.250929,0.233633
-0.170752,0.338641,0.690182
-0.127727,0.45661,0.66115
-0.084472,-0.436127,0.21963
-0.067069,0.152289,0.206037
-0.263772,-0.079272,0.529226
-0.354667,-0.323934,0.731796
-0.215795,0.200287,0.161789
-0.123264,0.244627,0.486502
-0.278046,0.246892,0.439147
-0.162409,0.083935,0.492454
-0.14329,0.047576,0.318801
-0.301188,0.196849,0.296305
-0.10587,0.263256,0.402811
-0.047069,0.143656,0.363632
-0.22325,0.244205,0.528129
-0.295561,-0.199456,0.636695
-0.192248,0.21192,0.655634
-0.222242,0.163723,0.557879
-0.082572,-0.265783,0.247513
-0.135546,0.330919,0.615422
-0.225164,0.078811,0.250332
-0.153764,0.334843,0.767031
-0.255414,0.026324,0.394548
-0.145646,0.14674,0.086068
-0.288029,0.095536,0.296216
-0.217115,0.102127,0.629616
-0.222302,0.287047,0.301864
-0.109057,-0.120739,0.284715
-0.102226,0.12735,0.471534
-0.108008,-0.458044,0.296429
-0.212507,0.291373,0.381967
-0.300854,0.149202,0.435895
-0.190519,0.055341,0.382252
-0.231114,0.108137,0.185015
-0.119771,0.389004,0.683601
-0.263926,0.11302,0.504842
-0.262348,0.207789,0.240293
-0.311126,0.207708,0.382652
-0.162145,0.235851,0.191133
-0.282457,0.080693,0.3637
-0.099889,0.268698,0.303928
-0.307042,-0.334068,0.776921
-0.073947,0.083911,0.35643
-0.157385,0.282756,0.273136
-0.109158,0.111934,0.238017
-0.117709,0.0002,0.354039
-0.060769,0.176653,0.266712
-0.176643,0.10784,0.551339
-0.15532,0.091633,0.118853
-0.16376,0.224828,0.535503
-0.116047,0.336777,0.716383
-0.165987,0.428683,0.699029
-0.15422,0.411302,0.631264
-0.256766,0.124513,0.590034
-0.070333,0.126999,0.420565
-0.143631,0.241568,0.675623
-0.268125,0.247902,0.283117
-0.077985,0.151225,0.14257
-0.184187,0.380988,0.728398
-0.107755,0.090674,0.18172
-0.271928,0.235915,0.498051
-0.092124,0.21029,0.19778
-0.056333,0.200126,0.370517
-0.179907,0.181678,0.114308
-0.188772,0.077274,0.163932
-0.170091,0.068513,0.434622
-0.300707,-0.308251,0.727174
-0.207618,0.161237,0.634163
-0.116558,0.10019,0.075293
-0.168498,0.365002,0.586476
-0.154922,0.285499,0.412242
-0.220537,0.081236,0.495089
-0.173163,0.269529,0.50356
-0.16304,0.062791,0.270652
-0.168021,0.300301,0.728491
-0.08004,0.246092,0.355351
-0.106927,0.429793,0.617148
-0.078864,0.226999,0.268667
-0.045022,0.143731,0.31125
-0.227568,0.241274,0.630904
-0.309363,0.140421,0.310317
-0.111095,0.182092,0.498504
-0.167263,0.104265,0.066679
-0.23262,0.149943,0.155414
-0.303858,0.199832,0.437909
-0.256994,0.26875,0.396585
-0.126143,-0.442346,0.24861
-0.169509,0.300649,0.636765
-0.236508,0.272822,0.487168
-0.290387,0.111128,0.405019
-0.268272,-0.10078,0.574262
-0.170664,0.315049,0.583195
-0.109173,0.065945,0.287578
-0.369272,-0.352429,0.769394
-0.07559,-0.389246,0.208631
-0.144637,0.036634,0.371494
-0.120357,0.376905,0.618723
-0.1746,-0.47987,0.300613
-0.278379,-0.042949,0.498852
-0.207003,0.127357,0.589702
-0.249901,0.196104,0.535126
-0.116719,0.432437,0.704072
-0.160271,0.214419,0.143978
-0.123382,0.090259,0.449992
-0.100643,0.140403,0.102409
-0.170955,0.245542,0.626283
-0.060361,0.131682,0.247798
-0.260032,0.138845,0.545653
-0.132002,0.119906,0.5064
-0.238814,0.201441,0.662467
-0.096149,0.231595,0.435232
-0.238922,0.278823,0.437895
-0.156367,0.254594,0.232949
-0.308399,-0.223576,0.673677
-0.121262,0.36763,0.750075
-0.260315,0.115508,0.637581
-0.080221,-0.222964,0.231696
-0.201283,0.081745,0.207598
-0.291726,-0.154411,0.63105
-0.107042,0.0514,0.350441
-0.254984,0.071762,0.39843
-0.296227,0.159691,0.268099
-0.188823,0.047086,0.336911
-0.229661,0.134608,0.663454
-0.184658,0.185072,0.547854
-0.163593,0.385708,0.688543
-0.116709,0.280189,0.359101
-0.202928,0.083055,0.588672
-0.122924,0.356301,0.580011
-0.146937,0.273215,0.463112
-0.16449,0.377311,0.767789
-0.196627,0.297376,0.341783
-0.25813,0.143923,0.193799
-0.262852,0.100005,0.253985
-0.205382,0.232741,0.189985
-0.272839,0.113109,0.452608
-0.2445,0.007103,0.431765
-0.312003,0.200536,0.340105
-0.21331,0.202838,0.617434
-0.253373,0.064136,0.289519
-0.305433,0.108389,0.340484
-0.104887,0.419366,0.658067
-0.08515,0.089548,0.396644
-0.244414,0.084569,0.597253
-0.223124,0.030523,0.367981
-0.075816,-0.297729,0.22133
-0.128666,0.076695,0.2484
-0.078975,0.119458,0.17327
-0.212233,0.067448,0.415532
-0.236747,0.287135,0.342726
-0.259119,0.047809,0.354323
-0.102272,-0.09013,0.311495
-0.286324,0.14466,0.479904
-0.175746,0.33804,0.619184
-0.317915,0.172505,0.402431
-0.170905,0.342264,0.730724
-0.23239,0.269524,0.266563
-0.085131,0.184454,0.167411
-0.193785,0.052772,0.294955
-0.18574,0.141758,0.086524
-0.290195,0.230604,0.315253
-0.122952,0.22507,0.176616
-0.239891,0.113679,0.224086
-0.128502,0.212869,0.517249
-0.114036,0.396528,0.721973
-0.102701,-0.156566,0.26947
-0.197812,0.080026,0.533384
-0.150459,0.274853,0.704158
-0.216177,0.101528,0.149432
-0.158935,0.280473,0.600003
-0.142405,0.447807,0.624606
-0.237571,0.214672,0.211157
-0.20077,0.071783,0.463144
-0.199047,0.272899,0.641319
-0.087396,0.068382,0.321837
-0.045844,0.182404,0.327324
-0.243201,0.151237,0.614295
-0.053524,0.110003,0.327156
-0.142852,-0.460301,0.280999
-0.178941,0.147871,0.553052
-0.141691,0.312779,0.70214
-0.122243,0.269516,0.268985
-0.161345,0.434988,0.662188
-0.212476,0.210047,0.544949
-0.193081,0.288893,0.421595
-0.216701,0.157823,0.122461
-0.188377,0.074361,0.245645
-0.152377,0.080325,0.171509
-0.161472,0.292688,0.373297
-0.18795,0.271492,0.251975
-0.283641,0.243248,0.397455
-0.060074,0.111451,0.376666
-0.133521,0.287277,0.300757
-0.091711,0.090621,0.26422
-0.297985,0.230864,0.354938
-0.28776,0.122543,0.268229
-0.326469,-0.314329,0.752852
-0.12487,0.266282,0.433792
-0.216612,0.172836,0.667544
-0.137304,0.317031,0.738636
-0.074919,0.195436,0.226162
-0.056398,0.154506,0.401356
-0.187324,0.295724,0.306728
-0.108457,0.174309,0.114382
-0.257308,0.175078,0.212061
-0.173178,0.414957,0.733354
-0.159006,0.401901,0.596849
-0.138462,0.353849,0.685921
-0.273925,0.06845,0.318675
-0.158565,0.061213,0.397163
-0.292461,0.203813,0.476204
-0.290635,-0.09443,0.547202
-0.09307,0.171935,0.469535
-0.121121,0.084762,0.108458
-0.338286,-0.348883,0.786252
-0.137683,0.11759,0.052881
-0.254316,0.102064,0.53994
-0.24861,0.239247,0.247333
-0.153014,0.27998,0.752752
-0.095759,-0.447894,0.264973
-0.136241,0.43087,0.594079
-0.097745,-0.211745,0.260179
-0.281165,0.210596,0.26931
-0.187601,0.106601,0.094524
-0.293983,-0.122689,0.567452
-0.201945,0.242332,0.608075
-0.129672,0.09594,0.215156
-0.317304,-0.289561,0.703439
-0.154564,0.374694,0.618321
-0.091799,0.120604,0.204991
-0.188464,0.221506,0.162482
-0.146622,0.40256,0.664298
-0.247151,0.093511,0.477819
-0.19002,0.251128,0.527197
-0.117248,-0.021316,0.328036
-0.113016,0.146325,0.497411
-0.258131,0.265557,0.462261
-0.318734,0.163174,0.339316
-0.161149,0.101233,0.522311
-0.184424,0.246067,0.216702
-0.093005,0.108915,0.437332
-0.261096,0.265304,0.319962
-0.096877,0.212477,0.462715
-0.241058,0.181791,0.627694
-0.049632,0.139338,0.278263
-0.274006,0.145816,0.516552
-0.12847,0.235143,0.207517
-0.22931,0.04736,0.39563
-0.100766,0.066105,0.379983
-0.204274,0.243018,0.653766
-0.147791,0.244657,0.5151
-0.151529,0.341351,0.571779
-0.298166,0.175677,0.459004
-0.205288,0.274191,0.501844
-0.313753,0.137889,0.396799
-0.076573,0.211913,0.414242
-0.278993,0.170369,0.24298
-0.142449,0.449997,0.693382
-0.152,0.077876,0.462648
-0.253102,-0.033435,0.481184
-0.131034,0.280122,0.39162
-0.16003,0.244368,0.702926
-0.130765,0.02756,0.344066
-0.194729,0.306694,0.613125
-0.148037,0.087852,0.088118
-0.305874,0.113163,0.371876
-0.107092,0.398867,0.600233
-0.081209,0.126171,0.123662
-0.11364,0.366605,0.704619
-0.28399,0.23446,0.469202
-0.124119,0.39682,0.642542
-0.07296,0.151979,0.175517
-0.078978,0.246133,0.300148
-0.18769,0.219548,0.624238
-0.141961,0.309326,0.593307
-0.142494,0.433628,0.721149
-0.210357,0.131444,0.61998
-0.275831,-0.124775,0.592167
-0.235455,0.141478,0.575946
-0.22379,0.057485,0.285499
-0.255542,0.225901,0.521845
-0.192635,0.202146,0.139204
-0.159375,0.046509,0.346688
-0.062844,0.159906,0.236691
-0.265486,0.097236,0.414963
-0.329802,-0.311627,0.71981
-0.127697,0.079644,0.154184
-0.296747,-0.095465,0.582061
-0.162822,0.308055,0.757045
-0.15023,0.191051,0.53652
-0.159292,0.127904,0.537377
-0.11494,0.03272,0.372612
-0.233573,0.086331,0.525173
-0.114165,0.054009,0.321493
-0.146369,0.377808,0.570947
-0.306704,0.166469,0.295853
-0.163997,0.283928,0.44101
-0.110493,0.212666,0.489328
-0.087528,0.241216,0.394945
-0.081735,-0.365519,0.227964
-0.126457,0.10381,0.482326
-0.300991,0.218858,0.415614
-0.249111,0.167895,0.543353
-0.24258,0.170368,0.187119
-0.239579,0.284885,0.372693
-0.179152,0.3641,0.701869
-0.085516,0.129656,0.233213
-0.112954,-0.44244,0.222617
-0.273656,0.204612,0.513748
-0.26824,0.050953,0.38302
-0.118995,0.130444,0.082379
-0.189458,0.079232,0.505706
-0.322382,0.178518,0.374506
-0.174928,0.281485,0.47512
-0.137378,0.056416,0.291926
-0.243596,0.161034,0.670511
