x1,x2,x3
-0.102512,0.123412,0.188596
-0.227794,-0.46791,0.446606
-0.192558,0.481728,0.683912
-0.187863,0.0787884,0.592843
-0.245517,-0.150281,0.327791
-0.249337,0.276204,0.387916
-0.0611709,0.152486,0.410343
-0.125152,-0.334754,0.305248
-0.270854,0.0683826,0.322249
-0.155651,0.292498,0.586563
-0.184687,0.117032,0.0062606
-0.185267,0.455062,0.499284
-0.116467,-0.023041,0.349855
-0.238827,0.241963,0.204496
-0.105575,0.273938,0.303632
-0.270419,0.13979,0.475467
-0.0940583,-0.464169,0.376217
-0.230643,-0.432787,0.307895
-0.243664,0.109355,0.152253
-0.113757,-0.196533,0.317763
-0.131961,0.274083,0.45478
-0.179008,0.351373,0.702963
-0.182143,0.19015,0.665602
-0.168878,0.0685794,0.430513
-0.309192,0.193535,0.305012
-0.243335,-0.281619,0.326758
-0.122758,0.166779,0.529501
-0.075379,0.0875691,0.304496
-0.158972,0.188536,0.106798
-0.235916,0.250125,0.501926
-0.238034,-0.0379528,0.356185
-0.189956,0.0724214,0.246139
-0.118791,0.230906,0.201447
-0.165797,0.516012,0.585003
-0.0524422,0.185973,0.296856
-0.202634,0.375216,0.557101
-0.217978,0.290853,0.29458
-0.282536,0.125022,0.241111
-0.312648,0.129073,0.383916
-0.156088,0.41231,0.63188
-0.173082,0.0470915,0.335061
-0.133245,-0.110668,0.335519
-0.212178,0.175187,0.545197
-0.155367,0.0994325,0.104717
-0.161178,0.293775,0.370162
-0.133061,-0.423405,0.309213
-0.290829,0.212289,0.429876
-0.0785843,0.234573,0.389594
-0.203101,0.0834681,0.507655
-0.104942,0.108582,0.467814
-0.241459,0.191525,0.138195
-0.0989398,0.0780074,0.38375
-0.223573,0.139783,0.0754782
-0.25104,0.0786069,0.401726
-0.264062,-0.464132,0.374689
-0.1586,0.239717,0.529117
-0.130246,-0.467315,0.444943
-0.23109,-0.355887,0.307976
-0.20627,0.24804,0.621863
-0.0896355,0.215948,0.471882
-0.155175,0.139422,0.619086
-0.206481,0.461927,0.612873
-0.160681,0.0805592,0.177015
-0.184261,0.234982,0.157352
-0.131116,-0.265743,0.327481
-0.269857,0.246529,0.272934
-0.218277,-0.215492,0.31642
-0.152714,0.272163,0.250566
-0.14281,0.100573,0.542594
-0.0669232,0.139089,0.247815
-0.210131,0.282849,0.443684
-0.120694,0.088168,0.244184
-0.180408,0.314875,0.645381
-0.107349,0.143306,0.12239
-0.17463,0.418517,0.697222
-0.198597,-0.46373,0.386792
-0.274793,0.190669,0.225502
-0.225643,0.0252345,0.368862
-0.159733,0.394633,0.511962
-0.0498751,0.137285,0.339873
-0.309796,0.119481,0.318399
-0.146096,0.481429,0.640022
-0.289395,0.238176,0.356425
-0.156592,0.143016,0.0569375
-0.16449,0.458255,0.559065
-0.223762,-0.0928086,0.333057
-0.149082,-0.465423,0.350533
-0.126714,0.0561807,0.297104
-0.234578,0.0978821,0.210828
-0.270637,0.198203,0.487876
-0.247045,0.0718438,0.263482
-0.101832,0.181657,0.172609
-0.0932166,0.235792,0.254408
-0.160145,0.212841,0.616107
-0.317431,0.18308,0.362793
-0.157303,0.339576,0.550361
-0.218408,0.112446,0.557099
-0.234618,0.0875928,0.45969
-0.130373,0.0315996,0.371612
-0.206568,0.142689,0.64377
-0.162898,0.297576,0.307116
-0.203281,0.327002,0.587217
-0.208734,0.420334,0.651864
-0.266575,0.156489,0.175035
-0.179318,0.277159,0.492651
-0.202982,0.496842,0.546382
-0.117851,0.272639,0.400262
-0.165299,0.149034,0.56528
-0.210153,0.267858,0.244353
-0.194294,0.511146,0.633547
-0.149692,0.0834402,0.491153
-0.212476,0.29592,0.351443
-0.0729838,0.238967,0.329845
-0.219851,0.0495581,0.304275
-0.0515966,0.184521,0.368552
-0.254689,0.25575,0.437815
-0.285209,0.119253,0.42978
-0.202144,0.425983,0.539075
-0.17535,0.248051,0.206622
-0.18278,0.375438,0.657479
-0.223788,-0.470272,0.342145
-0.308323,0.16552,0.419454
-0.307022,0.150342,0.277989
-0.0891796,0.166964,0.48505
-0.138974,0.215401,0.144531
-0.215825,0.100244,0.111537
-0.126552,0.101107,0.145427
-0.195458,0.0591899,0.388601
-0.0745089,0.187824,0.249317
-0.149162,-0.461542,0.399681
-0.253985,0.275339,0.324106
-0.112607,0.213675,0.515157
-0.180374,0.100835,0.635861
-0.241542,0.142269,0.52469
-0.289572,0.0942503,0.282245
-0.11831,0.283853,0.350776
-0.190198,0.108537,0.0617908
-0.158069,0.263608,0.624399
-0.286685,0.0915025,0.370776
-0.198011,0.133724,0.59599
-0.205791,0.221425,0.537135
-0.102809,0.0593064,0.340974
-0.197931,0.182171,0.620172
-0.160199,0.451115,0.606464
-0.124757,0.0829038,0.433577
-0.249247,0.149254,0.112978
-0.123,-0.377098,0.32386
-0.115532,-0.0683432,0.340156
-0.208948,0.177787,0.0967241
-0.055099,0.135848,0.294374
-0.118209,-0.150944,0.319669
-0.154482,0.44389,0.664703
-0.1504,0.104758,0.59005
-0.260065,0.0541607,0.364226
-0.211256,0.0833023,0.175008
-0.177737,0.2336,0.653541
-0.0661431,0.115824,0.385427
-0.172174,0.0555678,0.283134
-0.250792,0.205317,0.182559
-0.288753,0.203626,0.265325
-0.200355,0.290279,0.393424
-0.127681,0.25651,0.494947
-0.180504,0.255359,0.586903
-0.185191,0.355759,0.520388
-0.141421,0.0664739,0.395606
-0.162958,0.188189,0.546056
-0.163178,0.488967,0.528127
-0.167757,0.149171,0.662587
-0.17832,0.0758562,0.547408
-0.153514,0.437266,0.522504
-0.244447,0.200995,0.52207
-0.12099,0.113609,0.507918
-0.206513,0.50402,0.590246
-0.248033,-0.244507,0.306783
-0.0885816,0.111259,0.428821
-0.213914,0.0725748,0.424124
-0.101754,0.250246,0.437748
-0.227621,-0.394196,0.324916
-0.115265,-0.235809,0.302627
-0.169846,0.40309,0.552769
-0.184985,0.30343,0.557817
-0.200803,0.289012,0.61575
-0.215654,0.461283,0.654913
-0.23678,-0.461366,0.406001
-0.0853972,0.159651,0.203882
-0.201961,0.206122,0.126336
-0.195906,0.0731361,0.46371
-0.201289,0.395332,0.511253
-0.176466,0.0908837,0.140199
-0.0953488,0.19967,0.214492
-0.0681766,0.0980957,0.343584
-0.292359,0.230872,0.305132
-0.15403,0.178261,0.637639
-0.235959,0.106956,0.505151
-0.119622,0.257377,0.232705
-0.159083,0.0800763,0.221439
