x1,x2,x3
-0.634208,-4.087618,-8.772948
1.340134,13.231676,3.992406
0.457705,-3.879024,6.982248
-1.308256,10.318969,-9.933684
6.827783,3.630895,-2.117507
-6.36672,4.076894,-0.036406
6.455241,-9.006094,-1.835519
-5.830723,-9.47055,-0.802636
5.236657,12.411272,-4.207004
-0.443472,4.94245,6.670435
-5.117191,12.589031,-1.710322
-4.629193,2.923237,-8.141003
6.916221,-6.697636,-9.751146
3.620474,3.666868,-9.460606
-7.86671,-6.876988,-8.423497
0.659114,-11.671487,2.166362
-5.131799,-2.483302,-3.260016
5.045883,-2.521383,1.354689
5.48506,7.467538,3.511236
-4.682191,9.688514,4.339004
-4.795638,-1.468455,3.561737
5.006379,-1.944754,-5.49714
-0.763517,-5.742181,1.020628
-0.468273,14.675896,-5.613623
-6.321168,8.114919,-5.592151
4.275119,1.95603,5.195303
4.073962,9.256159,-9.06107
1.559729,14.858377,-0.746754
-4.842817,3.577847,4.833997
5.375848,11.74587,0.634537
-0.958369,5.529544,-10.769102
6.512655,7.648034,-4.850703
2.081416,-7.01543,-11.319085
-7.370808,2.321859,-4.315358
-0.316507,1.087972,-9.058706
1.867895,8.96053,6.032284
-4.366797,12.434716,-6.815
-3.646523,-6.803192,-11.021952
-1.694831,0.396063,6.44246
-2.760065,13.973797,1.846538
-5.237022,-6.858052,-4.794865
5.444615,-6.635004,-5.46351
-6.122488,8.460269,0.313178
3.241396,-5.774426,-0.939929
-3.793599,-1.585648,-7.373915
5.740011,2.61555,-5.932916
-4.351523,7.054921,-9.113036
5.892587,1.695631,1.511139
3.457398,-1.983582,5.014906
-5.97459,-0.178233,-0.054008
2.587723,12.735797,-7.71631
2.048612,5.453422,3.60723
5.642781,-0.402876,-1.951487
6.259634,7.829437,-0.958386
-2.110402,-9.612093,0.428185
3.200166,-4.076145,-8.377743
-2.302681,6.149407,3.498627
-3.836185,-5.502177,-1.281234
2.896674,-9.811231,-0.300531
-2.285784,-4.645208,4.448614
-7.678582,6.110245,-2.813928
-1.437385,10.975502,5.462852
2.173643,-4.677682,2.844332
3.287323,0.444957,-7.933037
-2.254868,14.838452,-1.583961
4.301066,11.400045,4.026511
1.377878,2.000838,7.119662
5.577027,5.858979,-7.611636
-4.747286,-4.858199,-7.551494
-5.658435,6.56932,3.171649
-5.312041,11.497431,1.648632
2.207827,6.452468,-10.446959
-3.608255,-3.570411,1.343653
2.827022,14.633477,-3.702865
6.150075,5.185078,1.368376
4.917032,-3.427973,-2.631318
-1.960828,7.922251,6.090206
-6.266668,9.956193,-3.075606
7.975103,4.892593,-4.715884
-5.739914,2.043462,2.303644
-3.321725,14.266469,-4.546358
-6.13427,4.679905,-5.832801
0.994143,-1.577845,-8.176987
-5.331663,-0.015991,-5.014693
3.39785,13.718727,1.780704
3.717611,6.525881,5.86414
