x1,x2,x3
-5.567482,-6.434043,-5.836717
2.22271,14.500712,2.018133
-0.30781,-0.039179,7.604259
2.167853,5.6903,-10.391369
7.892918,-6.957969,-7.585825
-7.608875,6.18429,-2.439959
2.059928,-11.436038,1.957845
6.357422,3.821613,-0.361452
-2.627397,13.463222,-6.948383
-3.430855,8.348963,5.798381
-5.725532,-1.379418,1.146849
5.531816,11.476369,-5.506297
1.027747,-2.115626,-8.218932
3.055365,-3.753401,-0.411448
4.259048,7.73048,5.770333
-5.028601,12.656266,0.151642
-4.570652,2.323083,-7.724018
-5.22007,-10.002901,0.256164
-2.067459,-6.954008,-11.280096
6.453806,-8.998486,-1.826985
-1.590771,-4.999114,4.20752
5.478526,1.485739,-5.971902
4.861055,-0.178633,4.297282
-3.910713,8.110964,-9.251891
6.039533,10.218189,0.587662
-5.114262,2.75412,5.182624
1.6337,15.147752,-3.634994
3.445293,-6.508596,-10.863851
1.774288,11.173406,-9.430017
-5.240839,-1.444682,-4.251263
0.211088,5.011446,8.094541
5.880812,6.608183,-6.928949
-6.010695,10.213222,-5.062897
-3.342968,-5.485134,-0.961166
-1.864278,12.998606,4.530818
5.003461,-3.464411,-4.937142
-5.884332,8.136558,1.598408
2.971969,-4.274313,4.237158
-6.312672,3.394782,0.838968
0.543447,-7.480133,0.5171
5.676738,-0.33328,-1.886217
-0.701564,2.335865,-9.725677
4.10557,3.480792,6.671747
-1.490025,15.107365,-0.618343
-6.237478,-6.614427,-10.262487
-3.759124,-1.360096,4.931274
-3.039344,-3.375989,-8.196695
1.868944,11.269914,5.554876
-7.317684,2.241052,-3.935177
7.847148,6.453728,-3.248229
-6.036511,6.370056,-6.271109
5.974223,5.012433,3.39696
4.807561,13.251138,-1.567833
-1.886675,-11.015472,1.981356
2.951747,1.779348,-8.900265
-3.858299,14.176881,-3.455728
0.512112,-3.779848,6.971397
-6.790272,-8.589631,-2.686721
-4.839342,11.137143,3.655401
0.96686,13.797912,-7.049796
-0.542537,8.523372,-10.47507
0.09354,8.366641,6.732067
5.478569,-7.437592,-5.095728
4.696487,11.706107,3.550018
4.699702,9.50619,-8.437083
5.485625,-1.847937,1.224279
0.004885,-5.307519,-9.101801
-3.127978,4.744203,-9.903116
3.531922,-9.063427,-0.090691
-6.237655,9.446947,-1.51472
7.318585,3.111101,-3.626806
-2.033685,2.810424,6.823637
-5.454308,5.97526,4.164348
4.451473,-4.74262,-7.958971
-1.962849,-0.035269,-7.915537
-6.015542,0.96935,-1.255932
4.640578,-5.983644,-2.35782
6.155668,6.929559,0.417297
-2.224437,11.015909,-9.35571
2.650198,0.532591,6.514069
6.402138,9.247406,-2.840667
