x1,x2,x3
2.480039,-4.043967,-8.544822
-1.926283,13.244287,4.086144
-0.613927,-2.55714,6.53368
0.591986,10.340415,-10.032913
-7.262593,2.845381,-3.022172
6.353343,4.892412,-0.527369
-6.452478,-8.932691,-1.856552
4.455319,-10.452057,0.829626
4.47634,13.613661,-2.547949
-6.231096,-6.62764,-10.292965
-4.757469,4.973675,5.076285
-5.772592,11.327861,-3.942045
2.909655,7.135757,6.418084
-2.397012,2.270277,-9.41219
4.056185,-2.640528,-0.632899
5.32171,4.440142,-8.000191
-4.485132,-2.63149,0.57935
7.462911,-7.820633,-4.744575
4.752613,0.873125,4.822762
-2.044478,-11.435928,1.977909
-4.958123,-2.432785,-5.943138
-0.90526,14.768024,-5.55703
4.441079,12.238897,3.327805
-0.228539,2.818152,8.997654
-5.572921,6.768164,-7.560023
-5.863639,9.320503,1.383022
-0.006606,-6.305461,1.055399
5.737321,10.01075,-6.607601
5.352149,0.018771,-5.003687
-0.654548,-7.094333,-11.427515
6.92174,-6.676325,-9.745632
-3.299626,14.420282,-0.649065
-4.571728,-0.036325,4.831021
-1.741666,8.709358,6.205464
0.984233,5.606928,-10.745685
3.248783,-3.735454,3.979981
-3.544873,11.828029,-8.139485
2.145869,0.56183,-8.362891
1.194184,14.77292,1.044962
-7.777068,-7.411679,-6.025996
6.313853,9.350706,-1.632428
-6.092799,2.734456,1.367207
5.663318,7.729959,2.985261
7.847924,5.861463,-4.574064
5.003637,-4.218689,-4.753911
-6.47282,7.008042,-2.615591
3.84388,-6.809522,-1.36101
-1.729947,-4.046249,-8.722371
6.064203,0.860922,0.612749
2.704293,13.387569,-7.038818
-4.826726,-5.23296,-2.702073
-5.192825,1.601349,-6.539576
-2.645101,-4.491614,3.66362
-2.871316,8.242784,-10.003585
1.177519,11.173467,5.519404
3.963746,8.047568,-9.343256
-2.974416,-8.320891,-0.532625
-1.08256,5.014244,5.90865
3.967012,4.498886,3.882689
-5.55815,-0.897946,-2.53072
1.586279,0.382673,6.889139
3.475978,-6.608112,-10.910618
7.216428,2.621391,-3.185433
-4.327829,10.369629,4.498779
1.131729,-9.477787,0.211722
-2.59835,-0.826357,-7.852225
0.917227,15.220062,-2.695572
-2.195362,1.771649,6.355992
-5.856056,6.056938,2.046722
-4.647463,12.493566,1.975057
2.051568,3.656008,6.737898
-5.248805,-5.495229,-7.146264
6.455939,-9.001606,-1.83457
-3.866943,13.917318,-4.42339
0.385763,-5.105293,4.852509
5.434941,12.005166,0.027946
5.28219,-1.732453,2.227085
-2.661602,-5.225934,-0.278263
-5.640999,11.537935,-0.835643
4.001536,9.735768,5.035667
-0.425654,12.724326,-8.415031
-3.252415,-6.575311,-9.7069
-7.669998,5.133475,-4.970969
5.518504,-6.059283,-7.129685
-5.915526,9.469714,-6.285302
2.399874,-4.458215,1.211811
-5.726289,-0.194861,1.791734
5.851139,11.315363,-3.947178
-4.177817,4.606472,-9.14327
4.298942,-2.21016,-7.127004
3.133846,3.782001,-9.898878
1.302301,-11.620781,2.153944
-5.212441,-7.731637,-4.175179
6.253446,3.904724,2.222262
3.464853,11.15723,-8.675705
-6.303212,4.918259,-0.528623
5.667797,-0.340774,-1.934815
-4.446754,-10.449814,0.82906
1.781487,13.618098,3.563618
0.282664,-2.113765,-8.315331
5.953715,7.217084,-6.829473
0.376748,2.300581,-9.839315
-4.452707,7.695777,5.502295
5.767289,2.697211,-5.903977
2.860704,14.566766,-4.545918
2.849379,-1.14054,5.01555
1.081618,-6.399644,-9.453659
6.132649,7.435021,0.288332
-2.614047,5.974306,3.836467
-6.09148,0.920956,-0.605009
-5.750218,4.208831,-6.835334
-2.119353,5.652981,-10.468138
-2.935934,-2.124583,4.944872
-5.360586,2.436615,4.35258
0.32606,6.979228,6.922876
6.565866,8.090699,-3.900958
5.724451,10.288206,2.200057
-0.795689,15.14761,-0.759034
-4.635383,9.465818,-8.518607
5.017995,-7.11827,-3.625179
-1.365344,11.143641,5.512994
-1.369427,14.521534,1.963673
4.431223,1.107261,-7.329891
4.56931,3.121137,5.930513
4.955038,6.429607,5.144864
-7.864057,-6.858972,-8.420229
4.860446,12.45689,-5.881151
-6.125157,7.430918,-0.250119
3.934622,13.667915,0.948977
-0.498427,7.518006,-10.669892
-1.645292,-4.736588,6.080399
-4.438307,-2.557071,3.128142
-0.712505,-0.157124,6.523446
-6.236473,9.3697,-1.623665
4.645024,-4.73975,-2.201362
7.894656,-6.966625,-7.607516
1.839308,-7.199189,-0.177779
-5.919064,1.224044,-4.076443
1.790711,8.361611,-10.374075
-6.433869,7.508816,-5.136785
-1.706566,11.117874,-9.514121
3.43301,-9.020305,-0.764195
1.417387,-3.033503,5.530553
6.590455,6.099671,-2.64617
-5.471953,8.38302,3.4598
1.422501,5.529138,5.499121
6.275909,2.626064,-0.950712
-2.235048,14.965244,-2.617451
5.144184,-2.473432,-3.257654
-2.129471,13.564198,-7.090511
1.36986,8.871686,6.134803
-5.080907,-3.067864,-3.73911
-0.604021,0.586141,-8.677062
5.673156,1.803566,2.922193
-1.137538,-9.47593,0.211493
-4.784128,12.46532,-5.878179
-2.680638,6.547163,6.241594
0.200094,4.566967,7.69886
-4.738294,13.175726,-2.529121
2.853337,14.741076,-1.553275
5.695528,-1.256889,0.094903
-4.05346,-3.481384,-7.665248
-3.873695,3.177006,6.068273
4.174036,-5.991883,-8.914174
-4.413433,-7.392354,-1.914477
-6.130719,3.362258,-4.846227
-1.46851,-4.862512,1.808475
-7.210288,4.97209,-2.607339
-5.023825,-4.788362,-5.119383
-4.484569,-3.536819,-1.439602
3.565925,5.045988,6.004762
0.674587,-5.115838,2.691788
-4.456722,-9.577702,-1.521969
3.138046,1.583638,6.060307
3.104442,-4.938555,-0.709992
1.452964,11.943042,-8.934416
6.285963,4.591931,-5.179395
-0.93482,-5.872341,-9.357256
4.032819,-3.392811,2.05348
-2.582665,-0.083526,5.503439
-5.980585,4.20002,2.96331
-5.554788,-1.114151,-0.342929
-5.187252,-0.64974,-4.922525
0.070627,12.982029,4.520473
5.857383,5.411639,3.56481
2.754962,6.50482,-10.209871
0.977932,14.24754,-6.346706
0.327446,-4.096856,-8.770539
5.692441,3.474308,4.170282
4.527276,-4.200251,-7.409028
1.362863,-7.063275,-11.3748
-3.75799,12.207197,3.894773
2.890812,6.213126,4.308671
0.77891,2.17267,7.300527
-4.329721,7.140072,-9.089229
6.077625,5.79821,1.440265
-6.279054,3.055699,-1.255459
-4.073224,2.301038,-8.32325
6.047592,-6.457737,-5.24546
-0.885826,3.678904,-10.505868
-1.227147,3.283838,7.242027
4.292092,5.491504,-9.313174
4.569807,-1.075438,4.064692
-1.56453,-6.960861,0.06936
-4.245042,-0.280572,-6.967977
-1.222851,9.303332,-10.398757
-5.365465,6.436026,3.95577
