x1,x2,x3
2.906528,-6.860567,-0.669607
-2.262005,14.767372,-3.86106
-0.075514,5.162035,6.51325
0.830531,2.881033,-10.226664
-7.864188,-6.895363,-8.440902
-7.180103,4.728593,-2.491427
6.385056,8.32691,-1.76325
4.520954,-6.727329,-10.806394
-4.461874,-2.494214,3.181217
1.399938,13.17159,3.802191
5.702636,0.535254,2.183797
-4.447516,-10.453537,0.829078
2.288275,10.799455,-9.567994
-5.450336,9.7386,3.033666
5.092542,-1.290154,-5.450069
-4.926739,8.671703,-8.41345
-4.694956,-0.420283,-6.714744
1.598305,-3.947326,6.346275
-2.014802,-6.915603,-11.289961
-4.827013,-5.257946,-2.711591
3.952048,13.90308,-3.716388
5.830007,4.880358,-7.090023
7.462455,-7.841556,-4.757721
-5.516659,3.592734,3.365025
4.970622,7.942135,4.213867
1.301608,-11.619498,2.156329
-5.947023,10.668162,-2.561145
0.562188,-2.768533,-8.457474
6.827885,3.008105,-2.280323
-1.33512,0.20633,6.195331
-5.570118,-0.470154,-1.436189
-3.323175,13.882868,0.837618
-1.482558,-5.562127,0.695289
5.811252,10.291258,-6.227829
-1.023279,7.36568,-10.70851
4.143059,3.229815,5.730058
5.152007,12.021922,1.228522
-1.191049,9.629931,5.443786
-4.108518,3.588255,-9.055322
-1.969973,12.322454,-8.517235
4.410599,-2.557343,-0.990215
0.888708,14.821082,-0.08117
3.287053,6.323054,-10.093592
6.169736,5.117296,1.27268
-3.942156,-4.765093,-8.322707
3.326895,-3.918941,2.666824
5.210942,-10.011648,0.248789
-4.003707,6.705717,5.369385
5.053949,-4.922573,-7.108505
2.623389,-0.350303,4.855586
0.977817,14.075783,-6.49653
-6.449038,-8.083096,-4.949481
4.051163,1.616679,-8.185396
-5.994409,6.703703,0.70959
-6.484407,7.602963,-4.920576
-4.783516,12.290362,-6.019515
-1.51059,0.472726,-8.571267
-2.054213,-4.087187,5.519922
-0.979176,-9.367407,0.251021
7.940885,6.042941,-4.174441
-5.939916,3.088339,-5.520244
1.081358,-6.444388,-9.481448
2.194177,5.631951,3.772985
7.746807,-6.875504,-8.41281
-2.91105,12.367125,3.981059
4.925992,-5.726247,-3.692779
0.497081,2.25271,8.251429
-4.504957,0.620896,4.732743
2.511858,9.988466,5.366596
-3.706123,-3.072063,-0.058777
-6.223508,2.815149,0.169717
-4.633934,-8.803503,-2.068723
-3.099234,3.428114,5.745653
-5.358281,-6.697569,-10.561682
5.732824,1.868602,-5.291808
5.795143,11.362067,-2.622873
3.805018,12.711772,-7.025384
-4.972835,-3.423455,-5.268951
-5.692048,0.044218,1.892144
5.796473,0.134513,-1.757336
4.632151,8.950242,-8.746531
0.252895,-5.080732,3.785872
5.980148,9.087752,1.15868
4.991284,-8.739289,-2.491833
-7.060809,1.56267,-3.176719
-5.801978,5.654343,-7.10085
-5.311428,11.67911,0.499702
-1.955174,5.334043,3.788216
-0.528316,10.190082,-10.152461
3.243509,-1.631854,-7.68262
-4.332034,13.431254,-1.799231
-1.484985,4.551126,-10.591301
-1.655925,-11.518642,1.996994
0.48578,15.047536,-2.885359
1.747602,7.342093,6.050984
2.395978,-9.886537,-0.025121
3.923126,13.766884,-0.896036
5.217123,5.123076,3.966597
-2.76358,-2.240674,-8.062874
4.794435,-1.681396,3.607303
1.541523,0.4739,-8.570757
1.341501,-5.263871,0.968438
-0.987244,14.078125,2.31096
-3.755753,6.24854,-9.700182
4.36658,11.333159,3.838126
6.2259,7.410333,-6.161675
-1.3161,-4.74151,-8.987448
6.364543,5.583504,-1.38827
2.836852,13.911147,1.662851
-5.584664,-6.176136,-6.761059
-6.072915,9.17415,-0.297154
1.613923,1.869151,5.882536
-3.175638,-6.852835,-0.828333
-2.198371,13.882571,-6.431206
-7.660788,4.976992,-5.05987
-2.292,-4.639314,2.979815
0.681209,-1.424473,6.20435
-5.063255,-2.619519,-2.780577
6.220208,2.392372,0.141475
-2.618489,-1.562199,4.848362
0.983617,5.482408,-10.837516
-3.719782,9.233807,4.85024
-6.371426,7.616361,-2.276816
-1.495672,14.796709,-0.898212
-2.970262,8.961866,-9.970489
7.54325,3.728545,-5.064723
-5.404707,6.092465,3.232326
4.670088,1.061931,4.57754
-1.580718,7.071963,5.959881
5.091988,-3.117457,-3.762036
5.481684,-1.841415,1.229712
0.4979,12.562144,-8.549788
5.734182,2.893877,2.895597
2.715745,-4.754765,-8.789042
1.789703,8.222637,-10.482142
3.640624,3.630862,-9.517382
-6.004394,9.972735,-5.291559
-5.618889,-0.243379,-3.976987
4.215148,-4.86854,-1.572476
-4.123112,11.368031,-8.14925
0.546673,-7.451724,0.547643
2.948903,-2.790162,4.701237
0.07139,11.658724,4.99902
6.452348,8.726948,-4.246225
-1.38007,2.402401,6.900159
2.061002,4.145153,5.511559
5.30211,12.214655,-5.113417
3.847457,6.306616,5.353186
5.37079,6.805201,-8.213458
-5.046956,2.141392,-7.366421
-6.782904,-8.61599,-2.712506
5.737933,7.101598,2.202154
5.727627,-7.072549,-5.919162
-5.50088,-1.822795,0.7252
2.087156,-7.032786,-11.339349
3.012743,-3.808375,0.105528
