x1,x2,x3
-4.218237,-5.525838,-1.68839
2.329448,14.849189,-3.918052
4.015032,3.996865,5.704188
7.598957,-6.745032,-9.20238
-0.891289,3.598264,-10.603595
-6.059234,7.289469,0.118311
7.954163,5.254573,-4.560005
4.456822,-10.451858,0.832463
-2.062163,-7.000024,-11.342474
-0.459927,-4.228372,6.830453
0.026224,12.480702,4.60208
4.847593,-1.889054,-0.686486
-4.536908,11.008928,-8.00366
-3.763804,2.621681,5.71449
3.665416,9.487739,-9.488738
-5.575522,1.257257,-5.228512
5.939089,9.981057,0.817053
-2.472575,-11.309229,1.84645
2.13523,-2.220963,-8.179312
-7.99917,-7.017879,-7.675821
-3.841974,13.852836,-0.951614
-5.984061,0.247601,0.742179
0.699052,-5.399554,1.274196
5.216188,-7.750701,-4.186723
6.364149,3.610266,0.659461
-3.47343,8.235093,5.16678
4.642637,2.906826,-8.220921
3.498308,-1.282028,4.596237
6.087386,10.300014,-4.685914
-3.393009,-2.849427,-7.874222
-6.302487,6.523841,-5.716383
-3.714583,-3.592719,2.989793
0.019864,13.202976,-7.964747
3.571132,8.868801,5.021868
2.811545,-6.947214,-11.280659
2.800925,14.223519,0.795489
0.220547,2.592393,8.32705
-1.1334,8.307274,-10.637528
5.939705,1.134241,-4.166519
-6.007436,10.660436,-3.315888
-7.10946,-8.277059,-3.559092
-4.660175,11.749121,2.819087
4.99629,-3.502181,-5.001193
0.280315,6.211603,5.868443
-6.538004,3.647603,-1.87972
-2.286646,14.642479,-4.795696
-4.68182,3.555578,-8.495861
-5.951737,4.143973,2.534067
2.674824,5.543731,-10.387095
-5.16944,-5.362418,-5.464052
3.786113,12.776393,-7.066633
3.778751,-5.663383,-1.230805
-5.269359,-1.824521,-2.47249
5.609243,6.669615,-7.690546
-2.072088,-1.04333,5.352871
-4.40572,-9.603138,-0.977031
6.332992,7.162915,-1.678667
0.833785,-9.542304,0.329481
-1.513462,0.498494,-8.582708
5.146142,12.60846,-1.91344
-1.049883,14.466575,1.651729
5.645045,6.635525,2.67737
-0.364273,-4.766376,-9.018208
-2.281503,5.13259,3.562811
2.261405,-4.665468,4.51128
5.753447,0.164883,2.120715
-4.334799,7.036036,-9.214747
3.862488,12.102418,3.562094
-4.946298,-5.929983,-8.979248
4.224758,-5.375716,-8.520786
-0.414563,15.176299,-1.922259
1.747431,1.643062,-9.288874
-5.093131,-0.017723,3.900129
1.940444,1.442512,5.70525
-1.842529,-7.182884,-0.160672
-7.719943,3.696943,-4.944127
4.034953,-3.362623,2.089391
4.717022,-0.390823,-6.725993
-0.386999,9.3852,5.362405
7.808741,-7.41507,-6.002257
2.5634,5.853558,3.565341
-5.652662,11.342809,-0.233259
6.302146,3.679889,-2.471358
-7.665895,6.327213,-2.988518
-4.870651,12.715696,-5.266625
-1.12942,-4.982735,3.811845
-5.553323,8.534141,2.96348
0.917405,-1.53212,6.17826
6.055852,0.852223,-1.120966
-3.696652,-3.064522,-0.046078
-4.996371,-1.946693,-5.527548
-1.344535,11.125843,-9.699942
6.456303,-9.00813,-1.840239
4.815082,1.383766,4.617669
0.658281,-11.67533,2.169513
-6.008225,9.684807,-5.961086
-1.165978,3.64452,6.109363
5.716964,3.946001,3.422864
3.188773,-8.308663,-0.65658
-2.644573,13.283566,-7.2197
5.643307,9.487054,-7.266331
1.382019,11.128121,-9.701514
-4.916521,6.069286,4.159371
-5.958031,0.781832,-2.349868
4.521159,13.33517,-4.537317
6.526479,7.660409,-4.952336
-0.542556,-2.164686,-8.368543
6.215448,10.112661,-1.843987
-2.483806,11.588351,4.743853
-0.591829,0.869665,6.456651
-3.789385,-0.307098,-7.339342
0.495069,14.689297,-5.781987
-1.954824,-4.635144,1.113084
6.060039,3.895395,-5.734812
5.381734,-6.686625,-10.574677
5.473188,9.214837,3.303424
5.521939,-5.72077,-6.339224
2.160003,10.993866,5.108783
-2.64306,5.539043,-10.38382
4.769975,12.540485,1.244786
0.589296,-6.809725,-10.053435
1.778178,8.270383,-10.510983
-5.36152,-1.983892,1.582587
1.05998,13.927601,2.784972
-6.219577,2.768588,0.521956
5.319221,-1.72833,-3.344005
4.542298,6.3804,4.89519
-6.371103,8.297599,-2.364153
-3.362345,13.758376,1.539395
4.345659,-2.893086,-7.250111
-2.318232,-3.478675,5.478931
-6.188408,-7.493478,-5.93929
3.161934,-3.595192,-0.169516
1.618263,4.015697,5.849961
-5.009775,-7.126721,-3.632428
3.362414,14.409607,-1.810704
-2.400075,-9.514182,0.315543
4.810246,-4.044814,-2.548542
-4.958644,-3.823131,-3.73683
-5.884974,3.988086,-6.33472
-3.00484,2.206675,-9.358597
-3.629055,9.480747,-9.483916
-6.977405,-6.704719,-9.761737
-2.675602,-6.208738,-9.194392
2.44661,6.938266,5.631036
1.471091,3.606827,-10.499612
1.906652,-4.717809,-8.963492
-5.529526,1.937836,2.837806
0.507221,6.459718,-10.863175
-1.98403,6.58357,5.350528
-5.556843,5.852761,-7.693584
6.159765,5.978189,0.181772
0.615795,-0.056106,-8.422591
-5.725763,8.017571,-7.357061
0.85362,14.924925,-0.155354
-5.138721,12.579987,-2.735031
1.625283,-3.657422,6.323829
-2.206573,13.334604,3.313863
-7.129311,2.158856,-3.510932
-4.894494,3.906802,4.379667
4.994664,-5.623854,-4.265154
-3.981951,-1.832939,4.176347
7.308672,2.754656,-4.411745
1.557691,-6.948939,0.088608
-3.485782,0.568552,5.237485
-6.205113,5.190001,-0.165909
3.865362,7.128049,-9.635247
-5.817077,9.844507,1.256413
-3.811422,-7.554756,-1.262264
-4.336675,9.92497,4.294694
7.387024,5.460094,-2.465357
3.298442,0.444128,-7.989934
5.088454,-1.65716,2.842097
4.609395,-8.078191,-2.24259
-4.484322,1.609691,-7.639086
-3.236019,4.640113,5.347411
-0.406941,15.090314,-3.974765
-6.045872,-8.724725,-1.827145
-5.705641,6.601486,2.011364
-4.484193,-6.716367,-10.809188
-2.201398,14.624947,-0.024964
2.156395,-4.642926,2.479019
-5.24372,-1.570127,-0.456889
2.29422,-10.669336,1.509425
-3.312969,14.429249,-2.825039
5.461158,1.399766,-6.124507
6.012756,7.963079,0.9404
2.258476,13.95276,-6.477964
-6.188988,-6.053517,-7.350046
1.549384,8.847588,5.495207
4.575191,11.017624,-8.009651
5.211164,11.919931,-5.952883
-4.443944,-10.451779,0.832635
-4.910183,-3.718411,-6.561908
1.970981,12.765962,4.119429
2.521305,12.203259,-8.492754
-6.589902,4.956311,-3.925504
5.304303,10.995157,2.388379
6.264048,5.939062,-5.864394
4.210927,4.518883,-9.253479
-6.398192,8.764083,-4.267731
6.077271,1.585635,0.693866
7.116104,-8.255792,-3.516635
-5.616242,-0.222515,-3.978187
-4.605487,-3.498764,-1.696599
6.894988,1.760267,-2.607835
3.438456,-3.153331,3.900883
-0.322725,1.663801,-9.531714
3.078354,2.958551,-9.681747
0.27271,4.214454,7.221097
6.25547,-5.969834,-8.099771
5.60597,1.938277,2.788726
-0.51145,-10.784843,0.813311
0.388393,-5.002678,4.933683
5.903695,-0.734299,0.365558
-2.846367,-5.126163,-0.455342
-2.294456,9.682817,5.218372
1.592424,15.015487,-1.85232
-6.307024,6.615047,-1.587848
4.470889,-9.603527,-0.978201
-0.287465,-7.932619,0.473688
5.203079,-0.714289,-4.984002
-1.931109,1.952546,5.837436
-4.710485,12.695503,0.542583
1.496131,2.612585,7.030963
-0.58305,-2.499948,5.835176
2.476525,-6.505393,-9.564081
2.402164,-5.364033,-0.030011
3.136924,0.465238,4.790013
6.087583,5.057389,1.710005
-3.464923,-4.717754,-8.616989
-6.168444,1.503885,-0.732065
-2.979496,12.017548,-8.42534
4.108205,10.452935,4.415974
-4.34993,12.429236,-6.958445
5.013909,-0.207603,3.871145
6.539393,6.19094,-3.827941
5.7013,11.36195,-0.246559
3.699261,2.269773,5.731218
5.539592,4.246857,-7.538774
2.756376,13.524501,2.646574
-4.81928,1.698002,4.415314
-0.843092,7.798123,5.919644
2.824109,5.219815,5.356683
5.515744,11.989855,-3.498465
5.239044,-2.213194,0.997621
-2.790196,7.26909,-10.272004
-6.090077,9.23654,-0.344085
-0.944046,5.520594,-10.859095
2.196889,-2.441002,5.239318
6.24242,2.533454,-0.808408
-0.913652,5.137346,5.255024
6.514109,4.297139,-4.126072
-5.581876,-0.375023,2.293372
5.738844,-0.342768,-2.302537
-1.062577,-6.376013,-10.104831
-2.54429,3.655653,-10.19501
0.677564,-5.082121,3.191667
0.601969,-3.422226,-8.637987
4.870945,7.930404,4.232313
0.019194,12.015017,-9.173855
-0.784232,11.098716,5.154968
-0.916165,14.143354,-6.540972
6.457986,8.25336,-2.962891
-1.617309,-3.445136,-8.577661
2.536917,-9.514363,0.314959
6.351785,4.76674,-1.195803
6.179223,-6.899938,-5.351312
-1.033348,2.275511,7.268071
0.953745,0.092185,5.806742
-0.786828,-6.049072,0.904993
-7.916215,5.704365,-4.58157
5.033543,8.463132,-8.417402
7.600209,-6.827296,-7.547865
-4.24746,5.401229,-9.425219
0.018383,10.344242,-10.199488
-4.814347,7.777116,4.212058
-1.359864,-4.84815,5.424026
1.392319,5.735065,4.767807
-6.059658,3.042073,-5.017189
-5.153641,9.426856,-7.9354
-4.982652,0.224246,-6.334149
-3.568273,6.404422,5.00239
-2.039483,-1.608852,-8.068982
-0.615428,13.651517,3.262219
-0.68184,-5.054581,2.258676
4.412678,13.289148,-0.142143
-6.489529,7.15525,-4.174826
4.789723,-6.541525,-2.685221
-1.444642,12.480364,-8.563766
-5.466246,11.310049,-5.760021
0.017656,-7.158033,-11.510867
-6.170695,10.091979,-1.829595
-3.887865,13.802556,-4.629704
4.918214,2.999567,4.847204
-7.774752,-7.435037,-6.04314
3.983705,-6.174677,-9.948969
4.920334,4.692966,4.601399
6.298623,9.048383,-5.677393
-6.66126,5.180584,-2.36161
-2.612268,-4.373852,4.215464
-5.297041,11.51441,1.410174
-6.301586,8.083277,-5.700857
-2.923543,-0.640526,4.111624
3.207687,-4.079016,-8.411072
-2.239562,14.863549,-1.796166
-4.740129,-4.871837,-7.578861
-6.330628,-7.140424,-4.428688
-5.512087,10.175293,2.730383
-5.383757,2.744449,-7.09423
1.990037,-0.946727,4.92741
-5.082456,12.508561,-1.051399
-3.811365,5.049489,3.869437
-3.325849,12.370518,3.751124
-5.56477,-0.451184,-1.430506
0.67631,7.669148,5.963033
-6.699591,2.152142,-2.029245
-4.683282,-2.323951,2.88287
2.828566,-4.131836,1.242018
4.845438,-4.290935,-7.053557
-3.605732,-3.56843,1.360396
0.834068,10.300519,5.131906
-5.491676,11.82242,-4.255649
-2.752609,10.686644,-9.528347
2.789855,10.691426,-9.531644
6.014971,7.774078,-6.788857
2.906902,-6.865056,-0.667834
-2.381208,-4.563357,2.517351
5.007246,-1.818812,-5.929893
