x1,x2,x3
5.347066,-7.610643,-4.774126
-2.152022,14.277661,1.800444
-0.477086,5.470753,-10.890436
-3.536844,-0.436784,5.171114
-7.733027,-6.749423,-9.209166
6.255093,5.226791,-0.140303
-3.294881,-11.035585,1.553894
-7.637759,5.97608,-2.690239
3.841176,13.223241,-6.181911
0.722835,7.317828,6.462808
4.497414,-2.956024,2.487868
-0.274286,-2.769584,-8.453761
-4.369607,12.439258,-6.891294
-5.286585,-1.814128,-2.49087
5.318443,2.089148,-6.809921
4.700721,11.981036,2.607491
3.698171,-10.891475,1.408782
-5.465113,8.433838,3.489514
-5.066631,2.179963,-7.366774
-1.405,-5.040256,1.177025
-5.904226,-8.027027,-3.397037
3.660725,-6.830469,-11.041809
4.219617,2.404587,5.356555
4.926869,7.705659,-8.536203
0.728542,-4.294377,6.700035
5.31429,-1.785264,-2.85979
-6.089005,2.582756,1.266585
-2.069201,-6.997453,-11.340929
-0.272677,2.402888,8.481484
-0.855336,15.073723,-3.863299
6.242191,10.034071,-2.450369
-5.705643,11.477265,-1.818745
0.00349,11.371299,-9.682586
-5.666276,7.367339,-7.497516
5.273758,7.350987,4.351723
4.433974,-3.560993,-7.333684
7.709809,5.817679,-4.742721
2.864446,-6.38671,-0.681853
-4.797898,-3.596198,-6.987757
-2.492107,4.611377,4.096272
0.264771,11.790822,5.079004
3.342752,14.412869,-1.685909
1.198287,1.663892,-9.371484
7.742624,-6.865994,-8.412522
5.919466,1.094139,1.324259
-7.267441,1.833376,-3.693076
-4.882117,-2.619059,1.714066
7.005032,2.056325,-2.788494
-0.300426,-8.717765,0.299001
1.722503,-0.505847,6.212098
2.179227,5.240444,3.545039
-2.998012,9.017426,-9.950861
1.795284,14.351706,1.808511
-2.500606,-4.303977,4.778754
-3.80554,11.719391,4.125302
-3.995999,-5.556754,-1.460868
-2.587767,8.694596,5.726876
1.765959,8.273255,-10.461048
3.149636,4.61407,-10.059223
-6.048556,6.219324,0.749107
4.986514,-9.296485,-1.507104
-3.66907,4.56124,-9.643036
-2.12822,0.50077,-8.422521
1.64167,-4.875592,3.364061
6.006876,8.475529,1.126075
6.038367,9.697493,-5.906215
-0.92274,13.630795,-7.242657
3.201756,9.999779,5.249452
0.008604,-11.729273,2.172646
-6.422291,8.781143,-4.228645
3.435555,11.064231,-8.77143
-3.337556,14.409854,-1.687341
0.475116,-5.975174,-9.398506
-3.741517,-8.941294,-1.000384
5.884749,4.284937,3.188818
-5.012989,2.45861,4.608359
2.613535,-0.887087,-7.899736
-6.259193,4.507306,-5.271536
-5.613629,11.031109,1.396003
-4.28648,-5.971787,-9.204904
-7.782645,-7.431318,-6.04777
-5.154358,-0.608831,-5.3973
1.360704,3.961751,6.313323
3.725581,-3.388511,-0.669641
0.428077,15.084801,-0.91471
4.446554,-0.45637,4.276819
-2.186011,2.225778,6.105188
-5.481583,5.347951,3.74893
-1.028071,-1.822337,6.406373
-4.946653,-4.980412,-4.285871
4.829312,-5.25252,-2.70377
-6.000123,-0.122008,0.045905
5.205892,12.5804,-3.477472
-5.708647,3.327866,-1.73069
-5.420522,0.139903,2.878888
5.817574,4.91561,-7.075756
5.060097,-1.166969,-5.856219
-6.271308,8.41752,-1.024254
-1.36523,2.907911,-10.104364
2.975855,-2.737365,4.955482
5.38766,11.906152,-0.096894
4.692198,-6.049791,-8.602235
-3.908376,13.812178,-4.541414
3.221831,6.389577,5.861446
5.557293,-1.614119,0.369572
6.417899,7.024162,-2.160061
-4.809754,9.987076,-8.193222
-3.87855,6.336827,5.674248
1.632374,14.558407,-5.629003
-5.592387,-6.158902,-6.76638
2.51076,-9.199427,-0.196829
2.582998,12.621102,4.195188
5.006769,-3.602899,-4.718285
-3.764554,-3.12268,-0.583756
-2.775122,-2.216028,-8.063667
-1.898866,-4.715295,-8.958275
1.51577,13.030908,-7.839488
6.317095,3.670395,-4.641231
-0.315192,13.654056,3.448853
-2.15918,-7.081497,-0.321645
-1.399732,6.019141,5.976501
-4.393844,13.117206,0.736752
1.122188,-5.492527,1.000734
6.977825,4.621285,-2.442611
-2.372463,11.530605,-8.986424
7.512548,-7.258668,-5.928042
3.559476,2.215469,-8.860505
5.116864,9.795521,3.691182
-0.256973,9.419336,5.683494
5.519745,-5.721906,-6.332212
-0.390468,0.649428,6.79143
5.855837,0.129125,-1.299386
3.879839,13.570367,0.815448
-5.544371,11.659536,-4.92886
6.238422,-6.655941,-10.335419
2.70867,-4.738799,-8.787414
5.772323,1.185778,-4.66716
0.683772,-7.124346,-11.455268
-0.622938,9.269482,-10.545393
6.532994,7.825185,-4.444653
6.256677,2.932165,-0.504126
-5.946755,0.719923,-2.11404
1.992077,1.793148,5.800069
-5.565511,5.070352,-7.67324
0.909194,3.60229,-10.575594
-3.799499,-2.58463,3.995455
5.837185,6.152155,1.911767
7.113666,-8.255211,-3.516106
5.441754,1.872803,3.376287
4.543973,4.856494,4.90845
-0.308909,-5.054893,4.435686
-5.943269,9.365267,-6.387206
-1.78579,11.012751,5.338604
2.836619,-4.129967,1.242513
-5.215688,-10.007433,0.241987
-3.005775,-4.145682,2.377653
0.001974,-0.008617,-8.438813
-5.717927,1.900255,-5.299299
-0.771686,3.918954,6.790114
-2.726248,6.421641,-10.294034
2.823937,14.659982,-3.77896
-5.99691,8.465758,1.122415
5.129927,11.556366,-6.675414
1.094827,-10.125478,1.148471
-5.041724,-2.879798,-4.762907
-3.803846,-0.299146,-7.334379
4.606273,-7.34053,-2.277185
