x1,x2,x3
3.831146,-6.195864,-1.331567
-2.286057,14.979952,-3.702147
-0.203941,5.038639,6.870068
-7.726828,-6.741155,-9.174454
1.465511,3.667743,-10.391273
-6.833525,2.650292,-2.348352
6.341767,8.500378,-1.625137
2.084881,-7.003837,-11.305167
-5.210444,-10.012389,0.255118
-0.959276,-4.293084,6.542258
1.670681,13.395753,4.008779
-5.659862,9.786093,2.244617
-4.998207,8.543388,-8.254894
5.68661,1.247289,2.276452
2.895086,11.456761,-8.817139
5.335111,0.003493,-5.002976
-2.11849,-2.190538,-8.10959
-3.529687,-3.17815,-0.191219
1.304521,-11.622323,2.157668
7.892051,-6.975624,-7.603022
-5.248548,2.037254,3.961654
3.868813,14.127301,-2.60774
4.931315,7.504965,4.369375
5.828937,5.777483,-7.004297
-4.615923,2.955457,-8.100099
-5.997988,10.786963,-3.117193
3.601065,-3.619133,3.54735
-5.411731,-6.958472,-4.212321
1.815645,0.299544,6.434778
-1.627803,9.829142,5.672059
-2.736761,14.191209,1.856704
-1.98915,12.487036,-8.380758
-0.893676,-7.295443,0.382601
6.747088,3.611312,-1.988179
-2.799873,-6.888897,-11.241764
3.555618,-3.453946,-7.947337
-0.557637,8.461338,-10.550858
-5.222384,-1.513843,-4.291415
-2.747917,5.880391,3.022418
5.304159,11.706205,1.653744
4.872798,-1.757713,-0.924571
5.805115,10.797219,-5.391488
7.115197,-8.250004,-3.503298
5.212618,-10.011164,0.252062
-6.217669,6.794919,-0.797609
-4.16449,-2.114194,4.048277
-6.391285,6.269134,-4.985033
4.146357,3.567033,5.514601
3.353442,7.290999,-9.914993
0.844124,15.083897,0.095355
1.396629,-0.065216,-8.15102
-5.974475,-0.055659,0.603337
0.950098,14.263202,-6.352105
-2.086073,0.680513,5.946626
6.125294,5.314658,1.48077
4.986204,-3.695062,-4.206368
2.285426,9.988239,5.550202
-4.74216,-4.853662,-7.53123
4.580789,2.254993,-7.803792
-2.063346,4.653275,-10.367592
0.257128,-5.165027,3.069637
0.378187,-4.740303,-8.964334
7.894183,6.230817,-4.134613
-5.101044,11.654207,-6.564262
1.869116,5.297219,3.460819
-6.146386,4.904917,2.205315
-4.704433,13.114201,-0.796188
-2.276496,-10.896262,1.848365
4.78757,-6.506,-9.234798
-1.652685,1.154674,-8.842985
1.939882,-9.164725,0.003455
-3.756612,11.909148,4.238144
-4.51706,8.016056,4.812127
-0.279563,2.107252,8.363164
-3.84197,-6.810684,-1.351261
2.421171,6.870457,6.253232
-2.855725,3.854741,5.485193
2.005293,-2.964312,6.229023
5.700344,11.614709,-1.710887
4.216506,-0.553711,4.535483
-5.698192,1.941169,-5.185599
5.894107,8.633387,1.642771
6.133302,3.47053,-5.002407
2.925009,-3.921717,0.570592
-4.244241,-0.314818,-6.946282
3.843195,13.335478,-6.082254
5.446779,-6.623206,-5.456226
-7.776173,-7.426121,-6.015885
-2.721566,-4.404646,2.778612
-4.840831,-4.015157,-2.747237
5.943987,0.766251,-2.036763
5.083654,8.915714,-8.159965
-0.418296,-1.427525,7.28931
-6.258322,9.129766,-5.500712
-2.282472,7.006297,6.315409
3.385315,13.936157,1.793877
0.450649,15.275457,-2.722499
5.278339,-1.746848,2.227645
-3.222762,13.719847,-6.189028
-0.861866,12.636338,4.85536
-7.728556,3.771276,-4.756154
4.730907,10.255055,4.158597
-6.228077,2.897671,0.304087
-5.557864,5.929444,-7.553914
-4.994725,-6.664672,-9.653829
4.202895,4.585385,-9.138834
1.606721,-6.293466,0.266898
-2.608307,9.993343,-9.737524
4.633586,-8.798752,-2.063367
-5.207438,-9.161052,-2.28273
-2.217848,14.901237,-0.667027
6.324729,8.186757,-5.57065
-3.330695,7.286257,-9.904213
1.348017,3.028927,6.092491
3.802642,-0.913733,-7.315574
-4.830019,13.010787,-4.244205
-5.817244,0.240405,-1.985348
-6.149619,9.393681,-0.866727
-2.511001,-9.207298,-0.19612
0.096688,7.94266,6.236382
0.013007,11.466011,-9.58139
5.867618,3.761557,3.483515
-4.777542,5.171252,4.374034
-7.209271,5.153961,-2.542661
-4.662427,12.548044,1.950815
-2.531192,-2.229587,5.964353
-5.20394,-2.279774,1.486532
-0.318799,14.445207,2.489744
-2.052691,-5.321282,-9.107061
1.01489,6.54219,-10.667886
1.874038,9.25108,-10.255662
6.214499,2.484764,0.200873
6.34205,5.958385,-1.341056
-0.496534,-7.032779,-10.45719
-5.611455,7.363821,2.457118
-2.166482,-5.123384,0.310718
6.013321,-0.035843,0.296232
-6.4588,8.204015,-3.320062
-0.408273,-9.949176,0.735168
-5.015681,-4.070481,-5.31377
0.277025,-2.133373,-8.304742
7.265018,1.900025,-3.601979
-5.886239,4.054694,-6.204879
-4.102074,0.143307,4.903041
1.944277,-4.809015,4.671948
-5.02814,-1.943613,-1.471119
-1.279357,5.564169,4.851099
2.31849,14.774395,-4.596643
0.683619,1.712661,-9.388015
-5.360471,-0.268999,2.774197
-7.110412,-8.273168,-3.541182
5.049212,-4.892388,-7.078236
2.268486,-5.902723,-9.315859
3.82312,12.27947,3.837224
4.647171,11.619699,-7.272851
4.080802,5.477526,3.957463
4.961837,1.777836,4.455563
-5.800974,-6.719766,-6.714444
5.23252,12.552273,-4.174941
4.534371,-4.175521,-1.882823
5.314026,-1.707276,-3.301762
6.918937,-6.686718,-9.74036
3.052124,-10.525727,1.408955
-1.24038,2.711819,6.428597
-2.438582,-4.355993,4.936245
6.03084,10.229378,-0.095673
2.806982,14.682388,-0.66933
4.731589,13.02148,0.06496
3.025919,2.265918,-9.265159
4.966973,-2.457665,-5.940851
4.869141,-6.44758,-3.172681
6.267254,10.066513,-3.055482
-4.249935,5.474278,-9.293974
0.788867,5.935488,5.16998
0.249948,10.808002,5.567227
-5.794862,1.631012,1.957867
-0.93168,14.786445,-5.563615
-3.836186,14.124066,-2.595718
-0.80167,2.969932,-10.138389
2.1665,-4.656766,2.425201
-3.05337,3.012171,-9.568484
2.097128,13.031089,-7.740668
-3.563318,10.004759,4.999319
2.482284,4.768122,5.440496
-4.330178,-2.871921,-7.185579
3.24046,1.588801,5.552754
-0.195808,0.60529,6.994046
-4.349406,10.464901,-8.325908
-5.627147,11.514564,0.014038
-6.272627,4.864872,0.05201
-0.993143,6.540907,-10.664981
3.655973,9.578381,-9.339021
6.346242,5.491044,-5.131782
0.013869,13.313464,-7.786012
-3.736898,2.121377,5.254127
7.505322,4.295879,-3.886002
4.854292,7.028031,-8.598388
7.090854,-7.571148,-5.895734
5.653634,6.775254,2.718556
-2.197881,13.513027,3.592923
3.370213,-2.317901,4.967637
6.089518,6.900507,0.331455
-0.348749,-5.667006,1.275941
-3.798964,-4.891874,-1.172084
-5.266362,0.072231,-5.37393
-0.429589,-5.00373,4.847818
2.16996,11.828848,5.06061
3.431204,8.481428,5.393086
6.253571,-5.956322,-8.070945
5.556703,2.064058,-6.20122
-2.54242,-0.112915,-7.780741
1.632182,-3.414796,-8.519863
-4.803672,-5.898783,-2.678746
6.490551,6.801554,-3.007117
-3.647025,12.364158,-7.499209
4.233328,-3.226575,1.772482
-3.193462,-4.057039,-8.353607
1.446564,14.589334,1.918613
-3.935449,6.400659,5.509681
-7.83953,6.363101,-3.79717
6.455747,-9.00497,-1.831879
-7.223571,2.072833,-4.05912
2.667756,5.615279,-10.264081
-0.625467,-11.669507,2.097493
0.864774,-4.620204,6.14971
3.545134,-9.663452,-0.71993
-6.006108,8.610995,0.898788
2.294576,14.998847,-2.638288
2.675199,-7.606942,-0.515812
-4.131737,-3.302241,2.631191
4.123666,6.378946,5.495761
1.410784,-1.358497,6.947705
-6.026759,3.272479,2.904295
0.322206,-2.973752,6.819442
-5.128387,12.721512,-2.518094
-4.974345,9.693545,3.993431
-0.983608,-0.806829,-8.197521
-6.165787,1.565849,-0.839325
3.915886,13.935681,-4.437176
-4.939563,1.63787,-6.99436
-3.998185,-9.62546,-1.114163
5.615359,10.19021,2.455766
-5.995653,6.331006,0.952319
0.009895,4.545711,-10.723563
6.286669,3.3068,1.865729
0.442765,3.485642,7.603633
6.355458,4.460764,-0.475236
-5.977972,7.847413,-6.623175
-1.110542,14.836904,1.009751
-1.530115,13.654964,-7.113448
4.778423,0.355053,-6.701628
-3.470782,1.717301,-8.525924
-4.808741,3.553603,4.923749
-1.962607,-0.819675,6.750098
3.008873,-0.696144,5.728056
-7.322631,-6.589624,-7.459184
-3.084174,8.528344,5.683399
1.671216,8.451195,5.932726
-6.482656,4.566752,-3.954312
-0.856632,15.310047,-1.669074
-5.388095,6.688902,3.975808
5.215106,-7.744298,-4.173633
-6.40696,4.139123,-1.488959
-5.605241,9.571087,-7.094491
0.46462,15.01594,-4.688532
-5.203341,-7.525396,-2.583822
-1.103168,-3.423062,-8.551863
7.266953,5.312063,-2.553756
-2.462847,-6.998296,-0.459897
1.440503,-10.209167,1.238743
2.05599,-1.571474,-8.003071
0.58278,-8.277083,0.306558
-5.955485,1.12044,-3.620988
-3.253665,-6.592871,-9.696246
-4.886792,11.330903,3.2131
3.750801,-5.331984,-8.784422
3.791058,-2.882471,-0.45571
5.538903,8.758944,3.227769
5.304173,-0.182159,2.94779
-5.777592,10.78891,-5.370551
3.36823,-6.398254,-10.521192
5.499606,3.465983,-7.246951
5.642121,5.386182,3.541992
5.068376,-4.743269,-5.424629
-4.990021,-1.79827,-5.856324
3.292741,0.488825,-7.908195
5.41203,-1.934393,0.640405
2.848577,-5.135959,-0.474038
6.420112,8.878013,-4.127353
-2.803155,5.235812,4.516417
-5.278309,4.417336,-7.974378
5.930394,1.185239,-4.076342
4.750269,13.20791,-1.669288
-5.282339,-5.953441,-5.441507
0.97095,1.6221,6.731737
6.264832,2.221308,-1.34327
-4.831302,7.019899,-8.580047
-3.431188,-3.501675,4.017229
0.575426,-6.438908,-9.48662
1.116439,-5.134529,1.305206
-1.106014,10.315384,-9.977301
3.117951,3.767426,-9.892171
-3.102671,-0.82544,5.62676
-1.58769,-4.903954,3.760109
-5.555063,11.2027,1.532142
-1.283668,4.159862,5.87346
1.429232,11.946588,-8.9337
-0.749298,6.707274,5.753537
-6.446903,-8.068365,-4.922346
5.67108,-0.221218,-3.472161
0.969034,4.515116,6.003898
5.619232,-7.68611,-2.44364
-1.565614,8.347895,6.122729
-6.500526,6.512378,-2.589354
-3.339551,14.372027,0.233149
4.571886,-1.718654,3.605853
-1.163041,-2.722545,6.543603
-2.413632,11.115577,5.407555
-3.063325,-10.417252,0.558526
5.879952,9.045854,-6.754108
4.375043,10.470604,-8.339503
5.593516,-0.428803,-1.169207
7.538473,2.957081,-4.650746
-0.188916,9.359669,5.790871
-5.534943,-0.939341,-2.886628
5.669317,7.450001,-7.403003
-5.525821,-5.926316,-8.453934
5.789581,11.523997,-3.227962
-2.833672,-4.147592,1.224476
-5.667066,11.608415,-1.688625
-5.459438,-1.435175,-0.141796
0.007858,0.570628,-8.721054
-1.463293,-4.85048,1.813266
-5.053123,-2.982971,-4.208704
4.385156,12.717631,2.53911
-6.123364,3.306063,-4.806684
-6.487756,7.729402,-4.782094
6.485712,6.883918,-4.667078
6.248605,-6.517911,-6.687656
5.089921,4.275335,4.623256
4.896945,-5.074853,-3.702052
0.017495,13.480894,4.033156
-0.84067,15.20321,-3.75537
-4.424612,12.910924,-5.982789
4.934938,-2.7349,-2.010492
4.930083,11.331462,3.189527
6.54307,3.286526,-3.39352
-4.494889,-8.261711,-1.222412
-3.818654,12.865658,3.091592
-3.741039,-5.334557,-8.777304
