x1,x2,x3
-4.517209,-5.407627,-2.095112
2.326771,14.856405,-3.75633
4.046597,3.657756,5.878239
7.595845,-6.744231,-9.186854
-2.5904,4.600069,-10.221163
-6.015626,7.376505,0.789804
7.72583,4.194331,-5.035041
4.455185,-10.450879,0.830074
-2.067262,-6.997118,-11.323592
-1.353183,-3.955275,6.556845
0.574504,12.484019,4.838099
4.712997,-2.130514,-0.265726
-5.111936,11.567178,-6.623903
3.660242,9.491213,-9.386363
2.614539,-0.886206,-7.874415
6.076575,9.267019,0.341085
-6.042486,1.802546,-4.195157
-3.348101,2.912163,5.913882
-2.905926,-11.181759,1.705272
-8.00463,-7.014519,-7.663568
-3.860113,13.761242,0.123236
-5.736633,-0.641444,1.628835
-3.32164,-2.218025,-7.744458
0.436375,-6.149608,1.025818
6.362684,3.581328,0.724091
5.215214,-7.751297,-4.179
-3.297707,8.565968,5.570819
3.257403,-1.588545,5.169984
5.844606,11.035075,-4.727693
-6.50589,7.002262,-4.45718
-1.48454,10.123196,-10.001741
2.605225,4.594758,-10.222777
4.181328,8.654112,5.035591
3.406375,13.995405,0.966729
2.472016,-6.503468,-9.541469
0.472645,2.20986,8.488062
-2.292179,14.657599,-4.64308
5.490772,-0.128158,-4.484491
1.525939,13.035458,-7.788211
0.228612,5.948795,6.121566
-5.974421,10.761799,-2.464274
-4.911348,7.718058,-8.490774
-5.833849,-9.47491,-0.805353
-3.339012,-3.941076,2.629422
-6.30098,3.33209,-0.110401
5.002323,-4.409607,-6.626842
0.00552,1.650699,-9.509984
-3.32361,12.382599,3.99588
-4.572471,2.209804,-7.835959
6.501613,7.450039,-3.253175
5.605045,6.665237,-7.60366
-5.136566,-2.276021,-4.266168
5.174702,2.835345,-7.594538
-3.528284,-1.026068,5.124764
-0.403674,15.089336,-0.85167
-2.421014,5.568638,3.321395
0.549239,-9.951378,0.787917
3.780565,-5.663632,-1.234412
5.466534,0.794427,3.099575
-4.561297,-5.907992,-8.68347
-0.314556,-4.139009,-8.787062
1.553201,-4.878969,4.298896
-5.788173,4.105708,3.439479
-6.164058,-7.625545,-4.474958
-2.444776,-8.334889,-0.347786
-2.073259,12.933494,-7.789009
-5.5774,10.946086,1.717202
5.620132,5.771665,3.561013
0.12851,-0.803229,6.69478
4.366568,11.800369,3.62455
5.145764,12.612163,-1.74429
0.534423,7.434838,-10.710382
0.924087,9.268455,5.847525
6.873985,2.271079,-2.358353
-1.024688,14.197563,2.459624
-4.315672,-2.406034,-0.817781
2.335259,5.533393,3.680253
5.025292,-3.204439,-3.259609
7.80622,-7.414602,-5.989912
4.145492,-3.262191,2.636793
-5.802589,4.932767,-7.034612
-7.854554,4.191519,-4.840266
-5.811938,0.156651,-1.5022
-5.441587,7.342842,3.769141
2.236922,1.258789,5.889168
4.278167,11.937538,-7.455381
2.70628,-8.326695,-0.437801
-2.409202,-5.360927,-0.043961
-6.420727,5.788371,-1.71264
6.454697,-9.007587,-1.836869
-5.134375,1.061107,3.909566
-5.261244,-5.250089,-5.865083
6.084673,0.806934,0.03146
2.938013,1.683035,-8.995074
5.639399,9.486011,-7.161561
6.212895,6.211746,-0.277807
-0.575396,-0.812821,-8.304097
-4.412399,13.524073,-2.605145
-2.261582,7.34715,-10.41106
5.064725,-6.469003,-10.431305
1.378216,-3.219813,6.484408
-4.905568,-0.441391,-6.227611
-1.391383,10.607996,5.519626
7.25708,4.950767,-2.410232
-1.134851,-4.976229,3.76756
4.518733,13.339283,-4.390372
0.685437,-7.123965,-11.438551
2.503076,-4.346472,0.851209
0.007302,4.488263,-10.768242
5.610004,9.565202,2.927472
2.334542,-3.457569,-8.409015
0.490554,14.699702,-5.634657
1.375972,11.136576,-9.590135
-1.270779,1.41137,6.664367
2.841687,6.612808,6.006914
1.780179,13.829056,2.987462
6.251026,10.032839,-2.401929
1.476415,3.686522,6.149679
5.387541,11.639196,1.287443
4.846952,-1.738892,-6.324432
-4.732039,10.069563,4.137511
-3.851325,5.341192,5.381759
-6.340867,8.407178,-1.671488
-2.693743,0.507682,-8.25288
5.665379,3.308862,3.869307
5.986193,2.434742,-4.849838
-3.418981,11.073218,-8.721905
-6.119096,8.436857,-6.433652
5.599178,-6.502329,-7.781081
-6.235086,-6.653205,-10.30204
5.567371,-1.366253,1.880328
-0.962036,3.870273,6.487315
2.064512,-11.434095,1.957896
3.361707,14.414738,-1.627838
2.902681,10.829233,5.245205
5.583084,-0.987172,-2.164136
3.85997,7.129827,-9.546234
-6.849591,3.23924,-2.405087
-0.627919,-11.664696,2.094245
-4.61066,-8.075563,-2.24377
5.842278,7.285176,1.780065
-2.008567,6.664433,6.035478
-0.434624,-6.454233,-9.506251
-5.916252,1.738459,1.515378
4.276986,0.597801,5.057649
-6.301215,9.578691,-4.395357
-4.557288,-2.159558,3.366143
-2.951285,-3.205966,4.794153
6.40874,7.138231,-5.506321
1.158228,14.676789,0.968911
3.258985,13.613095,-6.246371
-6.12696,5.206013,1.382912
4.335232,0.389487,-7.195786
5.980648,4.779084,-6.447772
4.407912,-8.141565,-1.878592
-2.781529,14.648222,-1.617057
4.866467,-5.809877,-3.188759
-4.510237,13.179325,-5.246338
-2.704932,-4.735682,-8.768482
-4.378358,12.756169,2.027406
-1.60342,-1.863122,5.937521
-3.513787,8.923135,-9.637952
-4.83895,-3.022908,-6.457
-3.714349,-10.016414,0.05749
7.90314,6.147209,-4.177361
-6.784161,-8.607779,-2.706694
-1.490253,-10.18513,0.322751
0.455261,15.143231,-2.769532
-6.189993,-7.092966,-6.618385
-6.031545,10.095041,-0.142171
-0.469445,11.964347,-9.052664
-1.025427,8.554792,6.088935
-2.408538,2.202181,-9.440808
-1.120509,-4.930169,1.673201
-5.380923,11.988419,-0.894653
-4.211438,-6.432236,-10.664814
-5.63018,-0.202835,-3.940735
-0.575031,-7.860636,0.382358
4.837551,-1.258488,3.803519
-4.78681,5.325416,-8.778154
-5.735545,8.808485,2.360221
-3.966367,0.906161,5.654682
-4.919508,-3.336397,-2.538325
-4.680381,-2.747132,1.155635
1.875261,9.168987,-10.303976
4.197652,5.464718,4.971632
5.815768,-6.419501,-5.788365
3.952534,-4.747958,-8.302019
-5.501272,11.848126,-4.12009
-7.750508,6.27654,-3.091402
4.802468,5.31306,-8.781977
2.980975,-3.567529,4.570247
-5.738138,2.634688,-5.93428
7.114265,-8.255355,-3.510149
2.617219,12.618942,4.262248
1.373776,2.910008,-10.066827
-1.530559,12.400057,4.789552
3.698229,-3.765082,-0.859442
-0.02121,-4.930851,5.415896
2.215406,6.456281,-10.459246
6.343779,3.691237,-1.195876
-3.436863,-6.838437,-0.984343
3.929431,-2.880217,-7.546005
-1.574307,14.069653,-6.353872
-3.242142,10.725114,5.127163
-2.468027,-6.50217,-9.541385
2.269669,-6.243443,-0.25575
-4.949051,-6.358103,-3.667639
-6.842272,1.353147,-2.531014
-5.008134,3.059846,4.798543
1.531171,0.503939,-8.534561
1.983421,-0.586944,6.127231
-2.202949,14.636934,0.182245
-4.96336,-4.360419,-4.244208
2.470491,-9.926819,0.930192
0.618387,1.25376,6.888917
-5.164735,9.449113,-7.834912
4.991199,-4.888998,-4.821072
1.506279,-4.824893,2.34995
-4.194449,-4.172496,-7.814955
-6.571625,-6.093373,-8.395075
-3.105006,-3.679301,0.309049
-1.511433,-2.791489,-8.353141
-3.754189,12.787702,-6.936009
-1.596983,5.050411,5.238347
6.10676,5.443001,1.381462
1.02197,-2.187031,-8.289702
-4.372965,7.083213,5.572417
-4.123536,3.637089,-9.005117
4.136782,3.626946,-9.008049
-2.746234,14.028775,1.814794
-2.122335,-0.083097,6.056055
5.938344,2.045439,1.611931
4.763967,12.868419,0.017551
-6.282493,5.058103,-5.286518
6.310175,9.303347,-4.988054
5.947503,0.759357,-1.868111
2.807237,-6.945263,-11.261508
6.718032,3.625419,-3.544306
1.573783,14.901787,-0.772226
6.365537,8.386346,-1.680805
-6.85636,4.744675,-3.379327
1.833875,5.259809,5.383881
1.306614,7.453203,6.361862
0.010602,9.332896,-10.552963
-5.554833,-1.172571,-0.353862
0.014629,13.753096,-7.194621
4.360785,-8.91659,-0.300244
-6.162308,1.504399,-0.435183
5.472346,7.514388,3.499701
-5.83218,5.857049,2.95832
5.020705,-2.853582,-4.952243
3.443035,11.067088,-8.724333
4.457458,10.261584,4.393884
7.30378,-6.665935,-7.451917
3.397651,13.285123,2.808857
2.679592,8.372292,5.913143
