x1,x2,x3
-4.518943,-5.403278,-2.094823
2.311557,15.007162,-3.665448
4.705708,3.549615,5.800698
7.594846,-6.719474,-9.16794
-2.596641,4.692154,-10.154174
-5.962188,7.529051,1.331802
7.693007,5.125931,-4.92551
4.454926,-10.453549,0.826894
-2.06902,-6.966157,-11.300509
-0.629061,-4.510471,6.60854
1.171644,11.948761,5.229203
4.791003,-1.973366,-1.0588
-5.193892,12.05962,-5.735616
-7.175826,2.122861,-4.079983
3.095831,9.841719,-9.526046
-2.83068,2.775324,6.280248
2.012865,-0.808325,-7.970503
-2.906395,-11.186111,1.700174
6.065799,9.449025,0.442329
-8.006367,-6.992283,-7.647762
-3.376529,14.386819,0.278376
-5.746901,-0.580693,1.670989
-3.861669,-2.182575,-7.425154
0.765029,-5.779587,0.994067
6.316273,3.370228,0.374675
5.214951,-7.738967,-4.16913
-3.014446,8.369394,6.187522
3.634926,-1.759754,4.268268
4.202021,4.616095,-9.109227
6.045112,10.169738,-5.129728
-0.45699,13.295395,-7.743924
-6.51537,7.297546,-4.012316
3.386164,14.173511,1.065397
0.930994,-0.062331,8.003856
2.470424,-6.467895,-9.514436
4.494267,8.439856,5.165495
5.477929,0.712417,-5.05148
-3.091293,9.843327,-9.525355
0.773361,5.851139,5.883831
-4.637982,11.674503,3.496319
5.046954,-3.801497,-6.093283
-3.425769,-3.89186,3.333212
-6.305794,3.436894,-0.01653
-5.955589,10.950979,-1.63068
-5.834793,-9.472118,-0.805065
-2.307986,15.005552,-3.66465
-5.168915,2.936593,-7.524161
1.007616,6.575901,-10.642576
-5.690155,4.201989,3.872365
-5.31697,-1.676955,-3.278492
3.771626,12.915907,-6.852755
-0.634396,-4.044831,-8.743991
-5.345923,6.967656,-8.073068
0.41682,-9.736447,0.372011
-1.661433,1.188246,-8.828834
-2.397264,-1.121103,6.365372
-0.338545,14.455776,2.553264
5.169603,12.753796,-2.491577
-4.563763,-5.873381,-8.657878
3.810579,-5.59384,-1.262597
-0.177956,3.412511,8.859028
4.641662,11.693487,3.49262
-6.165716,-7.610395,-4.465024
6.424923,6.667714,-1.895443
5.517945,1.134114,3.10597
5.823209,6.053709,2.803097
-2.26422,5.405725,3.916101
1.999357,-4.901778,4.202423
5.672662,7.481171,-7.366015
0.427507,15.253834,-0.757427
-2.459434,-7.640657,-0.446233
1.369622,2.994149,-10.005228
-3.864553,-2.971186,0.082669
7.104201,2.454091,-2.718108
-4.75095,0.525069,4.756145
-5.069062,-4.724507,-5.414265
0.149945,8.970027,6.253653
0.002191,10.473005,-10.013093
7.805455,-7.394841,-5.974826
-1.892578,12.554013,4.853182
3.976469,-3.414156,1.613244
-5.229948,0.217652,-5.782925
5.73129,3.397123,-6.632254
3.424114,0.792191,6.024285
-5.32539,8.723774,4.058055
-7.249839,4.751858,-2.57239
-5.980637,0.909111,-1.549544
2.955224,5.39522,3.920008
1.760749,-2.439645,6.473471
6.454327,-9.001704,-1.832872
2.971407,-8.327694,-0.537639
6.060385,0.294386,0.287234
1.808517,3.145975,6.753964
3.486607,1.751671,-8.514576
-1.658941,7.48883,-10.454685
-5.628195,9.613967,-7.07578
5.058495,-5.850654,-8.291583
2.06423,-11.438896,1.952801
4.909796,-3.900136,-3.228776
3.042649,-3.398915,-8.226896
-1.895032,-4.930463,0.817062
-2.738851,13.926748,-6.203087
6.242582,10.184481,-2.308329
-4.431659,13.670164,-2.515228
-6.259645,4.620783,-5.135256
-0.685741,-5.130874,3.677925
0.001908,14.867103,-5.566285
-5.783205,10.736763,1.212347
0.683805,-7.092399,-11.414817
-4.871799,6.284077,5.332001
3.854459,7.239629,-9.469618
-2.999133,12.157711,-8.225035
5.393498,12.083287,0.058338
2.363055,13.556728,3.529902
-0.993232,-1.52199,-8.14039
2.65798,7.442243,6.747858
4.963591,10.734117,-7.635228
-6.337486,7.91569,-1.52925
-5.84959,2.133381,2.140855
-1.137562,1.285376,7.430711
5.716859,8.579911,2.894737
5.363019,-1.296293,2.465583
4.243473,-1.571412,-7.024611
5.72988,-0.255313,-2.6022
6.520534,7.775567,-4.773659
2.417464,9.847916,5.848952
-6.236886,-6.626921,-10.282908
-1.010788,4.345885,6.736044
-0.45287,-2.190238,7.476817
-6.313538,9.699359,-4.310703
6.035933,3.490306,3.224079
1.875397,11.834218,-8.916572
4.515504,-6.686099,-10.770065
3.344678,14.578253,-1.533188
-5.808727,-6.699794,-6.718148
-4.470252,-1.65179,3.777329
6.177801,5.888659,0.432412
5.267693,12.429045,-4.932419
4.916452,6.102294,5.068254
-1.388623,6.714662,6.662682
-0.571697,-11.246525,2.088693
-5.398225,-1.214073,-0.574987
-1.670699,10.37211,5.73085
-4.611905,-8.073987,-2.245145
-2.734221,13.700969,2.985742
-0.436368,-6.421618,-9.481785
2.973096,5.05903,6.243529
-3.547182,-9.663791,-0.726668
-5.094775,12.608705,0.082523
-2.322941,-3.490738,5.448675
-6.280887,5.810784,-0.656583
-3.892318,0.462133,-7.564503
0.636068,1.17445,-8.97428
6.537702,4.461125,-1.95129
-3.580712,3.027955,-9.087409
5.290044,-5.938808,-5.444816
0.001903,4.579723,-10.702296
5.116496,-1.447146,-4.892243
-6.124033,5.353311,1.509667
3.38885,-3.567241,-0.534647
-3.244095,4.905747,6.103376
-5.048191,2.617368,5.276176
-2.707487,-4.693988,-8.73723
-4.984028,-2.557559,-5.532089
-3.781057,6.406138,-9.567039
-1.792284,-9.705184,0.528345
-1.569401,15.182369,-1.569961
6.262273,3.429764,-4.446851
1.549582,13.686246,-7.081676
-3.870742,10.008027,5.096406
-0.555291,-7.478083,0.51777
-7.969917,5.763626,-4.321615
-6.202555,7.844292,-6.047474
1.033785,-2.715968,-8.351602
6.009676,5.637251,-6.381967
-6.785415,-8.599032,-2.701743
-4.519437,-4.190424,-7.393008
4.455698,-9.584059,-1.523327
-1.366137,2.995452,-10.005121
-6.65726,2.788382,-2.140732
-4.97553,-2.510756,1.802184
-5.599692,6.406842,3.385645
2.228574,-4.605105,1.872554
-4.213246,-6.403425,-10.643579
1.325919,-4.677964,-8.931591
1.389986,-4.636504,6.256754
3.915179,13.962938,-4.395439
7.844973,6.519684,-3.443408
4.334119,0.46277,-7.139537
2.40568,-9.792961,0.764515
4.606134,-7.340083,-2.277166
-5.850078,0.514991,-3.517001
-5.498656,12.139662,-3.257142
-4.843244,-3.32909,-2.244211
5.610272,11.129736,1.806209
1.13458,14.851738,1.066439
-2.964787,0.781226,6.27971
1.764642,8.387913,-10.34026
-4.541846,8.760713,-8.708578
-2.993797,-5.585359,-0.701289
3.608653,-3.634071,3.546029
-3.911166,13.961052,-4.394106
0.894642,1.931128,8.17619
2.270116,-6.260759,-0.269701
7.113781,-8.244688,-3.50228
-4.741461,4.536639,-8.540076
2.663494,5.647465,-10.236974
4.037216,10.319681,4.896277
6.179067,1.618986,-1.236717
0.001534,15.316361,-2.693145
-1.622329,14.77029,0.987806
4.452917,-0.037459,4.558978
5.140471,1.944286,4.809727
-5.809942,5.029684,-6.960247
2.248067,-0.594765,6.702061
0.312886,13.509211,4.09177
-4.447736,-10.452406,0.825766
-6.079037,0.882383,0.359646
4.607627,9.122701,-8.597025
6.208529,-6.701239,-7.029196
-4.558014,11.149355,-7.810518
-2.470099,-6.466716,-9.514899
5.966461,7.55017,1.323609
-6.124134,9.428791,-0.096319
-1.737667,11.149029,-9.48071
-5.637542,2.04942,-5.673283
-4.951062,-6.344212,-3.659199
-4.407547,12.924564,2.121734
6.451878,8.382852,-2.766014
1.213227,-8.050112,0.036829
4.410525,12.938722,2.118712
-6.573401,-6.069449,-8.377892
5.62882,-1.486484,0.525627
-1.397531,-0.573325,7.800641
2.31277,14.594842,-5.445462
4.923856,-5.709292,-3.674635
-5.81724,9.145643,2.119991
-7.489189,-7.257017,-5.947423
-2.610341,-0.820472,-7.827505
2.80576,-6.914563,-11.238299
-3.147954,-1.993338,4.937677
0.002161,8.501369,-10.588047
-1.69034,-5.209307,5.135169
5.965086,2.180549,1.748486
6.238279,-6.628881,-10.301945
1.847054,1.200107,6.877706
0.752742,7.416946,6.84345
2.908553,11.67388,4.979838
2.793911,-3.177061,5.026706
-7.759324,3.835542,-4.697909
4.635829,2.993486,-8.089917
-4.934899,-4.425434,-3.701266
0.002162,12.1508,-8.974001
-6.514588,6.423782,-2.407971
5.883787,9.076938,-6.716105
-3.151017,6.658999,5.984199
-3.341522,14.573788,-1.531739
-3.388952,-3.820227,1.611685
-2.198067,-2.748757,-8.209058
-4.622488,7.989447,5.44621
3.068935,3.047104,-9.553996
0.683024,-5.121239,2.658064
-0.001979,10.804708,5.676403
0.497042,4.166444,7.494327
5.553143,4.632754,4.371878
6.265398,7.997535,-0.869844
-4.648291,4.553431,5.243392
-5.404649,0.489237,3.223467
4.391977,13.580022,-0.721709
-3.312636,11.54428,4.850771
3.582646,11.859239,-8.10698
5.327586,5.322196,-8.135763
-2.070049,-4.776437,2.866564
-1.108221,2.941446,7.576314
5.318173,-1.690491,-3.275634
-5.508866,2.165168,3.773557
-3.848114,-6.805219,-1.366642
3.491512,2.599413,6.317897
4.615815,-3.491176,-1.683036
5.337877,7.25986,4.00872
6.674901,5.323298,-3.676397
0.312262,-3.1301,6.279759
7.890095,-6.96478,-7.598117
0.13527,-5.074443,5.302575
-3.812805,-4.244251,-1.070125
-1.543089,5.408828,5.649279
-3.434408,8.180335,-9.722071
-6.31546,9.35311,-2.240463
-0.30105,0.038532,-8.341889
6.054733,1.878411,-4.122387
-6.667134,3.546726,-3.561882
-1.389868,8.293179,6.417979
3.362337,6.543405,5.634694
3.95134,-4.709375,-8.272137
-3.767254,12.916047,-6.851757
-0.689595,-5.099921,1.823951
-5.56381,10.581329,2.768213
5.817688,11.363856,-3.912158
5.211197,1.597453,-6.50507
-0.517543,1.851943,8.850631
1.426373,14.340494,2.54894
-6.255028,3.631099,1.926328
-3.65073,-0.379114,5.406792
-4.698563,-0.956149,-6.670938
3.269634,-0.668941,5.487074
-7.732392,-6.725567,-9.175624
5.137319,9.998116,3.850587
-5.831149,11.174842,-4.636322
2.417172,-4.737137,0.349033
-6.253322,6.053128,-5.698818
-1.211505,-2.817207,6.296727
5.912381,10.947605,-0.836425
0.001626,2.313209,-9.85364
-1.627779,14.704259,-5.485979
-1.863105,9.284936,-10.225311
1.509816,4.688506,-10.472586
1.498564,10.239414,-9.922775
5.702026,0.098357,1.983765
-1.611311,-6.30373,0.25362
1.820056,5.214063,4.889173
5.656698,-0.401395,-0.982267
-0.489338,6.569753,-10.708557
6.346444,-7.424841,-5.670387
-1.373279,13.774675,3.589496
0.619426,-11.034762,1.220785
-3.631817,5.674549,4.798072
-6.600151,5.813833,-3.764184
6.529916,-6.071,-8.376293
6.422638,6.317298,-4.979223
6.28628,4.490567,2.16876
3.619294,-9.566813,-0.085872
2.248083,14.922362,-0.621598
-6.432066,4.20665,-1.484551
5.456621,11.085566,-6.303341
6.154187,1.766689,0.216079
4.467399,-2.526117,3.146632
1.675657,8.666543,6.270754
-0.19668,5.539434,6.923627
5.048614,-4.878454,-7.066794
2.700923,0.573874,-8.200102
-1.442343,-5.27815,-9.129644
-6.806475,1.398237,-2.883056
-6.2336,2.237711,-0.871655
-4.543868,-2.45246,-1.081016
-6.083937,3.168335,-4.881019
-4.388542,13.572136,-0.719336
7.375105,2.445849,-4.189508
5.060193,-2.502352,1.366393
-3.671199,-8.269201,-1.040852
5.005659,-3.568401,-4.678862
