x1,x2,x3
-1.609723,-5.928,-9.354164
1.33308,13.34465,3.947055
0.481641,-3.593321,6.991194
-1.25244,9.241247,-10.435845
7.09401,2.38023,-2.781555
-6.3714,4.392134,-0.008505
6.454581,-9.0067,-1.835736
-5.212662,-10.010712,0.248598
5.51852,11.87388,-4.121558
3.722912,4.707912,5.340112
-4.790845,13.107841,-2.597846
-4.500388,1.637873,-7.576599
6.916004,-6.69449,-9.750185
3.0198,2.233131,-9.291555
-4.053452,-2.643395,-0.629604
-3.08448,7.737858,5.962005
-7.7805,-7.429812,-6.029184
1.30347,-11.620357,2.154495
4.304559,-2.991668,0.965055
-3.850844,1.13986,5.335681
-6.202085,7.750513,-6.12046
0.0,14.271269,-6.42348
5.862675,9.16239,1.711186
4.98142,-2.598259,-5.558257
4.920691,7.736319,-8.483688
-4.40202,12.390406,2.86398
-0.217229,-6.240299,1.031883
0.32046,2.10587,8.626591
0.0,15.16766,-0.868875
-4.954425,-3.268343,-5.628
5.78529,1.640502,1.947729
-4.26573,11.969673,-7.44933
0.0,-1.531125,-8.243445
1.710317,9.003037,5.873684
-3.435653,-3.551577,3.964361
6.514133,7.202232,-4.085566
-2.075535,4.6161,-10.40676
-6.127905,9.306861,-0.20055
3.194148,-0.05153,5.631017
-7.290149,1.9614,-3.85623
-6.236076,-6.649453,-10.297497
4.39656,13.336251,0.048825
2.61303,-6.569232,-11.122544
-4.78947,-6.540881,-2.681805
2.375599,11.563572,-8.929931
6.68283,-6.704153,-5.475015
-5.37348,4.823894,4.073055
-5.813115,0.614022,1.613388
6.23217,5.507446,-0.1239
5.766495,4.136462,-6.85713
1.594638,6.493308,-10.579764
3.348362,-6.284408,-0.963429
2.8224,14.699775,-3.72456
0.062363,5.439091,6.534073
-1.4595,11.111709,5.404035
-7.68936,6.372231,-2.910915
2.091863,-4.788642,3.84005
5.576781,-0.967272,-2.149314
-1.46853,-9.787484,0.641025
3.2004,-4.06834,-8.375535
4.455948,-10.452449,0.829794
-5.537042,8.910111,3.322538
-4.35456,7.073633,-9.121035
4.199685,11.004514,4.324635
-1.80012,5.150449,3.569475
-1.309532,-0.583815,7.079321
5.34681,0.804706,-5.887035
-0.335744,1.686402,-9.466877
-1.79802,14.400419,1.8627
4.88481,7.742365,4.603095
-5.498472,-0.915302,-3.39027
-2.30979,14.892975,-3.757845
3.183939,-0.888015,-7.606186
6.279105,9.288086,-1.68189
5.927023,4.729529,2.948094
5.04273,11.115076,-7.166355
-2.8812,-2.800997,-8.134875
-6.294855,9.793446,-3.745245
4.84701,-4.011639,-2.764755
-6.13599,4.677733,-5.836845
-2.803091,-5.606902,-0.531676
-0.956235,11.947518,-9.03021
1.79928,-9.188459,0.05691
7.91805,4.562452,-4.763955
4.917266,-1.1904,3.452106
-4.97196,-5.457287,-7.6692
-1.415772,2.898408,6.300231
-6.175449,1.566376,-1.118206
-0.746769,-4.983807,4.768975
-6.783683,-8.608235,-2.704786
1.712051,2.446182,6.176604
-5.121375,-2.255307,1.938678
-3.88773,13.799717,0.11046
-5.888827,6.770046,1.579211
3.24471,13.646422,-6.243615
1.864695,9.195686,-10.2963
4.909268,-7.202178,-3.141278
5.06477,2.173274,4.500856
-3.40767,-8.300893,-0.797685
1.957287,-4.646061,1.087044
-4.740991,4.45796,-8.600063
-3.647616,-6.802861,-11.021924
0.01113,-7.149669,-11.486055
5.296179,-5.996643,-7.726788
2.19345,14.50416,1.012515
0.317415,-4.129874,-8.779785
-2.740582,13.821809,-6.288639
5.91675,-0.626761,0.554474
3.089247,-2.711638,5.167554
1.80012,5.150449,3.569475
-2.55192,-0.133366,-7.811055
-5.175662,9.469269,-7.829396
-1.902636,-2.956182,6.137796
-2.231292,-4.575804,1.895254
3.89277,12.963183,2.64285
4.19769,4.543451,-9.16797
-5.2647,12.322163,-5.017215
-5.447636,2.221865,3.640927
-3.273795,10.411259,-9.269819
6.240255,2.969492,-0.439215
7.348425,5.443084,-2.43537
-5.21073,-6.039401,-5.14374
3.97656,-8.901908,-1.29969
0.90594,3.624793,-10.528455
-6.65931,4.059708,-2.504355
-4.84701,-4.011639,-2.764755
-4.09752,10.502082,4.660216
-4.412321,-1.228627,4.16807
-4.696545,-1.007589,-6.706665
-5.375334,11.831423,0.609153
-3.37134,4.918397,5.592615
1.157251,-1.180111,6.834503
-0.590835,8.083728,6.269446
-6.258848,6.743109,-0.887161
6.12885,8.453742,-6.426945
2.293935,6.609954,6.132315
-7.868301,-6.87919,-8.424129
-2.318715,13.113749,3.93603
0.42924,15.13658,-3.813915
5.66832,11.297561,0.56595
-3.292013,-11.039294,1.557539
-5.666545,-0.878227,-0.511598
5.422095,12.086118,-1.752975
7.889532,-6.982518,-7.611492
1.52607,0.519744,-8.52474
-3.0198,2.233131,-9.291555
6.31407,9.597831,-4.392045
-5.47113,0.657293,-5.098905
-5.111925,7.029323,4.648876
0.813225,11.144479,5.424195
1.07478,-6.423497,-9.459555
5.027715,-4.816993,-5.123265
3.934045,-3.371558,3.156468
-7.94346,4.892562,-4.565505
6.08097,3.08227,-4.944135
-2.804655,14.68518,-1.625295
4.14603,-6.556214,-9.559725
2.26569,14.915242,-1.618575
6.043338,0.862885,-1.04863
-1.005165,6.49675,-10.705485
5.322765,-0.794864,-4.39551
6.048735,6.238037,-6.40311
-5.95812,10.836311,-1.72704
4.219635,9.747033,-8.840265
-1.22787,-11.481344,1.996365
5.888827,6.770033,1.579211
3.92007,5.465652,3.343305
1.560832,-6.95284,0.072288
4.57695,2.220739,-7.825859
4.538919,-2.475693,-1.088217
-4.833465,-9.37127,-1.906905
6.32205,7.192481,-1.562085
-2.958186,-1.179998,5.78403
-6.214215,3.775985,1.97253
1.512315,13.065959,-7.784639
0.675212,0.831805,6.985228
-5.741988,2.643374,-5.92253
-6.400695,8.353681,-2.25729
-1.729455,6.16664,5.56374
0.339008,14.325793,2.441255
5.293365,11.048398,2.59371
-1.53972,-7.366501,-0.05145
-3.912953,13.8517,-4.484342
1.542975,4.45378,5.536441
4.48161,13.543933,-3.529365
-4.45977,3.231259,5.328876
3.625146,-4.280441,-1.022593
-6.112473,-7.86733,-4.974751
-5.77983,10.383434,-6.142395
3.34656,7.240784,-9.950745
-2.898706,8.179032,-10.03816
0.27721,-5.164439,2.624035
0.44247,3.651467,7.388746
3.580349,9.243425,5.264936
1.33077,-4.804501,5.678338
-5.58537,10.647617,2.385075
-1.979427,1.023102,6.18218
7.113729,-8.253228,-3.508203
-4.37031,-6.435676,-9.238425
