x1,x2,x3
0.058759,0.608839,-0.212317
-0.198005,0.033812,0.306954
-0.196946,0.711583,0.422451
-0.0679962,0.023945,-0.484219
0.060369,0.454819,-0.634722
0.0136311,0.394989,0.175483
0.0537511,0.0750967,-0.0886274
-0.110689,0.341154,-0.359531
-0.0913616,0.674921,0.115957
-0.146337,0.451234,-0.0738826
0.0759266,0.708267,-0.490874
0.0721227,0.359796,-0.190357
-0.240063,0.479461,0.348877
-0.178541,0.245164,0.188733
0.072655,0.516703,-0.00574257
0.0690806,0.465847,-0.381022
-0.178482,0.477914,0.133594
-0.0203907,0.160158,0.0859671
-0.116223,0.518644,-0.271859
-0.0393574,0.204497,-0.460759
-0.00670904,0.348781,-0.0182702
-0.184481,0.629488,0.262886
-0.0386896,0.549859,0.218442
-0.0636011,0.593938,-0.0957381
0.0433879,0.197965,-0.203509
0.0957895,0.610547,-0.620903
-0.00968085,0.606174,-0.353948
-0.113621,0.341732,0.0907942
-0.0790142,0.3957,-0.208638
0.0917655,0.487547,-0.142807
-0.11863,0.567777,0.0367963
0.0117123,0.594076,0.0883265
-0.0603374,0.478769,-0.399895
-0.161397,0.115538,0.211771
-0.0254496,0.272236,0.153294
0.119228,0.513334,-0.271542
0.00625406,0.383934,-0.306571
-0.253947,0.611393,0.36906
-0.107516,0.40324,0.20333
-0.0287174,0.128119,-0.0269785
-0.0663525,0.607731,-0.209545
0.0491408,0.470128,0.0976316
0.0603755,0.284758,-0.27474
-0.147265,0.590322,0.159459
0.0736915,0.401379,-0.0771449
-0.132759,0.719944,0.233716
-0.0753199,0.366321,-0.0999826
-0.15514,0.438394,0.0360031
0.0428042,0.580341,-0.102425
-0.034377,0.30059,-0.418198
-0.144335,0.690403,0.33568
-0.11625,0.524063,-0.169119
-0.133872,0.517001,0.237693
-0.0408995,0.626363,0.00637143
-0.00895892,0.365572,0.0811191
-0.267758,0.709868,0.351272
-0.180859,0.342986,0.164596
-0.169117,0.568085,0.34313
0.0963499,0.41703,-0.286705
0.0109462,0.158869,-0.119803
0.0275838,0.642165,-0.437574
-0.0773836,0.644181,0.213768
-0.118118,0.424116,-0.312052
0.00633497,0.428602,-0.181382
-0.0561056,0.117735,-0.49654
0.0801174,0.586973,-0.317747
0.044721,0.541129,-0.594222
-0.0256246,0.460811,0.224131
-0.0235655,0.398021,-0.389701
0.0721879,0.62254,-0.536539
-0.099002,0.364433,0.00690849
-0.0817629,0.54885,-0.347115
0.0182485,0.536364,-0.398661
-0.121558,0.543431,-0.044646
0.0269117,0.514079,0.178143
0.00612234,0.36844,-0.121691
-0.053154,0.193535,0.155217
-0.00569724,0.629974,-0.260327
0.0725514,0.419028,0.00284807
-0.177817,0.393616,0.100021
-0.0537222,0.359604,0.147685
-0.0802053,0.348444,-0.285541
0.0245318,0.582155,-0.00410326
-0.161608,0.664324,0.184041
-0.183301,0.638325,0.388671
-0.00131757,0.614286,-0.162793
0.00544547,0.369662,-0.229171
0.102008,0.548496,-0.198162
-0.0657059,0.604385,-0.29803
-0.01179,0.598723,0.159227
-0.113857,0.653402,0.278021
-0.243251,0.537085,0.395465
-0.115825,0.415705,-0.137201
0.0928757,0.435967,-0.215882
-0.157924,0.539166,0.0988503
-0.207507,0.690357,0.296182
-0.0995002,0.582969,0.247032
-0.233823,0.584545,0.304134
-0.111847,0.459741,-0.22917
0.0413561,0.530882,0.0562995
-0.0839388,0.625807,0.0615462
-0.128395,0.299741,0.144485
-0.144914,0.50492,0.0188147
-0.0152752,0.110769,0.0383646
-0.173258,0.411138,0.167591
-0.195009,0.0874424,0.263879
0.107654,0.476486,-0.326865
0.0626882,0.427188,-0.139715
-0.178944,0.179912,0.218572
0.0852543,0.523391,-0.0865202
0.0675124,0.361245,-0.256922
-0.10631,0.482402,-0.341554
-0.0857131,0.41882,-0.379522
-0.0706562,0.241949,-0.416354
-0.0460568,0.346894,-0.347632
0.0556048,0.262428,-0.209979
